"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"14001632","11/04/14 0204","11/04/14 0204","11/04/14 0204","Lot 61B","Arrest","driving violation",-93.6483675,42.0135352
"12-001264","09/14/14 0211","09/14/14 0211","09/14/14 0211","Gray Avenue and Lincoln Way","Arrest","alcohol violation",-93.6420308,42.0226885
"12-001265","09/14/14 0237","09/14/14 0237","09/14/14 0237","Martin Hall","Arrest","public intoxication",-93.6529424,42.0238665
"14-000001","01/01/14 0049","01/01/14 0049","01/01/14 0049","Lincoln Way and Sheldon Avenue","Arrest","operating while intoxicated",-93.6542392,42.0227224
"14-000001","01/01/14 0049","01/01/14 0049","01/01/14 0049","Lincoln Way and Sheldon Avenue","Arrest","liquor law violation",-93.6542392,42.0227224
"14-000001","01/01/14 0049","01/01/14 0049","01/01/14 0049","Lincoln Way and Sheldon Avenue","Arrest","unlawful use of license",-93.6542392,42.0227224
"14-000002","01/01/14 0220","01/01/14 0220","01/01/14 0220","Lincoln Way and Welch Avenue","Arrest","operating while intoxicated",-93.6501393,42.0227328
"14-000006","01/03/14 0121","01/03/14 0121","01/03/14 0121","Lettie Street and Wilmoth Avenue","Arrest","drug violation",-93.6615876,42.0215154
"14-000007","01/03/14 0135","01/03/14 0135","01/03/14 0135","Ash Avenue and Lincoln Way","Arrest","public intoxication",-93.64441,42.0226961
"14-000008","01/04/14 0153","01/04/14 0153","01/04/14 0153","Gateway Hills Park Drive and Mortensen Road","Arrest","operating while intoxicated",-93.649344,42.0118567
"14-000008","01/04/14 0153","01/04/14 0153","01/04/14 0153","Gateway Hills Park Drive and Mortensen Road","Arrest","liquor law violation",-93.649344,42.0118567
"14-000009","01/04/14 0505","01/04/14 0505","01/04/14 0505","Lincoln Way and South Morrill Road","Arrest","driving violation",NA,NA
"14-000011","01/05/14 0119","01/05/14 0119","01/05/14 0119","Beach Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.639494,42.022655
"14-000015","01/10/14 0410","01/10/14 0410","01/10/14 0410","Hayward Avenue and Lincoln Way","Arrest","public intoxication",-93.6517059,42.0228461
"14-000016","01/10/14 0815",NA,NA,"Lot 47","Open","hit and run",-93.6405166,42.0280461
"14-000017","01/10/14 0807","01/10/14 0807","01/10/14 0807","Schilletter Village","Arrest","trespass",-93.6419526,42.0440492
"14-000018","01/11/14 0039","01/11/14 0039","01/11/14 0039","Ash Avenue and Gable Lane","Arrest","public intoxication",-93.6444023,42.0214733
"14-000019","01/11/14 0039","01/11/14 0039","01/11/14 0039","Chamberlain Street and Welch Avenue","Arrest","public intoxication",-93.6501941,42.0214439
"14-000020","01/11/14 0232","01/11/14 0232","01/11/14 0232","Wilson Hall","Arrest","drug violation",-93.651021,42.0139143
"14-000021","01/12/14 0316","01/12/14 0316","01/12/14 0316","Hazel Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6267992,42.022851
"14-000022","01/12/14 0316","01/12/14 0316","01/12/14 0316","Hayward Avenue and Mortensen Parkway","Arrest","liquor law violation",-93.6516786,42.0118612
"14-000023","01/12/14 0352","01/12/14 0352","01/12/14 0352","Lincoln Way and State Avenue","Arrest","operating while intoxicated",-93.6591203,42.0227266
"14-000024","01/12/14 2120","01/12/14 2120","01/12/14 2120","Helser Hall","Arrest","drug violation",-93.6518379,42.02424
"14-000024","01/12/14 2120","01/12/14 2120","01/12/14 2120","Helser Hall","Arrest","liquor law violation",-93.6518379,42.02424
"14-000025","01/13/14 0426","01/13/14 0426","01/13/14 0426","ARMORY BUILDING","Open","drug violation",-93.6509474,42.029626
"14-000026","01/13/14 1416",NA,NA,"Maple-Willow-Larch Commons","Open","theft",-93.6382459,42.0237874
"14-000028","01/13/14 1848",NA,NA,"Willow Hall","Open","theft",-93.6377325,42.0239136
"14-000028","01/13/14 1848",NA,NA,"Willow Hall","Open","theft",-93.6377325,42.0239136
"14-000029","01/13/14 2006","01/13/14 2006","01/13/14 2006","Hilton Coliseum","Arrest","public intoxication",-93.635074,42.022693
"14-000030","01/13/14 2355",NA,NA,"Armory Building","Open","harassment",-93.6509474,42.029626
"14-000032","01/14/14 1510",NA,NA,"Lot 21","Open","hit and run",-93.651571,42.0297193
"14-000033","01/14/14 1607","01/14/14 1607","01/20/14 1857","Memorial Union","Arrest","theft",-93.6459454,42.0236502
