"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"14-000034","01/14/14 1626",NA,NA,"2600 block of Bruner Drive","Open","theft",-93.6442967,42.0389824
"14-000034","01/14/14 1626","01/14/14 1200","01/14/14 1620","ISU FAMILY RESOURCE CENTER","Open","theft",NA,NA
"14-000037","01/15/14 0910",NA,NA,"Sweeney Hall","Open","vandalism",-93.6509194,42.0278127
"14-000038","01/15/14 1617",NA,NA,"Lot 112A","Open","theft",-93.6431428,42.0349871
"14-000039","01/15/14 1927","01/15/14 1927","01/15/14 1927","ARMORY BUILDING","Open","drug violation",-93.6509474,42.029626
"14-000040","01/15/14 1944","01/15/14 1944","01/15/14 1944","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"14-000040","01/15/14 1944","01/15/14 1944","01/15/14 1944","Friley Hall","Arrest","liquor law violation",-93.65045,42.0239234
"14-000041","01/15/14 2203","01/15/14 2203","01/15/14 2203","Willow Hall","Arrest","drug violation",-93.6377325,42.0239136
"14-000042","01/16/14 0137","01/16/14 0137","01/16/14 0137","Lincoln Way and North Dakota Avenue","Arrest","operating while intoxicated",-93.6786888,42.0230153
"14-000042","01/16/14 0137","01/16/14 0137","01/16/14 0137","Lincoln Way and North Dakota Avenue","Arrest","drug violation",-93.6786888,42.0230153
"14-000042","01/16/14 0137","01/16/14 0137","01/16/14 0137","Lincoln Way and North Dakota Avenue","Arrest","unlawful use of license",-93.6786888,42.0230153
"14-000043","01/16/14 1232",NA,NA,"Friley Hall","Open","theft",-93.65045,42.0239234
"14-000045","01/16/14 2156",NA,NA,"Lot 61A","Open","theft",-93.6483506,42.0124764
"14-000046","01/16/14 2209","01/16/14 2209","01/16/14 2209","FRILEY HALL","Open","drug violation",-93.65045,42.0239234
"14-000047","01/17/14 0315","01/17/14 0315","01/17/14 0315","Wallace Hall","Arrest","public intoxication",-93.6499279,42.0142261
"14-000048","01/17/14 1011",NA,NA,"Lot 201","Open","vandalism",NA,NA
"14-000048","01/17/14 1011","01/16/14 1000","01/17/14 1000","157 UNIVERSITY VILLAGE","Open","theft",-93.6441672,42.0427435
"14-000049","01/17/14 1504","01/17/14 1504","01/17/14 1504","ARMORY BUILDING","Open","drug violation",-93.6509474,42.029626
"14-000051","01/17/14 1714","01/17/14 1714","01/17/14 1714","Buchanan Hall","Arrest","drug violation",-93.642449,42.022653
"14-000051","01/17/14 1714","01/17/14 1714","01/17/14 1714","Buchanan Hall","Arrest","trespass",-93.642449,42.022653
"14-000052","01/18/14 0059",NA,NA,"Linden Hall","Open","harassment",-93.6403252,42.0231404
"14-000053","01/18/14 0235","01/18/14 0235","01/18/14 0235","Hayward Avenue and Knapp Street","Arrest","operating while intoxicated",-93.6517339,42.0191154
"14-000053","01/18/14 0235","01/18/14 0235","01/18/14 0235","Hayward Avenue and Knapp Street","Arrest","drug violation",-93.6517339,42.0191154
"14-000054","01/18/14 0248","01/18/14 0248","01/18/14 0248","Hayward Avenue and Knapp Street","Arrest","public intoxication",-93.6517339,42.0191154
"14-000055","01/18/14 0459","01/18/14 0459","01/18/14 0459","Chamberlain Street and Stanton Avenue","Arrest","driving violation",-93.6484903,42.0214258
"14-000055","01/18/14 0459","01/18/14 0459","01/18/14 0459","Chamberlain Street and Stanton Avenue","Arrest","liquor law violation",-93.6484903,42.0214258
"14-000056","01/18/14 1214",NA,NA,"Lot 28","Open","hit and run",-93.6495783,42.0319068
"14-000057","01/18/14 1547","01/18/14 1547","01/18/14 1547","Helser Hall","Arrest","drug violation",-93.6518379,42.02424
"14-000058","01/18/14 1656",NA,NA,"State Gymnasium","Open","theft",-93.6538021,42.0246748
"14-000059","01/17/14 2335","01/12/14 2000","01/17/14 2000","LOT 61A","Open","theft",-93.6483506,42.0124764
"14-000059","01/18/14 2020",NA,NA,"Lot 61A","Open","theft",-93.6483506,42.0124764
"14-000061","01/18/14 2138","01/18/14 2138","01/18/14 2138","Willow Hall","Arrest","liquor law violation",-93.6377325,42.0239136
"14-000063","01/19/14 0045","01/19/14 0045","01/19/14 0045","Beach Road and Lincoln Way","Arrest","driving violation",-93.6394928,42.0227678
"14-000063","01/19/14 0045","01/19/14 0045","01/19/14 0045","Beach Road and Lincoln Way","Arrest","drug violation",-93.6394928,42.0227678
"14-000063","01/19/14 0045","01/19/14 0045","01/19/14 0045","Beach Road and Lincoln Way","Arrest","unlawful use of license",-93.6394928,42.0227678
"14-000064","01/19/14 0159","01/19/14 0159","01/19/14 0159","FRILEY HALL","Open","drug violation",-93.65045,42.0239234
"14-000065","01/19/14 0253","01/19/14 0253","01/19/14 0253","Lincoln Way and Sheldon Avenue","Arrest","liquor law violation",-93.6542392,42.0227224
"14-000066","01/19/14 0317","01/19/14 0317","01/19/14 0317","Maricopa Drive","Arrest","trespass",-93.6723197,42.0084731
"14-000066","01/19/14 0317","01/19/14 0317","01/19/14 0317","Maricopa Drive","Arrest","vandalism",-93.6723197,42.0084731
"14-000067","01/19/14 2334","01/19/14 1954","01/19/14 2334","HELSER HALL","Open","drug violation",-93.6518379,42.02424
"14-000067","01/19/14 2334","01/19/14 1954","01/19/14 2334","HELSER HALL","Open","liquor law violation",-93.6518379,42.02424
"14-000070","01/20/14 0038","01/20/14 0038","01/20/14 0038","Welch Hall","Arrest","liquor law violation",-93.6420811,42.0236532
"14-000071","01/20/14 0043","01/20/14 0043","01/20/14 0043","Larch Hall","Arrest","liquor law violation",-93.6382868,42.0232779
"14-000072","01/20/14 0044","01/20/14 0044","01/20/14 0044","2600 block of Lincoln Way","Arrest","public intoxication",-93.6517229,42.0227346
"14-000072","01/20/14 0044","01/20/14 0044","01/20/14 0044","2600 block of Lincoln Way","Arrest","liquor law violation",-93.6517229,42.0227346
"14-000072","01/20/14 0044","01/20/14 0044","01/20/14 0044","2600 block of Lincoln Way","Arrest","unlawful use of license",-93.6517229,42.0227346
"14-000073","01/20/14 0107","01/20/14 0107","01/20/14 0107","Hunt Street and South Sheldon Avenue","Arrest","public intoxication",-93.6542234,42.0201273
"14-000074","01/20/14 0144","01/20/14 0144","01/20/14 0144","Hyland Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6555907,42.0227264
"14-000077","01/20/14 1047","01/20/14 1047","01/20/14 1047","Lot 202","Arrest","driving violation",NA,NA
"14-000078","01/20/14 1144",NA,NA,"Ames Intermodal Facility","Open","hit and run",-93.6523433,42.0210166
"14-000080","01/21/14 1843","01/21/14 1843","01/21/14 1843","East Campus Parking Deck","Arrest","driving violation",-93.6523433,42.0210166
"14-000081","01/22/14 0101","01/22/14 0101","01/22/14 0101","Beach Avenue and Greenbriar Circle","Arrest","drug violation",-93.639397,42.0125416
"14-000081","01/22/14 0101","01/22/14 0101","01/22/14 0101","Beach Avenue and Greenbriar Circle","Arrest","liquor law violation",-93.639397,42.0125416
"14-000082","01/22/14 0747",NA,NA,"Hamilton Hall","Open","theft",-93.6420985,42.0275353
"14-000083","01/22/14 0809",NA,NA,"Alumni Center","Open","theft",-93.6387083,42.0181584
"14-000085","01/22/14 1938",NA,NA,"State Gymnasium","Open","theft",-93.6538021,42.0246748
"14-000086","01/23/14 0215","01/23/14 0215","01/23/14 0215","2500 block of Lincoln Way","Arrest","operating while intoxicated",-93.6506776,42.0223672
"14-000089","01/24/14 0155","01/24/14 0155","01/24/14 0155","Lincoln Way and Union Drive","Arrest","operating while intoxicated",-93.64278,42.0226914
"14-000090","01/24/14 0202","01/24/14 0202","01/24/14 0202","Hyland Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6555907,42.0227264
"14-000091","01/24/14 1630",NA,NA,"Martin Hall","Open","harassment",-93.6529424,42.0238665
"14-000092","01/24/14 2139",NA,NA,"Hoover Hall","Open","theft",-93.6511839,42.0266539
"14-000093","01/25/14 0036","01/25/14 0036","01/25/14 0036","LARCH HALL","Open","disorderly conduct",-93.6382868,42.0232779
"14-000093","01/25/14 0036",NA,NA,"Larch Hall","Open","assault",-93.6382868,42.0232779
"14-000094","01/25/14 0106",NA,NA,"Larch Hall","Open","vandalism",-93.6382868,42.0232779
"14-000095","01/25/14 0204","01/25/14 0204","01/25/14 0204","Country Club Boulevard and Pearson Avenue","Arrest","liquor law violation",-93.6417492,42.0179131
"14-000096","01/25/14 0230","01/25/14 0230","01/25/14 0230","Chamberlain Street and Hayward Avenue","Arrest","operating while intoxicated",-93.6517204,42.0214474
"14-000096","01/25/14 0230","01/25/14 0230","01/25/14 0230","Chamberlain Street and Hayward Avenue","Arrest","liquor law violation",-93.6517204,42.0214474
"14-000097","01/25/14 0238","01/25/14 0238","01/25/14 0238","200 block of Sheldon Avenue","Arrest","operating while intoxicated",-93.6543157,42.0261159
"14-000098","01/25/14 0347","01/25/14 0347","01/25/14 0347","Lot 43","Arrest","public intoxication",-93.6451572,42.0284868
"14-000101","01/25/14 1550",NA,NA,"University Village","Open","theft",-93.6441672,42.0427435
"14-000102","01/25/14 1807","01/25/14 1807","01/25/14 1807","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"14-000103","01/26/14 0005","01/25/14 1923","01/25/14 1923","HELSER HALL","Open","drug violation",-93.6518379,42.02424
"14-000103","01/26/14 0005","01/25/14 1923","01/25/14 1923","HELSER HALL","Open","liquor law violation",-93.6518379,42.02424
"14-000104","01/25/14 2314","01/25/14 2314","01/25/14 2314","Larch Hall","Arrest","liquor law violation",-93.6382868,42.0232779
"14-000105","01/26/14 0005","01/26/14 0005","01/26/14 0005","100 block of Stanton Avenue","Arrest","liquor law violation",-93.6485138,42.0227307
"14-000106","01/26/14 0016","01/26/14 0016","01/26/14 0016","HUNT ST/WELCH AVE","Arrest","all other offenses",NA,NA
"14-000106","01/26/14 0016","01/26/14 0016","01/26/14 2357","Hunt Street and Welch Avenue","Arrest","liquor law violation",-93.6501239,42.0202787
"14-000107","01/26/14 0022","01/26/14 0022","01/26/14 0022","300 block of Welch Avenue","Arrest","public intoxication",-93.6497151,42.0200666
"14-000108","01/26/14 0029","01/26/14 0029","01/26/14 0029","Hayward Avenue and Knapp Street","Arrest","operating while intoxicated",-93.6517339,42.0191154
"14-000108","01/26/14 0029","01/26/14 0029","01/26/14 0029","Hayward Avenue and Knapp Street","Arrest","driving violation",-93.6517339,42.0191154
"14-000108","01/26/14 0029","01/26/14 0029","01/26/14 0029","Hayward Avenue and Knapp Street","Arrest","liquor law violation",-93.6517339,42.0191154
"14-000111","01/26/14 0122","01/26/14 0122","01/26/14 0122","Roberts Hall","Resolved","disorderly conduct",-93.6425636,42.0239302
"14-000113","01/26/14 0116",NA,"02/26/14 1818","Martin Hall","Arrest","vandalism",-93.6529424,42.0238665
"14-000115","01/26/14 0401","01/26/14 0401","01/26/14 0401","Helser Hall","Arrest","public intoxication",-93.6518379,42.02424
"14-000118","01/26/14 1239",NA,NA,"Lot 61B","Open","vandalism",-93.6483675,42.0135352
"14-000119","01/26/14 1228","01/26/14 1228","01/26/14 1228","MEMORIAL UNION","Open","drug violation",-93.6459454,42.0236502
"14-000119","01/26/14 1228","01/26/14 1228","01/26/14 1228","MEMORIAL UNION","Open","all other offenses",-93.6459454,42.0236502
"14-000120","01/26/14 1333",NA,NA,"Lot 59D","Open","hit and run",-93.6510118,42.0235902
"14-000121","01/26/14 1624","01/26/14 1624","01/26/14 1624","Friley Hall","Arrest","liquor law violation",-93.65045,42.0239234
"14-000122","01/27/14 1008",NA,NA,"South Woodruff Farm","Open","vandalism",NA,NA
"14-000123","01/27/14 1852","01/27/14 1852","01/27/14 1852","LOT 100","Arrest","weapon violation",-93.6377706,42.0258047
"14-000123","01/27/14 1852","01/27/14 1852",NA,"Lot 100","Arrest","harassment",-93.6377706,42.0258047
"14-000123","01/27/14 1852","01/27/14 1852",NA,"Lot 100","Arrest","assault",-93.6377706,42.0258047
"14-000123","01/27/14 1852","01/27/14 1852",NA,"Lot 100","Arrest","weapon violation",-93.6377706,42.0258047
"14-000124","01/28/14 0046","01/28/14 0046","01/28/14 0046","Lincoln Way and Stanton Avenue","Arrest","driving violation",-93.6485139,42.0227359
"14-000126","01/28/14 0915",NA,NA,"Bissell Road and Osborn Drive","Open","theft",-93.6518898,42.0288877
"14-000127","01/28/14 1616","01/28/14 1616","01/28/14 1616","ARMORY BUILDING","Open","drug violation",-93.6509474,42.029626
"14-000129","01/28/14 1808","01/28/14 1808","01/28/14 1808","13th Street and Stange Road","Arrest","operating while intoxicated",-93.620521,42.034189
"14-000130","01/28/14 1853",NA,NA,"3300 block of West Street","Open","theft",-93.6616493,42.0249486
"14-000132","01/29/14 0002",NA,NA,"Friley Hall","Open","vandalism",-93.65045,42.0239234
"14-000134","01/29/14 1212",NA,NA,"Central Campus","Open","theft",-93.6464654,42.0266187
"14-000135","01/29/14 1741","01/29/14 1741","01/29/14 1741","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"14-000136","01/30/14 0150","01/30/14 0150","01/30/14 0150","Lot 112A","Arrest","driving violation",-93.6431428,42.0349871
"14-000138","01/30/14 1612",NA,NA,"Farmhouse Lane","Open","vandalism",-93.6437128,42.0272173
"14-000140","01/31/14 0211","01/31/14 0211","01/31/14 0211","Lincoln Way and State Avenue","Arrest","operating while intoxicated",-93.6591203,42.0227266
"14-000143","01/31/14 1448",NA,NA,"Wallace Hall","Open","sexual assault",-93.6499279,42.0142261
"14-000145","01/31/14 2139","01/31/14 2139","01/31/14 2139","FREDERIKSEN COURT COMMUNITY CENTER","Arrest","all other offenses",-93.6429145,42.0339213
"14-000145","01/31/14 2139","01/31/14 2139","01/31/14 2139","2100 block of Hawthorn Court Drive","Arrest","driving violation",-93.6433386,42.0338766
"14-000146","01/31/14 2223","01/31/14 2223","01/31/14 2223","Wallace Hall","Arrest","drug violation",-93.6499279,42.0142261
"14-000146","01/31/14 2223","01/31/14 2223","01/31/14 2223","Wallace Hall","Arrest","liquor law violation",-93.6499279,42.0142261
"14-000146","01/31/14 2223","01/31/14 2223","01/31/14 2223","Wallace Hall","Arrest","unlawful use of license",-93.6499279,42.0142261
"14-000148","02/01/14 0211","02/01/14 0211","02/01/14 0211","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"14-000149","02/01/14 0311","02/01/14 0311","02/01/14 0311","Mortensen Parkway and Welch Road","Arrest","operating while intoxicated",-93.649344,42.0118567
"14-000149","02/01/14 0311","02/01/14 0311","02/01/14 0311","Mortensen Parkway and Welch Road","Arrest","liquor law violation",-93.649344,42.0118567
"14-000153","02/01/14 1814","02/01/14 1814","02/01/14 1814","Linden Hall","Arrest","drug violation",-93.6403252,42.0231404
"14-000154","02/01/14 2304","02/01/14 2304","02/01/14 2304","Wallace Hall","Arrest","drug violation",-93.6499279,42.0142261
"14-000154","02/01/14 2304","02/01/14 2304","02/01/14 2304","Wallace Hall","Arrest","liquor law violation",-93.6499279,42.0142261
"14-000155","02/01/14 2343","02/01/14 2343","02/01/14 2343","LOT 112K","Open","operating while intoxicated",NA,NA
"14-000155","02/01/14 2343","02/01/14 2343","02/01/14 2343","LOT 112K","Open","drug violation",NA,NA
"14-000156","02/02/14 0129","02/02/14 0219","02/02/14 0219","Hayward Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6517059,42.0228461
"14-000157","02/02/14 0244","02/02/14 0244","02/02/14 0244","Knapp Street and Stanton Avenue","Arrest","public intoxication",-93.6485073,42.0191298
"14-000158","02/02/14 0334","02/02/14 0334","02/02/14 0334","Ash Avenue and Knapp Street","Arrest","operating while intoxicated",-93.6443655,42.019142
"14-000159","02/02/14 2339","02/02/14 2339","02/02/14 2339","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"14-000160","02/02/14 2315","02/02/14 2315","02/02/14 2315","Wallace Hall","Arrest","drug violation",-93.6499279,42.0142261
"14-000161","02/03/14 1043","01/14/14 1043","02/03/14 1043","144 UNIVERSITY VILLAGE","Open","fraud",-93.6441672,42.0427435
"14-000161","02/03/14 1043",NA,NA,"University Village","Open","theft",-93.6441672,42.0427435
"14-000163","02/04/14 0146","02/04/14 0146","02/04/14 0146","Welch Hall","Arrest","drug violation",-93.6420811,42.0236532
"14-000163","02/04/14 0146",NA,"02/04/14 0146","Welch Hall","Arrest","liquor law violation",-93.6420811,42.0236532
"14-000164","02/04/14 1246",NA,NA,"Parks Library","Open","theft",-93.6488141,42.0281254
"14-000167","02/04/14 1635",NA,NA,"Lot 61G","Open","theft",-93.6513872,42.0137256
"14-000170","02/05/14 1617",NA,NA,"Scheman Building","Open","theft",-93.6367398,42.021491
"14-000172","02/05/14 2050",NA,NA,"Parks Library","Open","theft",-93.6488141,42.0281254
"14-000173","02/06/14 0108","02/06/14 0108","02/06/14 0108","Bissell Road and Osborn Drive","Arrest","public intoxication",-93.6518898,42.0288877
"14-000173","02/06/14 0108","02/06/14 0108","02/06/14 0108","Bissell Road and Osborn Drive","Arrest","drug violation",-93.6518898,42.0288877
"14-000174","02/06/14 0106","02/06/14 0106","02/06/14 0106","STORM ST/WELCH RD","Arrest","weapon violation",NA,NA
"14-000174","02/06/14 0106","02/06/14 0106","02/11/14 1310","Storm Street and Welch Road","Arrest","drug violation",-93.6500563,42.0161339
"14-000177","02/06/14 0944",NA,NA,"Maple-Willow-Larch Commons","Open","theft",-93.6382459,42.0237874
"14-000178","02/06/14 1531",NA,NA,"Carver Hall","Open","theft",-93.648337,42.0252611
"14-000181","02/06/14 1742",NA,NA,"Helser Hall","Open","theft",-93.6518379,42.02424
"14-000182","02/06/14 1953","02/06/14 1953",NA,"Lied Recreation Center","Unfounded","theft",-93.6372142,42.0267276
"14-000183","02/07/14 0151","02/07/14 0151","02/07/14 0151","Hayward Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6517059,42.0228461
"14-000184","02/07/14 0205","02/07/14 0205","02/07/14 0205","400 block of South Franklin Avenue","Arrest","operating while intoxicated",-93.6644201,42.0182217
"14-000187","02/08/14 0151","02/08/14 0151","02/08/14 0151","Buchanan Hall","Arrest","public intoxication",-93.642449,42.022653
"14-000189","02/08/14 0319","02/08/14 0319","02/08/14 0319","2900 block of Oakland Street","Arrest","operating while intoxicated",-93.6570464,42.0281005
"14-000190","02/08/14 1944",NA,NA,"State Gymnasium","Open","theft",-93.6538021,42.0246748
"14-000191","02/08/14 1928","02/08/14 1928","02/08/14 1928","ROBERTS HALL","Open","drug violation",NA,NA
"14-000192","02/08/14 2029",NA,NA,"State Gymnasium","Open","theft",-93.6538021,42.0246748
"14-000193","02/09/14 0056","02/09/14 0056","02/09/14 0056","Lot 1","Arrest","public intoxication",-93.6540123,42.0236158
"14-000194","02/09/14 0215","02/09/14 0215","02/09/14 0215","300 block of Stanton Avenue","Arrest","operating while intoxicated",-93.6481458,42.0202997
"14-000196","02/10/14 1606","02/10/14 1606","02/12/14 2053","Martin Hall","Arrest","arson",-93.6529424,42.0238665
"14-000197","02/11/14 0810","02/11/14 0810","02/11/14 0810","2421 S. MAPLE STREET","Open","sexual assault",-93.6251737,42.0193033
"14-000198","02/11/14 1253",NA,NA,"Carver Hall","Open","assault",-93.648337,42.0252611
"14-000200","02/11/14 1550",NA,"03/04/14 1655","Student Services Building","Arrest","domestic abuse assault",-93.6501447,42.0253226
"14-000200","02/11/14 1550",NA,NA,"Student Services Building","Open","harassment",-93.6501447,42.0253226
"14-000201","02/11/14 1921","02/11/14 1921","02/11/14 1921","Helser Hall","Arrest","drug violation",-93.6518379,42.02424
"14-000201","02/11/14 1921","02/11/14 1921","02/11/14 1921","Helser Hall","Arrest","liquor law violation",-93.6518379,42.02424
"14-000203","02/12/14 1529","02/12/14 1529","02/12/14 1529","CURTISS HALL","Open","theft",-93.6448628,42.0261821
"14-000203","02/12/14 1529",NA,NA,"Curtiss Hall","Open","vandalism",-93.6448628,42.0261821
"14-000204","02/12/14 1602",NA,NA,"Frederiksen Court","Open","theft",-93.6440878,42.0340306
"14-000206","02/13/14 0820",NA,NA,"Memorial Union","Open","theft",-93.6459454,42.0236502
"14-000208","02/13/14 2213","02/13/14 2213","02/17/14 0800","Larch Hall","Arrest","liquor law violation",-93.6382868,42.0232779
"14-000209","02/14/14 0128","02/14/14 0128","02/14/14 0128","100 block of North Sheldon Avenue","Arrest","public intoxication",-93.65443,42.0217676
"14-000210","02/14/14 0215","02/14/14 0215","02/14/14 0215","Mortensen Road and Poe Avenue","Arrest","driving violation",NA,NA
"14-000214","02/14/14 1454",NA,NA,"Beardshear Hall","Open","vandalism",-93.6484405,42.0261746
"14-000216","02/15/14 0233","02/15/14 0233","02/15/14 0233","Ash Avenue and Knapp Street","Arrest","operating while intoxicated",-93.6443655,42.019142
"14-000216","02/15/14 0233","02/15/14 0233","02/15/14 0233","Ash Avenue and Knapp Street","Arrest","drug violation",-93.6443655,42.019142
"14-000216","02/15/14 0233","02/15/14 0233","02/15/14 0233","Ash Avenue and Knapp Street","Arrest","liquor law violation",-93.6443655,42.019142
"14-000217","02/15/14 0238","02/15/14 0238","02/15/14 0238","Mortensen Road and State Avenue","Arrest","operating while intoxicated",-93.6589323,42.0118849
"14-000218","02/15/14 0300","02/15/14 0300","02/15/14 0300","Mortensen Road and State Avenue","Arrest","public intoxication",-93.6589323,42.0118849
"14-000219","02/15/14 0309","02/15/14 0309","02/15/14 0309","300 block of Ash Avenue","Arrest","public intoxication",-93.6443295,42.0201016
"14-000221","02/16/14 0225","02/16/14 0225","02/16/14 0225","300 block of Ash Avenue","Arrest","operating while intoxicated",-93.6443295,42.0201016
"14-000226","02/17/14 1246",NA,NA,"6th Street and University Boulevard","Open","hit and run",-93.633501,42.027804
"14-000227","02/17/14 1449",NA,NA,"Lot 61A","Open","hit and run",-93.6483506,42.0124764
"14-000228","02/17/14 2036","02/17/14 2036","02/17/14 2036","62 FREDERIKSEN COURT","Arrest","liquor law violation",-93.640536,42.0332645
"14-000228","02/17/14 2130","02/17/14 2130","02/17/14 2130","Frederiksen Court","Arrest","drug violation",-93.6440878,42.0340306
"14-000230","02/17/14 2225","02/17/14 2225","02/17/14 2225","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"14-000230","02/17/14 2225","02/17/14 2225","02/17/14 2225","Larch Hall","Arrest","liquor law violation",-93.6382868,42.0232779
"14-000235","02/18/14 1413",NA,NA,"Veterinary Medicine","Open","theft",-93.633833,42.006383
"14-000236","02/18/14 1556",NA,NA,"Memorial Union","Open","theft",-93.6459454,42.0236502
"14-000237","02/18/14 2109",NA,NA,"Lloyd Veterinary Medical Center","Open","theft",-93.631937,42.0064424
"14-000238","02/19/14 0225","02/19/14 0225","02/19/14 0225","Ash Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.64441,42.0226961
"14-000243","02/19/14 1726","02/19/14 1726","02/19/14 1726","2470 UNION DR","Open","operating while intoxicated",-93.6517676,42.0253623
"14-000245","02/19/14 2220",NA,NA,"Beyer Hall","Arrest","theft",-93.6529169,42.0259395
"14-000246","02/19/14 2336","02/19/14 2315","02/19/14 2336","LINCOLN WAY/S HYLAND AVE","Inactive","violation",NA,NA
"14-000247","02/20/14 0102","02/20/14 0102","02/20/14 0102","Lincoln Way and State Avenue","Arrest","operating while intoxicated",-93.6591203,42.0227266
"14-000247","02/20/14 0102","02/20/14 0102","02/20/14 0102","Lincoln Way and State Avenue","Arrest","liquor law violation",-93.6591203,42.0227266
