"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"15-000001","01/01/15 0008","01/01/15 0008","01/01/15 0008","2700 block of Knapp Street","Arrest","license violation",-93.6541251,42.0191402
"15-000002","01/01/15 0106","01/01/15 0106","01/01/15 0106","Beach Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.639494,42.022655
"15-000002","01/01/15 0106","01/01/15 0106","01/01/15 0106","Beach Avenue and Lincoln Way","Arrest","alcohol violation",-93.639494,42.022655
"15-000002","01/01/15 0106","01/01/15 0106","01/01/15 0106","Beach Avenue and Lincoln Way","Arrest","license violation",-93.639494,42.022655
"15-000003","01/01/15 0222","01/01/15 0222","01/01/15 0222","200 block of Stanton Avenue","Arrest","operating while intoxicated",-93.648229,42.021222
"15-000004","01/01/15 0412","01/01/15 0412","01/01/15 0412","100 block of Welch Avenue","Arrest","operating while intoxicated",-93.6501392,42.02272
"15-000006","01/02/15 0218","01/02/15 0218","01/02/15 0218","Chamberlain Street and Hayward Avenue","Arrest","public intoxication",-93.6517204,42.0214474
"15-000006","01/02/15 0218","01/02/15 0218","01/02/15 0218","Chamberlain Street and Hayward Avenue","Arrest","public intoxication",-93.6517204,42.0214474
"15-000007","01/02/15 0631",NA,"01/02/15 0631","University Village","Open","theft",-93.6441672,42.0427435
"15-000008","01/03/15 2138","01/03/15 2138","01/03/15 2138","Lincoln Way and South Riverside Drive","Arrest","driving violation",-93.6296177,42.0228334
"15-000014","01/06/15 1704",NA,"01/06/15 1704","Memorial Union","Open","harassment",-93.6459454,42.0236502
"15-000021","01/09/15 0156","01/09/15 0156","01/09/15 0156","Mortensen Road and State Avenue","Arrest","operating while intoxicated",-93.6589323,42.0118849
"15-000022","01/09/15 2214","01/09/15 2214","03/23/15 1959","Willow Hall","Arrest","drug violation",-93.6377325,42.0239136
"15-000024","01/10/15 1149",NA,"01/10/15 1149","Armory Building","Open","harassment",-93.6509474,42.029626
"15-000026","01/10/15 1156","01/10/15 1156","01/10/15 1156","Helser Hall","Arrest","drug violation",-93.6518379,42.02424
"15-000026","01/10/15 1156","01/10/15 1156","01/10/15 1156","Helser Hall","Arrest","alcohol violation",-93.6518379,42.02424
"15-000027","01/11/15 0301","01/11/15 0301","01/11/15 0301","Ash Avenue and Mortensen Parkway","Arrest","operating while intoxicated",-93.646758,42.0113047
"15-000027","01/11/15 0301","01/11/15 0301","01/11/15 0301","Ash Avenue and Mortensen Parkway","Arrest","alcohol violation",-93.646758,42.0113047
"15-000028","01/12/15 1231",NA,"01/12/15 1231","Parks Library","Open","theft",-93.6488141,42.0281254
"15-000030","01/12/15 1643","01/12/15 1643","01/12/15 1643","Buchanan Hall","Arrest","drug violation",-93.642449,42.022653
"15-000031","01/12/15 2256","01/12/15 2256","01/12/15 2256","Willow Hall","Arrest","drug violation",-93.6377325,42.0239136
"15-000031","01/12/15 2256","01/12/15 2256","01/12/15 2256","Willow Hall","Arrest","alcohol violation",-93.6377325,42.0239136
"15-000032","01/13/15 0031","01/13/15 0031","01/13/15 0031","Lot 61A","Arrest","operating while intoxicated",-93.6483506,42.0124764
"15-000032","01/13/15 0031","01/13/15 0031","01/13/15 0031","Lot 61A","Arrest","drug violation",-93.6483506,42.0124764
"15-000035","01/14/15 1311",NA,"01/14/15 1311","Armory Building","Open","harassment",-93.6509474,42.029626
"15-000037","01/15/15 0329","01/15/15 0329","01/15/15 0329","Beach Avenue and Lincoln Way","Arrest","driving violation",-93.639494,42.022655
"15-000039","01/16/15 0145","01/16/15 0145","01/16/15 0145","Baker Street and Stanton Avenue","Arrest","public intoxication",-93.6484826,42.0179299
"15-000039","01/16/15 0145","01/16/15 0145","01/16/15 0145","Baker Street and Stanton Avenue","Arrest","public intoxication",-93.6484826,42.0179299
"15-000039","01/16/15 0145","01/16/15 0145","01/16/15 0145","Baker Street and Stanton Avenue","Arrest","interference",-93.6484826,42.0179299
"15-000040","01/16/15 0208","01/16/15 0208","01/16/15 0208","Lincoln Way and Riverside Drive","Arrest","operating while intoxicated",NA,NA
"15-000044","01/16/15 2201","01/16/15 2201","01/16/15 2201","Larch Hall","Arrest","alcohol violation",-93.6382868,42.0232779
"15-000046","01/17/15 0042",NA,"01/17/15 0042","Larch Hall","Open","vandalism",-93.6382868,42.0232779
"15-000048","01/17/15 0147","01/17/15 0147","01/17/15 0147","119 Stanton Avenue","Arrest","public intoxication",-93.6489377,42.0219747
"15-000048","01/17/15 0147","01/17/15 0147","01/17/15 0147","119 Stanton Avenue","Arrest","public intoxication",-93.6489377,42.0219747
"15-000049","01/17/15 0243","01/17/15 0243","01/17/15 0243","100 block of Hyland Avenue","Arrest","operating while intoxicated",-93.6555855,42.0226467
"15-000050","01/17/15 0303","01/17/15 0303","01/17/15 0303","Dickinson Avenue and Steinbeck Street","Arrest","operating while intoxicated",-93.6809282,42.0146647
"15-000053","01/17/15 2302",NA,"03/11/15 0753","Iowa State Center","Arrest","theft",-93.6375176,42.0213294
"15-000054","01/18/15 0509",NA,"01/18/15 0509","Larch Hall","Open","vandalism",-93.6382868,42.0232779
"15-000057","01/18/15 2006","01/18/15 2006","01/18/15 2006","Beyer Court and Union Drive","Arrest","drug violation",-93.6507255,42.0251486
"15-000061","01/19/15 0030","01/19/15 0030","01/19/15 0030","Memorial Union","Arrest","trespass",-93.6459454,42.0236502
"15-000065","01/19/15 2153","01/19/15 2153","01/19/15 2153","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"15-000066","01/20/15 1412",NA,"01/20/15 1412","University Village","Open","theft",-93.6441672,42.0427435
"15-000067","01/20/15 1950",NA,"01/20/15 1950","Frederiksen Court","Open","harassment",-93.6440878,42.0340306
"15-000069","01/21/15 1138",NA,"01/21/15 1138","Welch Hall","Closed","theft",-93.6420811,42.0236532
"15-000072","01/21/15 1354",NA,"02/09/15 0800","2900 block of West Street","Arrest","sexual assault",-93.6572344,42.0251692
"15-000073","01/21/15 2131","01/21/15 2131","01/21/15 2131","Welch Hall","Arrest","drug violation",-93.6420811,42.0236532
"15-000074","01/22/15 0253","01/22/15 0253","01/22/15 0253","13th Street and Stange Road","Arrest","driving violation",-93.620521,42.034189
"15-000075","01/22/15 1108","01/22/15 1108","01/22/15 1108","Iowa Circle and Ontario Street","Arrest","driving violation",NA,NA
"15-000078","01/22/15 1953","01/22/15 1953","01/22/15 1953","Lot 63","Arrest","drug violation",-93.6367573,42.0239698
"15-000080","01/23/15 0038","01/23/15 0038","01/23/15 0038","Lincoln Way and Sheldon Avenue","Arrest","alcohol violation",-93.6542392,42.0227224
"15-000082","01/23/15 0203","01/23/15 0203","01/23/15 0203","Dotson Drive and Lincoln Way","Arrest","operating while intoxicated",NA,NA
"15-000081","01/23/15 0204","01/23/15 0204","01/23/15 0204","Steinbeck Street and South Dakota Avenue","Arrest","driving violation",-93.6786731,42.0145902
"15-000081","01/23/15 0204","01/23/15 0204","01/23/15 0204","Steinbeck Street and South Dakota Avenue","Arrest","interference",-93.6786731,42.0145902
"15-000086","01/23/15 1013","01/19/15 0000","01/23/15 1013","Larch Hall","Open","sexual assault",-93.6382868,42.0232779
"15-000085","01/23/15 1043",NA,"01/23/15 1043","Armory Building","Open","theft",-93.6509474,42.029626
"15-000087","01/23/15 1728","01/23/15 1728","01/23/15 1728","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"15-000088","01/23/15 1732",NA,"01/23/15 1732","Hach Hall","Open","theft",-93.6496834,42.0301324
"15-000089","01/23/15 2014","01/23/15 2014","01/23/15 2014","Maple Hall","Arrest","drug violation",-93.6387491,42.023654
"15-000089","01/23/15 2014","01/23/15 2014","01/23/15 2014","Maple Hall","Arrest","alcohol violation",-93.6387491,42.023654
"15-000090","01/23/15 2130",NA,"01/23/15 2130","Forker Building","Open","theft",-93.6403143,42.0268097
"15-000091","01/23/15 2317","01/23/15 2317","01/23/15 2317","Wilson Hall","Arrest","alcohol violation",-93.651021,42.0139143
"15-000093","01/24/15 0213","01/24/15 0213","01/24/15 0213","100 block of South Hyland Avenue","Arrest","alcohol violation",-93.6555855,42.0226467
"15-000094","01/24/15 0237","01/24/15 0237","01/24/15 0237","Blankenburg Drive and Stange Road","Arrest","operating while intoxicated",-93.6448338,42.0415899
"15-000095","01/24/15 0326","01/24/15 0326","01/24/15 0326","Roberts Hall","Arrest","alcohol violation",-93.6425636,42.0239302
"15-000097","01/24/15 1624",NA,"01/24/15 1624","Lot 63","Open","vandalism",-93.6367573,42.0239698
"15-000098","01/24/15 2147",NA,"01/24/15 2147","Ames Intermodal Facility","Open","vandalism",-93.6523433,42.0210166
"15-000100","01/25/15 0024","01/25/15 0024","01/25/15 0024","Buchanan Hall","Arrest","public intoxication",-93.642449,42.022653
"15-000100","01/25/15 0024","01/25/15 0024","01/25/15 0024","Buchanan Hall","Arrest","public intoxication",-93.642449,42.022653
"15-000100","01/25/15 0024","01/25/15 0024","01/25/15 0024","Buchanan Hall","Arrest","alcohol violation",-93.642449,42.022653
"15-000100","01/25/15 0024","01/25/15 0024","01/25/15 0024","Buchanan Hall","Arrest","license violation",-93.642449,42.022653
