"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"17-000059","01/19/17 0354","01/19/17 0354","01/19/17 0354","2636 Lincoln Way","Arrest","operating while intoxicated",-93.65345,42.022488
"17-000059","01/19/17 0354","01/19/17 0354","01/19/17 0354","2636 Lincoln Way","Arrest","alcohol violation",-93.65345,42.022488
"17-000060","01/19/17 2053","01/19/17 2053","01/19/17 2053","Lot 63","Arrest","drug violation",-93.6367573,42.0239698
"17-000061","01/20/17 0010","01/20/17 0010","01/20/17 0010","Maple Hall","Arrest","drug violation",-93.6387491,42.023654
"17-000062","01/20/17 1321",NA,"01/20/17 1321","Armory Building","Open","theft",-93.6509474,42.029626
"17-000063","01/20/17 1412",NA,"01/20/17 1412","Memorial Union","Open","theft",-93.6459454,42.0236502
"17-000065","01/20/17 2249","01/20/17 2249","01/20/17 2249","Helser Hall","Arrest","public intoxication",-93.6518379,42.02424
"17-000065","01/20/17 2249","01/20/17 2249","01/20/17 2249","Helser Hall","Arrest","criminal mischief",-93.6518379,42.02424
"17-000066","01/21/17 0022","01/21/17 0022","01/21/17 0022","Mortensen Road and State Avenue","Open","assault",-93.6589323,42.0118849
"17-000068","01/21/17 0155","01/21/17 0155","01/21/17 0155","Story Street and Wilmoth Avenue","Arrest","operating while intoxicated",-93.6616201,42.0241238
"17-000068","01/21/17 0155","01/21/17 0155","01/21/17 0155","Story Street and Wilmoth Avenue","Arrest","interference",-93.6616201,42.0241238
"17-000069","01/21/17 0201",NA,"01/21/17 0201","Larch Hall","Open","theft",-93.6382868,42.0232779
"17-000070","01/21/17 2143","01/21/17 2143","01/21/17 2143","Lot 61G","Arrest","drug violation",-93.6513872,42.0137256
"17-000076","01/22/17 1532","01/22/17 1532","01/22/17 1532","Wallace Hall","Open","disorderly conduct",-93.6499279,42.0142261
"17-000078","01/23/17 1419",NA,"01/23/17 1419","Lot 61B","Open","theft",-93.6483675,42.0135352
"17-000079","01/23/17 2127","01/23/17 2127","01/23/17 2127","Hyland Avenue and Lincoln Way","Arrest","drug violation",-93.6555907,42.0227264
"17-000080","01/24/17 0025","01/24/17 0025","01/24/17 0025","Maple Hall","Arrest","drug violation",-93.6387491,42.023654
"17-000081","01/24/17 0156","01/24/17 0156","01/24/17 0156","1102 Haber Road","Arrest","drug violation",-93.6382242,42.0321544
"17-000085","01/24/17 2034","01/24/17 2034","01/24/17 2034","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"17-000095","01/25/17 2033","01/25/17 2033","01/25/17 2033","Linden Hall","Arrest","drug violation",-93.6403252,42.0231404
"17-000097","01/26/17 2108",NA,"01/26/17 2108","Nuclear Engineering Laboratory","Open","vandalism",-93.6515348,42.0274528
"17-000098","01/27/17 0100","01/27/17 0100","01/27/17 0100","Beach Avenue and Indiangrass Court","Arrest","operating while intoxicated",-93.6397111,42.009656
"17-000101","01/27/17 1316","01/27/17 1316","01/27/17 1316","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000103","01/27/17 2344","01/27/17 2344","01/27/17 2344","Willow Hall","Arrest","drug violation",-93.6377325,42.0239136
"17-000104","01/28/17 0021","01/28/17 0021","01/28/17 0021","Ash Avenue and Sunset Drive","Arrest","alcohol violation",-93.6443636,42.0201199
"17-000106","01/28/17 0307","01/28/17 0307","01/28/17 0307","South 16th Street and University Boulevard","Arrest","public intoxication",-93.6337562,42.0114627
"17-000107","01/28/17 1326",NA,"01/28/17 1326","Lot 61B","Open","theft",-93.6483675,42.0135352
"17-000109","01/28/17 2024",NA,"01/28/17 2024","Elm Hall","Open","theft",-93.6403311,42.0251392
"17-000112","01/29/17 0104","01/29/17 0104","01/29/17 0104","Knapp Street and South Sheldon Avenue","Arrest","public intoxication",-93.6541251,42.0191402
"17-000115","01/30/17 1125",NA,"01/30/17 1125","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000116","01/30/17 2108",NA,"01/30/17 2108","University Village Laundry","Open","theft",-93.642113,42.041253
"17-000121","02/01/17 0130","02/01/17 0130","02/01/17 0130","Hyland Avenue and Lincoln Way","Arrest","driving violation",-93.6555907,42.0227264
"17-000122","02/01/17 1300",NA,"02/01/17 1300","Armory Building","Open","harassment",-93.6509474,42.029626
"17-000125","02/01/17 2313","02/01/17 2313","02/01/17 2313","Birch Hall","Arrest","drug violation",-93.6417417,42.0237087
"17-000126","02/02/17 0108","02/02/17 0108","02/02/17 0108","Hayward Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6517059,42.0228461
"17-000126","02/02/17 0108","02/02/17 0108","02/02/17 0108","Hayward Avenue and Lincoln Way","Arrest","driving violation",-93.6517059,42.0228461
"17-000126","02/02/17 0108","02/02/17 0108","02/02/17 0108","Hayward Avenue and Lincoln Way","Arrest","interference",-93.6517059,42.0228461
"17-000128","02/02/17 2216",NA,"02/02/17 2216","1220 Walton Drive","Open","vandalism",-93.6694178,42.0116982
"17-000129","02/03/17 0206","02/03/17 0206","02/03/17 0206","Friley Hall","Arrest","public intoxication",-93.65045,42.0239234
"17-000130","02/03/17 0808",NA,"02/03/17 0808","Helser Hall","Open","harassment",-93.6518379,42.02424
"17-000131","02/03/17 1210",NA,"02/03/17 1210","2129 Hawthorn Court Drive","Open","theft",-93.6429145,42.0339213
"17-000132","02/03/17 1226","02/03/17 1226","02/03/17 1226","Union Drive and Welch Road","Open","assault",-93.649224,42.0239964
"17-000133","02/04/17 0033","02/04/17 0033","02/04/17 0033","Franklin Avenue and Lincoln Way","Arrest","drug violation",-93.6647899,42.0228024
"17-000135","02/04/17 2040","02/04/17 2040","02/04/17 2040","Ash Avenue and Lincoln Way","Arrest","drug violation",-93.64441,42.0226961
"17-000135","02/04/17 2040","02/04/17 2040","02/04/17 2040","Ash Avenue and Lincoln Way","Arrest","alcohol violation",-93.64441,42.0226961
"17-000137","02/05/17 0207","02/05/17 0207","02/05/17 0207","Lincoln Way and South Dakota Avenue","Arrest","operating while intoxicated",-93.6787027,42.0229015
"17-000139","02/05/17 1143",NA,"02/05/17 1143","Veenker Performance Center","Open","theft",NA,NA
"17-000140","02/06/17 0955",NA,"02/06/17 0955","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000142","02/06/17 1052",NA,"02/06/17 1052","2229 Lincoln Way","Open","harassment",-93.6456354,42.0235144
"17-000143","02/06/17 1813",NA,"02/06/17 1813","Armory Building","Open","theft",-93.6509474,42.029626
"17-000144","02/06/17 2036",NA,"02/06/17 2036","Parks Library","Open","harassment",-93.6488141,42.0281254
"17-000145","02/07/17 0050",NA,"02/07/17 0050","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000146","02/07/17 0050",NA,"02/07/17 0050","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000148","02/07/17 1324",NA,"02/07/17 1324","Student Services Building","Open","harassment",-93.6501447,42.0253226
"17-000150","02/07/17 2048","02/07/17 2048","02/07/17 2048","Maple Hall","Arrest","drug violation",-93.6387491,42.023654
