"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"18-000027","01/09/18 2323","01/09/18 2323","01/09/18 2323","24 Frederiksen Court","Arrest","assault",-93.6435922,42.0327685
"18-000028","01/10/18 0119","01/10/18 0119","01/10/18 0119","Coy Street and South Franklin Avenue","Cited","driving violation",NA,NA
"18-000031","01/10/18 1616","01/10/18 1616","01/10/18 1616","Lot 79","Arrest","drug violation",-93.6418441,42.0308247
"18-000031","01/10/18 1616","01/10/18 1616","01/10/18 1616","Lot 79","Arrest","driving violation",-93.6418441,42.0308247
"18-000032","01/10/18 2312","01/10/18 2312","01/10/18 2312","Linden Hall","Arrest","public intoxication",-93.6403252,42.0231404
"18-000034","01/11/18 0933","01/11/18 0933","01/11/18 0933","Armory Building","Open","drug violation",-93.6509474,42.029626
"18-000035","01/11/18 1233",NA,"01/11/18 1233","Lot 112C","Open","vandalism",-93.6422034,42.0323555
"18-000036","01/11/18 1517","01/11/18 1517","01/11/18 1517","Armory Building","Cited","unlawful use of license",-93.6509474,42.029626
"18-000037","01/11/18 2121",NA,"01/11/18 2121","Larch Hall","Open","theft",-93.6382868,42.0232779
"18-000039","01/12/18 0152","01/12/18 0152","01/12/18 0152","2915 Lincoln Way","Arrest","operating while intoxicated",-93.657843,42.02299
"18-000041","01/12/18 2121","01/12/18 2121","01/12/18 2121","Friley Hall","Cited","alcohol violation",-93.65045,42.0239234
"18-000042","01/12/18 2233","01/12/18 2233","01/12/18 2233","Lot 63","Arrest","drug violation",-93.6367573,42.0239698
"18-000043","01/13/18 0212","01/13/18 0212","01/13/18 0212","Memorial Union Parking Ramp","Open","vandalism",-93.6449075,42.0234906
"18-000044","01/13/18 1254",NA,"01/13/18 1254","Ames Intermodal Facility","Open","vandalism",-93.6523433,42.0210166
"18-000046","01/13/18 1603",NA,"01/13/18 1603","Lot 17","Open","vandalism",-93.6356358,42.0006688
"18-000047","01/13/18 2254","01/13/18 2254","01/13/18 2254","Lot 63","Arrest","drug violation",-93.6367573,42.0239698
"18-000047","01/13/18 2254","01/13/18 2254","01/13/18 2254","Lot 63","Arrest","harassment",-93.6367573,42.0239698
"18-000047","01/13/18 2254","01/13/18 2254","01/13/18 2254","Lot 63","Arrest","public intoxication",-93.6367573,42.0239698
"18-000047","01/13/18 2254","01/13/18 2254","01/13/18 2254","Lot 63","Arrest","unlawful use of license",-93.6367573,42.0239698
"18-000049","01/14/18 0206","01/14/18 0206","01/14/18 0206","Lincoln Way and Sheldon Avenue","Arrest","operating while intoxicated",-93.6542392,42.0227224
"18-000049","01/14/18 0206","01/14/18 0206","01/14/18 0206","Lincoln Way and Sheldon Avenue","Arrest","driving violation",-93.6542392,42.0227224
"18-000051","01/14/18 2135","01/14/18 2135","01/14/18 2135","Haber Road and North University Boulevard","Arrest","operating while intoxicated",-93.6387948,42.0299502
"18-000053","01/15/18 1137","01/15/18 0000","01/15/18 1137","142 University Village","Open","theft",-93.6416346,42.0407643
"18-000054","01/15/18 1335","01/15/18 0000","01/15/18 1335","102 University Village","Open","theft",-93.6440521,42.0399307
"18-000055","01/15/18 1355","01/15/18 1355","01/15/18 1355","Friley Hall","Open","drug violation",-93.65045,42.0239234
"18-000057","01/15/18 2314","01/15/18 2314","01/15/18 2314","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"18-000057","01/15/18 2314","01/15/18 2314","01/15/18 2314","Friley Hall","Arrest","alcohol violation",-93.65045,42.0239234
"18-000058","01/16/18 0835",NA,"01/16/18 0835","Enrollment Services Center","Open","theft",-93.6491504,42.0251021
"18-000060","01/16/18 1604",NA,"01/16/18 1604","Lot 63","Open","hit and run",-93.6367573,42.0239698
"18-000062","01/16/18 1924","01/16/18 1924","01/16/18 1924","2500 block Osborn Drive","Recovered","theft",-93.6509615,42.0288842
"18-000064","01/17/18 1219",NA,"01/17/18 1219","Lot 50B","Open","theft",-93.6417187,42.0259655
"18-000065","01/17/18 1259",NA,"01/17/18 1259","200 University Village","Open","hit and run",-93.6441672,42.0427435
"18-000068","01/18/18 0225","01/18/18 0225","01/18/18 0225","Lincoln Way and Sheldon Avenue","Arrest","driving violation",-93.6542392,42.0227224
"18-000069","01/18/18 0251","01/18/18 0251","01/18/18 0251","Hyland Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6555907,42.0227264
"18-000071","01/18/18 1740","01/18/18 1740","01/18/18 1740","Memorial Union","Open","harassment",-93.6459454,42.0236502
"18-000074","01/19/18 1132","01/19/18 1132","01/19/18 1132","3906 Maricopa Drive","Open","harassment",-93.6693983,42.0083904
"18-000075","01/19/18 2150","01/19/18 2150","01/19/18 2150","Helser Hall","Arrest","drug violation",-93.6518379,42.02424
"18-000075","01/19/18 2150","01/19/18 2150","01/19/18 2150","Helser Hall","Arrest","alcohol violation",-93.6518379,42.02424
"18-000078","01/20/18 0115","01/20/18 0115","01/20/18 0115","Beach Avenue and Greeley Street","Arrest","operating while intoxicated",-93.6394602,42.0200608
"18-000078","01/20/18 0115","01/20/18 0115","01/20/18 0115","Beach Avenue and Greeley Street","Arrest","drug violation",-93.6394602,42.0200608
"18-000078","01/20/18 0115","01/20/18 0115","01/20/18 0115","Beach Avenue and Greeley Street","Arrest","alcohol violation",-93.6394602,42.0200608
"18-000077","01/20/18 0207","01/20/18 0207","01/20/18 0207","Arbor Street and South Hyland Avenue","Arrest","operating while intoxicated",-93.6555561,42.0209196
"18-000082","01/20/18 1318","01/20/18 1318","01/20/18 1318","Linden Hall","Open","harassment",-93.6403252,42.0231404
"18-000083","01/20/18 1432",NA,"01/20/18 1432","Pearson Hall","Open","theft",-93.6498675,42.0260288
"18-000079","01/20/18 1634",NA,"01/20/18 1634","119 Stanton Avenue","Open","theft",-93.6489377,42.0219747
"18-000079","01/20/18 1634",NA,"01/30/18 0000","119 Stanton Avenue","Arrest","assault",-93.6489377,42.0219747
"18-000079","01/20/18 1634",NA,"01/30/18 0000","119 Stanton Avenue","Arrest","vandalism",-93.6489377,42.0219747
"18-000079","01/20/18 1634",NA,"01/30/18 0000","119 Stanton Avenue","Arrest","trespass",-93.6489377,42.0219747
"18-000079","01/20/18 1634",NA,"01/30/18 0000","119 Stanton Avenue","Arrest","interference",-93.6489377,42.0219747
"18-000080","01/20/18 1904","01/20/18 1904","01/20/18 1904","Southwest Recreation Complex","Arrest","drug violation",-93.6571453,42.0163142
"18-000080","01/20/18 1904","01/20/18 1904","01/20/18 1904","Southwest Recreation Complex","Arrest","alcohol violation",-93.6571453,42.0163142
"18-000095","01/22/18 0000","01/22/18 0000","01/22/18 0000","University Village","Open","sexual assault",-93.6441672,42.0427435
"18-000086","01/22/18 1214",NA,"01/22/18 1214","2229 Lincoln Way","Open","theft",-93.6456354,42.0235144
"18-000098","01/22/18 1335","01/22/18 1335","01/22/18 1335","Coover Hall","Open","fraud",-93.6508836,42.0283592
"18-000088","01/22/18 1644",NA,"01/22/18 1644","24 Frederiksen Court","Open","theft",-93.6435922,42.0327685
"18-000091","01/22/18 1925","01/22/18 1925","01/22/18 1925","Birch Hall","Open","drug violation",-93.6417417,42.0237087
"18-000089","01/22/18 1935","01/22/18 1935","01/22/18 1935","Memorial Union Parking Ramp","Open","vandalism",-93.6449075,42.0234906
"18-000090","01/22/18 2014","01/22/18 2014","01/22/18 2014","Memorial Union Parking Ramp","Open","vandalism",-93.6449075,42.0234906
"18-000096","01/23/18 0000","01/12/18 1414","01/23/18 0000","Memorial Union Parking Ramp","Open","hit and run",-93.6449075,42.0234906
"18-000092","01/23/18 0020","01/23/18 0020","01/23/18 0020","Sheldon Avenue and Sheldon Avenue Ext.","Arrest","operating while intoxicated",-93.6544991,42.0274656
"18-000092","01/23/18 0020","01/23/18 0020","01/23/18 0020","Sheldon Avenue and Sheldon Avenue Ext.","Arrest","driving violation",-93.6544991,42.0274656
"18-000097","01/23/18 2029",NA,"01/23/18 2029","Armory Building","Open","theft",-93.6509474,42.029626
"18-000099","01/24/18 0010",NA,"01/24/18 0010","Lot 9","Open","vandalism",-93.6541773,42.0284555
"18-000103","01/24/18 0238","01/24/18 0238","01/24/18 0238","Ross Road and Wisconsin Avenue","Arrest","operating while intoxicated",NA,NA
"18-000100","01/24/18 1248","01/24/18 1248","01/24/18 1248","Farm House Museum","Open","harassment",-93.6439451,42.0271105
"18-000104","01/24/18 1331","01/24/18 1331","01/24/18 1331","119 Stanton Avenue","Open","assault",-93.6489377,42.0219747
"18-000101","01/24/18 2122","01/24/18 2122","01/24/18 2122","Friley Hall","Open","vandalism",-93.65045,42.0239234
"18-000105","01/24/18 2327","01/24/18 2327","01/24/18 2327","Friley Hall","Open","vandalism",-93.65045,42.0239234
"18-000106","01/26/18 0047","01/26/18 0047","01/26/18 0047","Lettie Street and State Avenue","Arrest","alcohol violation",-93.6591273,42.0214744
"18-000107","01/26/18 0148","01/26/18 0148","01/26/18 0148","Coconino Road and Mortensen Road","Arrest","operating while intoxicated",-93.6762975,42.0120724
"18-000108","01/26/18 0223","01/26/18 0223","01/26/18 0223","Mortensen Road and Seagrave Boulevard","Arrest","operating while intoxicated",-93.6713608,42.0120265
"18-000109","01/26/18 1425",NA,"01/26/18 1425","Armory Building","Open","theft",-93.6509474,42.029626
"18-000111","01/26/18 2031",NA,"01/26/18 2031","Armory Building","Open","fraud",-93.6509474,42.029626
"18-000112","01/27/18 0210","01/27/18 0210","01/27/18 0210","2226 Donald Street","Arrest","operating while intoxicated",-93.6456709,42.0168039
"18-000113","01/27/18 0216","01/27/18 0216","01/27/18 0216","Beach Avenue and Lincoln Way","Arrest","drug violation",-93.639494,42.022655
"18-000114","01/27/18 2237","01/27/18 2237","01/27/18 2237","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"18-000115","01/28/18 0133","01/28/18 0133","01/28/18 0133","Knapp Street and Lynn Avenue","Arrest","public intoxication",-93.6463784,42.019148
"18-000116","01/28/18 0209","01/28/18 0209","01/28/18 0209","100 block Stanton Avenue","Arrest","operating while intoxicated",-93.6485138,42.0227307
"18-000116","01/28/18 0209","01/28/18 0209","01/28/18 0209","100 block Stanton Avenue","Arrest","hit and run",-93.6485138,42.0227307
"18-000117","01/28/18 0405","01/28/18 0405","01/28/18 0405","Linden Hall","Arrest","public intoxication",-93.6403252,42.0231404
"18-000118","01/28/18 1312","01/28/18 1312","01/28/18 1312","2072 Mortensen Parkway","Cited","driving violation",-93.6417525,42.0087823
"18-000119","01/28/18 1652",NA,"01/28/18 1652","119 Stanton Avenue","Open","theft",-93.6489377,42.0219747
"18-000120","01/28/18 1927","01/28/18 0000","01/28/18 1927","State Gymnasium","Open","theft",-93.6538021,42.0246748
"18-000122","01/29/18 1101","01/29/18 0000","01/29/18 1101","Geoffroy Hall","Open","theft",-93.6423896,42.0225449
"18-000123","01/29/18 1201","01/29/18 0000","01/29/18 1201","Friley Hall","Open","theft",-93.65045,42.0239234
"18-000124","01/29/18 1326","01/29/18 0000","01/29/18 1326","119 Stanton Avenue","Open","theft",-93.6489377,42.0219747
"18-000125","01/29/18 1645","01/29/18 0000","01/29/18 1645","Friley Hall","Open","theft",-93.65045,42.0239234
"18-000126","01/29/18 1645","01/29/18 1645","01/29/18 1645","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"18-000129","01/29/18 1819","01/29/18 0000","01/29/18 1819","Wallace Wilson Commons","Open","theft",-93.6504798,42.0140126
"18-000128","01/29/18 1838","01/29/18 0000","01/29/18 1838","Lied Recreation Center","Open","theft",-93.6372142,42.0267276
"18-000127","01/29/18 1900","01/29/18 1900","01/29/18 1900","35 Frederiksen Court","Open","trespass",-93.6421508,42.0347532
"18-000130","01/30/18 1227","01/30/18 1227","01/30/18 1227","Parks Library","Open","harassment",-93.6488141,42.0281254
"18-000133","01/31/18 1518","01/31/18 1518","01/31/18 1518","72 Frederiksen Court","Arrest","drug violation",-93.6392405,42.0332064
"18-000133","01/31/18 1518","01/31/18 1518","01/31/18 1518","72 Frederiksen Court","Arrest","alcohol violation",-93.6392405,42.0332064
"18-000134","01/31/18 1825","01/31/18 1825","01/31/18 1825","Linden Hall","Open","harassment",-93.6403252,42.0231404
"18-000136","02/01/18 0139","02/01/18 0139","02/01/18 0139","Memorial Union","Arrest","trespass",-93.6459454,42.0236502
"18-000139","02/01/18 1639","02/01/18 1639","02/01/18 1639","13th Street and Stange Road","Cited","driving violation",-93.620521,42.034189
"18-000140","02/02/18 0157","02/02/18 0157","02/02/18 0157","Knapp Street and Stanton Avenue","Arrest","public intoxication",-93.6485073,42.0191298
"18-000141","02/02/18 0238",NA,"02/02/18 0238","Armory Building","Open","theft",-93.6509474,42.029626
"18-000142","02/02/18 0905","02/02/18 0905","02/02/18 0905","Linden Hall","Arrest","drug violation",-93.6403252,42.0231404
"18-000143","02/02/18 0916",NA,"02/02/18 0916","Lot 100","Open","hit and run",-93.6377706,42.0258047
"18-000146","02/03/18 0049","02/03/18 0049","02/03/18 0049","Buchanan Hall","Arrest","vandalism",-93.642449,42.022653
"18-000146","02/03/18 0049","02/03/18 0049","02/03/18 0049","Buchanan Hall","Arrest","unlawful use of license",-93.642449,42.022653
"18-000146","02/03/18 0049","02/03/18 0049","02/03/18 0049","Buchanan Hall","Arrest","vandalism",-93.642449,42.022653
"18-000146","02/03/18 0049","02/03/18 0049","02/03/18 0049","Buchanan Hall","Arrest","unlawful use of license",-93.642449,42.022653
"18-000147","02/03/18 0211","02/03/18 0211","02/03/18 0211","Ash Avenue and Storm Street","Arrest","operating while intoxicated",-93.6443375,42.0161236
"18-000150","02/03/18 2122","02/03/18 2122","02/03/18 2122","Bissell Road and Pammel Drive","Cited","alcohol violation",-93.6518944,42.030401
"18-000151","02/04/18 0224","02/04/18 0224","02/04/18 0224","Campus Avenue and Lincoln Way","Arrest","public intoxication",-93.6570426,42.0227269
"18-000152","02/04/18 1132","02/04/18 0000","02/04/18 1132","2229 Lincoln Way","Open","theft",-93.6456354,42.0235144
"18-000154","02/04/18 2230","02/04/18 2230","02/04/18 2230","Lot 61A","Arrest","drug violation",-93.6483506,42.0124764
"18-000155","02/05/18 1131","02/05/18 1131","02/05/18 1131","52 Frederiksen Court","Arrest","drug violation",-93.6386904,42.0342268
"18-000157","02/05/18 1549","02/05/18 1549","02/05/18 1549","1318 Walton Drive","Open","harassment",-93.6698899,42.01045
"18-000158","02/05/18 2115","02/05/18 2115","02/05/18 2115","Helser Hall","Arrest","drug violation",-93.6518379,42.02424
"18-000163","02/06/18 1504","02/06/18 1504","02/06/18 1504","Memorial Union Parking Ramp","Open","theft",-93.6449075,42.0234906
"18-000165","02/06/18 2229","02/06/18 0000","02/06/18 2229","72 Frederiksen Court","Open","vandalism",-93.6392405,42.0332064
"18-000166","02/07/18 0253","02/07/18 0253","02/07/18 0253","Bissell Road and Union Drive","Arrest","operating while intoxicated",-93.6518976,42.0253625
"18-000166","02/07/18 0253","02/07/18 0253","02/07/18 0253","Bissell Road and Union Drive","Arrest","driving violation",-93.6518976,42.0253625
"18-000167","02/07/18 1638","02/07/18 0000","02/07/18 1638","2229 Lincoln Way","Open","theft",-93.6456354,42.0235144
"18-000168","02/07/18 1830","02/07/18 1830","02/07/18 1830","Hayward Avenue and Mortensen Road","Arrest","drug violation",-93.6516786,42.0118612
"18-000169","02/08/18 0021","02/08/18 0021","02/08/18 0021","Hayward Avenue and Mortensen Road","Arrest","operating while intoxicated",-93.6516786,42.0118612
"18-000171","02/10/18 0152","02/10/18 0152","02/10/18 0152","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"18-000171","02/10/18 0152","02/10/18 0152","02/10/18 0152","Larch Hall","Arrest","public intoxication",-93.6382868,42.0232779
"18-000171","02/10/18 0152","02/10/18 0152","02/10/18 0152","Larch Hall","Arrest","alcohol violation",-93.6382868,42.0232779
"18-000172","02/10/18 0156",NA,"02/20/18 0156","Lot 112F","Cited","hit and run",-93.6394036,42.0323037
"18-000174","02/10/18 0310","02/10/18 0310","02/10/18 0310","Memorial Union","Arrest","public intoxication",-93.6459454,42.0236502
"18-000173","02/10/18 0311","02/10/18 0311","02/10/18 0311","Mortensen Parkway and University Boulevard","Cited","driving violation",-93.6393859,42.0083324
"18-000175","02/11/18 0221","02/11/18 0221","02/11/18 0221","Hyland Avenue and West Street","Cited","alcohol violation",-93.6556457,42.0253446
"18-000175","02/11/18 0221","02/11/18 0221","02/11/18 0221","Hyland Avenue and West Street","Cited","unlawful use of license",-93.6556457,42.0253446
"18-000177","02/11/18 0337","02/11/18 0337","02/11/18 0337","Lot 61B","Arrest","operating while intoxicated",-93.6483675,42.0135352
"18-000177","02/11/18 0337","02/11/18 0337","02/11/18 0337","Lot 61B","Arrest","unlawful use of license",-93.6483675,42.0135352
"18-000178","02/11/18 1541","02/11/18 1541","03/05/18 1541","Town Engineering Building","Arrest","disorderly conduct",-93.65265,42.0295468
"18-000179","02/12/18 0134","02/12/18 0134","02/12/18 0134","Mortensen Road and State Avenue","Cited","driving violation",-93.6589323,42.0118849
"18-000180","02/12/18 1528","02/12/18 1528","02/12/18 1528","Lot 41","Open","harassment",-93.6400635,42.0292863
"18-000181","02/13/18 0042","02/13/18 0042","02/13/18 0042","Lincoln Way and South Wilmoth Avenue","Arrest","operating while intoxicated",-93.6615998,42.0227611
"18-000184","02/13/18 1830","02/13/18 1830","02/13/18 1830","Hilton Coliseum","Open","civil matter",-93.635074,42.022693
"18-000186","02/13/18 1939","02/13/18 1939","02/13/18 1939","Wilson Hall","Open","theft",-93.651021,42.0139143
"18-000187","02/14/18 0410","02/14/18 0000","02/14/18 0410","Friley Hall","Open","vandalism",-93.65045,42.0239234
"18-000189","02/14/18 1301","02/14/18 1301","02/14/18 1301","Armory Building","Arrest","drug violation",-93.6509474,42.029626
"18-000190","02/14/18 1503","02/14/18 0000","02/14/18 1503","Parks Library","Open","theft",-93.6488141,42.0281254
"18-000191","02/14/18 2257","02/14/18 2257","02/14/18 2257","Grand Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6201078,42.0229238
"18-000191","02/14/18 2257","02/14/18 2257","02/14/18 2257","Grand Avenue and Lincoln Way","Arrest","drug violation",-93.6201078,42.0229238
"18-000192","02/15/18 0137","02/15/18 0137","02/15/18 0137","218 Welch Avenue","Arrest","public intoxication",-93.6496901,42.0208303
"18-000193","02/15/18 1029",NA,"02/15/18 1029","81 Frederiksen Court","Open","theft",-93.6398497,42.0329143
"18-000194","02/15/18 1114",NA,"02/19/18 0100","Memorial Union","Cited","theft",-93.6459454,42.0236502
"18-000195","02/15/18 2134","02/15/18 2134","02/15/18 2134","Ash Avenue and Mortensen Parkway","Cited","alcohol violation",-93.646758,42.0113047
"18-000200","02/16/18 1224",NA,"02/16/18 1224","52 Frederiksen Court","Open","theft",-93.6386904,42.0342268
"18-000201","02/16/18 1542",NA,"02/16/18 1542","36 Frederiksen Court","Open","theft",-93.6412736,42.0353215
"18-000202","02/16/18 2223","02/16/18 2223","02/16/18 2223","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"18-000202","02/16/18 2223","02/16/18 2223","02/16/18 2223","Larch Hall","Arrest","alcohol violation",-93.6382868,42.0232779
"18-000202","02/16/18 2223","02/16/18 2223","02/16/18 2223","Larch Hall","Arrest","unlawful use of license",-93.6382868,42.0232779
"18-000205","02/18/18 0209","02/18/18 0209","02/18/18 0209","South 16th Street and University Boulevard","Arrest","driving violation",-93.6337562,42.0114627
"18-000206","02/18/18 1928","02/18/18 1928","02/18/18 1928","42 Frederiksen Court","Open","trespass",-93.6422748,42.0332422
"18-000207","02/18/18 2251","02/18/18 2251","02/18/18 2251","Friley Hall","Cited","drug violation",-93.65045,42.0239234
"18-000208","02/18/18 2335",NA,"02/18/18 2335","Lot 25","Open","vandalism",-93.6492324,42.0297276
"18-000212","02/19/18 2145","02/19/18 2145","02/19/18 2145","Maple Hall","Cited","drug violation",-93.6387491,42.023654
"18-000214","02/20/18 1351",NA,"02/20/18 1351","2119 Edenburn Drive","Open","theft",-93.6441086,42.0427535
"18-000215","02/20/18 1520",NA,"02/20/18 1520","Buchanan Hall","Open","theft",-93.642449,42.022653
"18-000216","02/20/18 1625","02/20/18 1625","02/20/18 1625","Eaton Hall","Open","harassment",-93.6528168,42.0245839
"18-000217","02/21/18 0008",NA,"02/21/18 0008","44 Schilletter Village","Open","fraud",-93.6419526,42.0440492
"18-000221","02/21/18 2011",NA,"02/21/18 2011","Lot S6","Open","theft",-93.6333696,42.0132547
"18-000223","02/21/18 2120",NA,"02/21/18 2120","South 16th Street and University Boulevard","Open","vandalism",-93.6337562,42.0114627
"18-000224","02/21/18 2244","02/21/18 2244","02/21/18 2244","Hawthorn Court Drive and Stange Road","Arrest","drug violation",-93.64473,42.0338708
"18-000227","02/23/18 1440","02/23/18 1440","02/23/18 1440","63 Schilletter Village","Arrest","domestic dispute",NA,NA
"18-000229","02/23/18 1759","02/23/18 1759","02/23/18 1759","Memorial Union","Open","harassment",-93.6459454,42.0236502
"18-000230","02/23/18 2005","02/23/18 2005","03/04/18 1744","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"18-000233","02/24/18 0214","02/24/18 0214","02/24/18 0214","137 Lynn Avenue","Arrest","public intoxication",-93.6467598,42.0213869
"18-000232","02/24/18 0233","02/24/18 0233","02/24/18 0233","Memorial Union","Arrest","public intoxication",-93.6459454,42.0236502
"18-000236","02/25/18 0115","02/25/18 0115","02/25/18 0115","119 Stanton Avenue","Arrest","public intoxication",-93.6489377,42.0219747
"18-000237","02/26/18 0043",NA,"02/26/18 0043",NA,"Open","sexual assault",NA,NA
"18-000238","02/26/18 1228",NA,"02/26/18 1228","Science I Hall","Open","hit and run",NA,NA
"18-000239","02/26/18 1254",NA,"02/26/18 1254","Lot 10","Open","hit and run",-93.6538945,42.0296641
"18-000242","02/27/18 0113",NA,"02/27/18 0113","Beach Avenue and Lincoln Way","Cited","driving violation",-93.639494,42.022655
"18-000246","02/28/18 0000",NA,"02/26/18 0000","640 Lincoln Way","Open","drug violation",NA,NA
"18-000245","02/28/18 0821",NA,"02/21/18 0000","Gilman Hall","Open","theft",-93.6486442,42.0294215
"18-000247","02/28/18 1631","02/28/18 1631","02/28/18 1631","119 Stanton Avenue","Arrest","drug violation",-93.6489377,42.0219747
"18-000248","02/28/18 2134","01/26/18 2300",NA,"119 Stanton Avenue","Open","vandalism",-93.6489377,42.0219747
"18-000249","03/01/18 1250",NA,"03/01/18 1250","Hilton Coliseum","Open","harassment",-93.635074,42.022693
"18-000251","03/02/18 0230","03/02/18 0230","03/02/18 0230","Gray Avenue and Sunset Drive","Arrest","public intoxication",-93.6411862,42.0212956
"18-000253","03/02/18 1349","03/01/18 1900","03/02/18 1349","Lied Recreation Center","Recovered","theft",-93.6372142,42.0267276
"18-000254","03/02/18 1408","09/19/17 0000","03/01/18 0000","31 Frederiksen Court","Open","harassment",-93.6420413,42.0345981
"18-000255","03/03/18 0056","03/03/18 0056","03/03/18 0056","Hayward Avenue and Little Street","Cited","alcohol violation",-93.6517124,42.0176158
"18-000256","03/03/18 2102","03/02/18 1100","03/05/18 0000","Maple Hall","Unfounded","theft",-93.6387491,42.023654
"18-000257","03/04/18 0122","03/04/18 0122","03/04/18 0122","Lincoln Way and Beach Avenue","Cited","driving violation",NA,NA
"18-000258","03/04/18 0221","03/04/18 0221","03/04/18 0221","Mortensen Road and Hayward Avenue","Cited","driving violation",NA,NA
"18-000260","03/04/18 0223","03/04/18 0945","03/04/18 1400","Friley Hall","Open","theft",-93.65045,42.0239234
"18-000259","03/04/18 0304","03/04/18 0304","03/04/18 0304","Lincoln Way and South Dakota","Arrest","operating while intoxicated",-93.6787027,42.0229015
"18-000259","03/04/18 0304","03/04/18 0304","03/04/18 0304","Lincoln Way and South Dakota","Arrest","alcohol violation",-93.6787027,42.0229015
"18-000259","03/04/18 0304","03/04/18 0304","03/04/18 0304","Lincoln Way and South Dakota","Arrest","misuse of license",-93.6787027,42.0229015
"18-000262","03/05/18 0906",NA,"03/05/18 0906","4912 Mortensen Road","Open","drug violation",-93.6874795,42.012714
"18-000263","03/05/18 1200","03/05/18 1200","03/05/18 1200","3917 Tripp St","Arrest","drug violation",-93.670653,42.02089
"18-000265","03/05/18 1507","03/05/18 1507","03/05/18 1507","Pearson Hall","Arrest","public intoxication",-93.6498675,42.0260288
"18-000265","03/05/18 1507","03/05/18 1507","03/05/18 1507","Pearson Hall","Arrest","public intoxication",-93.6498675,42.0260288
"18-000264","03/05/18 1549","02/26/18 0100","03/03/18 1600","Union Drive and Wallace Road","Open","vandalism",-93.6441141,42.0247932
"18-000266","03/05/18 1914","03/05/18 1914","03/05/18 1914","Roberts Hall","Arrest","drug violation",-93.6425636,42.0239302
"18-000266","03/05/18 1914","03/05/18 1914","03/05/18 1914","Roberts Hall","Arrest","unlawful use of license",-93.6425636,42.0239302
