"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"18-000006","01/03/18 2039","01/03/18 2039","01/03/18 2039","142 University Village","Open","drug violation",-93.6416346,42.0407643
"18-000007","01/04/18 1632","01/04/18 0000","01/04/18 1632","Lot 100","Open","hit and run",-93.6377706,42.0258047
"18-000008","01/05/18 1116","01/05/18 1116","01/05/18 1116","Big Bluestem Ct. and Mortensen Parkway","Cited","driving violation",NA,NA
"18-000009","01/05/18 1238","01/05/18 0000","01/05/18 1238","4020 Maricopa Drive","Open","theft",-93.6715537,42.0080781
"18-000010","01/05/18 1837",NA,"01/05/18 1837","Lot 1","Open","hit and run",-93.6540123,42.0236158
"18-000011","01/05/18 1904","01/05/18 1904","01/05/18 1904","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"18-000012","01/06/18 0203","01/06/18 0203","01/06/18 0203","13th Street and Stange Road","Arrest","operating while intoxicated",-93.620521,42.034189
"18-000014","01/06/18 2250","01/06/18 2250","01/06/18 2250","24th Street and Stange Road","Cited","driving violation",-93.6447879,42.0454223
"18-000015","01/07/18 0211","01/07/18 0211","01/07/18 0211","Lincoln Way and Marshall Avenue","Arrest","operating while intoxicated",-93.6689375,42.0229021
"18-000017","01/07/18 2012",NA,"01/07/18 2012","4110 Maricopa Drive","Open","theft",-93.6723134,42.0077193
"18-000019","01/07/18 2109",NA,"01/07/18 2109","Welch Hall","Open","theft",-93.6420811,42.0236532
"18-000020","01/08/18 1055",NA,"01/08/18 1055","Student Services Building","Open","harassment",-93.6501447,42.0253226
"18-000021","01/08/18 1514","01/08/18 1514","01/08/18 1514","809 Wheeler Street","Arrest","drug violation",-93.6220177,42.054808
"18-000021","01/08/18 1514","01/08/18 1514","01/08/18 1514","809 Wheeler Street","Arrest","driving violation",-93.6220177,42.054808
"18-000021","01/08/18 1514","01/08/18 1514","01/08/18 1514","809 Wheeler Street","Arrest","felon possession of firearm",-93.6220177,42.054808
"18-000021","01/08/18 1514","01/08/18 1514","01/08/18 1514","809 Wheeler Street","Arrest","drug violation",-93.6220177,42.054808
"18-000021","01/08/18 1514","01/08/18 1514","01/08/18 1514","809 Wheeler Street","Arrest","driving violation",-93.6220177,42.054808
"18-000021","01/08/18 1514","01/08/18 1514","01/08/18 1514","809 Wheeler Street","Arrest","felon possession of firearm",-93.6220177,42.054808
"18-000022","01/09/18 0106","01/09/18 0106","01/09/18 0106","1030 Haber Road","Cited","driving violation",-93.6384225,42.0312632
"18-000024","01/09/18 1247",NA,"01/12/18 1247","2229 Lincoln Way","Arrest","theft",-93.6456354,42.0235144
"18-000025","01/09/18 1821","01/09/18 1821","01/09/18 1821","Memorial Union Parking Ramp","Open","vandalism",-93.6449075,42.0234906
"18-000026","01/09/18 1833",NA,"01/09/18 1833","Lot 112J","Open","vandalism",-93.6425231,42.0349269
