"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"19-000266","03/08/19 1611","03/05/19 0000","03/08/19 1723","Bessey Hall","Recovered","theft",-93.644629,42.0284863
"19-000265","03/08/19 1455","03/08/19 1030","03/08/19 1455","Lot 67","Report Initiated","criminal mischief",-93.6408776,42.0251136
"19-000262","03/08/19 0124","03/08/19 0124","03/08/19 0124","Chamberlain Street and Stanton Avenue","Arrest","public intoxication",-93.6484903,42.0214258
"19-000261","03/07/19 2259","","","","Report Initiated","harassment",NA,NA
"19-000260","03/07/19 2018","03/07/19 2018","03/07/19 2018","Lagomarcino Hall","Arrest","public intoxication",-93.6456391,42.0297367
"19-000259","03/07/19 1422","","03/04/19 1600","Lot 112J","Report Initiated","criminal mischief",-93.6425231,42.0349269
"19-000258","03/07/19 1334","","03/07/19 1334","Lot 3","Report Initiated","hit and run",-93.6539354,42.0264782
"19-000263","03/07/19 1330","03/29/18 0000","03/29/18 0000","Wilson Hall","Report Initiated","harassment",-93.651021,42.0139143
"19-000255","03/07/19 0050","03/07/19 0050","03/07/19 0050","2642 Union Drive","Arrest","public intoxication",-93.6538021,42.0246748
"19-000252","03/04/19 1614","","03/04/19 1614","71 Frederiksen Court","Report Initiated","harassment",-93.6398095,42.0330842
"19-000249","03/03/19 1804","03/03/19 1804","03/03/19 1804","Birch Hall","Arrest","drug violation",-93.6417417,42.0237087
"19-000247","03/03/19 0201","","03/03/19 0201","Friley Hall","Report Initiated","harassment",-93.65045,42.0239234
"19-000245","03/02/19 1313","02/28/19 1100","03/02/19 1130","169 University Village","Report Initiated","theft",-93.6425544,42.0427234
"19-000244","03/02/19 0711","","03/02/19 0711","Beyer Court and Union Drive","Report Initiated","criminal mischief",-93.6507255,42.0251486
"19-000243","03/02/19 0258","03/02/19 0258","03/02/19 0258","119 Stanton Avenue","Arrest","public intoxication",-93.6489377,42.0219747
"19-000240","03/02/19 0145","03/02/19 0145","03/02/19 0145","Wilson Hall","Arrest","public intoxication",-93.651021,42.0139143
"19-000241","03/02/19 0143","03/02/19 0143","03/02/19 0143","119 Stanton Avenue","Arrest","public intoxication",-93.6489377,42.0219747
"19-000238","03/02/19 0034","03/02/19 0034","03/02/19 0034","S. 16th Street and University Boulevard","Arrest","driving violation",NA,NA
"19-000237","03/01/19 2256","03/01/19 2256","03/01/19 2256","Ash Avenue and Lincoln Way","Arrest","public intoxication",-93.64441,42.0226961
"19-000236","03/01/19 2241","03/01/19 2241","03/01/19 2241","Ash Avenue and Knapp Street","Arrest","alcohol violation",-93.6443655,42.019142
"19-000234","03/01/19 1400","","03/01/19 1400","Buchanan Hall","Report Initiated","theft",-93.642449,42.022653
"19-000233","03/01/19 1344","02/27/19 0000","03/01/19 0000","Buchanan Hall","Report Initiated","theft",-93.642449,42.022653
"19-000232","03/01/19 0946","02/28/19 1454","03/01/19 0754","Friley Hall","Report Initiated","harassment",-93.65045,42.0239234
"19-000231","03/01/19 0212","03/01/19 0212","03/01/19 0212","Hayward Avenue and Lincoln Way","Arrest","public intoxication",-93.6517059,42.0228461
"19-000230","03/01/19 0112","03/01/19 0112","03/01/19 0112","200 Block Stanton Avenue","Arrest","public intoxication",-93.648229,42.021222
"19-000229","02/28/19 1919","","02/28/19 1919","Memorial Union Parking Ramp","Report Initiated","hit and run",-93.6449075,42.0234906
"19-000228","02/28/19 1718","02/28/19 1718","02/28/19 1718","2400 Block Pammel Drive","Report Initiated","hit and run",-93.6485313,42.0299543
"19-000227","02/27/19 1841","02/27/19 1841","02/27/19 1841","Colorado Avenue and Lincoln Way","Arrest","driving violation",-93.6630057,42.0227752
"19-000226","02/27/19 1510","","","Armory Building","Report Initiated","harassment",-93.6509474,42.029626
"19-000225","02/27/19 1456","02/27/19 1456","02/27/19 1456","Birch Hall","Arrest","drug violation",-93.6417417,42.0237087
"19-000215","02/26/19 0750","02/25/19 1540","02/26/19 0750","Lied Recreation Center","Unfounded","theft",-93.6372142,42.0267276
"19-000213","02/26/19 0114","02/26/19 0114","02/26/19 0114","Hayward Avenue and Knapp Street","Arrest","drug violation",-93.6517339,42.0191154
"19-000212","02/25/19 2144","","02/25/19 2144","Geoffroy Hall","Report Initiated","harassment",-93.6423896,42.0225449
"19-000207","02/25/19 0110","02/24/19 2220","02/25/19 0050","University Village Laundry Mat","Report Initiated","theft",-93.642113,42.041253
"19-003","02/25/19 0000","","02/25/19 0000","Martin Hall","Assigned - Other","stalking",-93.6529424,42.0238665
"19-000205","02/24/19 0236","02/24/19 0236","02/24/19 0236","Welch Hall","Report Initiated","drug violation",-93.6420811,42.0236532
"19-000204","02/23/19 2013","02/09/19 0000","03/24/19 0000","Wilson Hall","Report Initiated","harassment",-93.651021,42.0139143
"19-000202","02/23/19 1450","","02/23/19 1450","Wilson Hall","Report Initiated","fraud",-93.651021,42.0139143
"19-000201","02/23/19 1413","02/22/19 2030","02/23/19 1413","33 Frederiksen Court","Report Initiated","theft",-93.640694,42.0346152
"19-000200","02/23/19 0435","","02/23/19 0435","3800 Lincoln Way","Report Initiated","reckless driving",-93.669771,42.0216985
"19-000197","02/22/19 1206","02/22/19 1206","02/22/19 1206","13th Street and Haber Road","Report Initiated","hit and run",-93.578887,42.035042
"19-000187","02/19/19 1914","02/19/19 1914","02/19/19 1914","Martin Hall","Arrest","drug violation",-93.6529424,42.0238665
"19-000186","02/19/19 1750","02/19/19 1750","02/19/19 1750","Willow Hall","Arrest","drug violation",-93.6377325,42.0239136
"19-000185","02/19/19 1713","02/19/19 1713","02/19/19 1713","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"19-000182","02/18/19 2342","","02/18/19 2342","Wilson Hall","Report Initiated","harassment",-93.651021,42.0139143
"19-000181","02/18/19 1515","","02/18/19 1515","Sukup Hall","Report Initiated","harassment",-93.6532914,42.0276286
"19-000179","02/18/19 0011","02/18/19 0011","02/18/19 0011","Buchanan Hall","Arrest","drug violation",-93.642449,42.022653
"19-000178","02/17/19 2106","02/17/19 2106","02/17/19 2106","Buchanan Hall","Cited","alcohol violation",-93.642449,42.022653
"19-000168","02/15/19 0219","02/15/19 0219","02/15/19 0219","Bruner Drive and Long Road","Arrest","operating while intoxicated",-93.6434976,42.0390504
"19-000166","02/14/19 1139","","02/14/19 1139","Lot 59E","Report Initiated","hit and run",-93.64992,42.0236716
"19-000163","02/13/19 1511","02/13/19 1330","02/13/19 1330","Wilson Hall","Report Initiated","fraud",-93.651021,42.0139143
"19-000160","02/13/19 0059","02/13/19 0059","02/13/19 0059","Hayward Avenue and Lincoln Way","Arrest","outstanding warrant",-93.6517059,42.0228461
"19-000159","02/13/19 0032","02/13/19 0032","02/13/19 0032","Hayward Avenue and Lincoln Way","Arrest","driving violation",-93.6517059,42.0228461
"19-000157","02/12/19 1429","","","302 Ash Avenue","Report Initiated","harassment",-93.6439683,42.0198718
"19-000154","02/11/19 2117","02/11/19 1820","02/11/19 2040","Lied Recreation Center","Recovered","theft",-93.6372142,42.0267276
"19-000150","02/11/19 0915","02/09/19 0000","02/09/19 0000","University Village Laundry Mat","Report Initiated","theft",-93.642113,42.041253
"19-000142","02/10/19 0124","02/10/19 0124","02/10/19 0124","Ash Avenue and Knapp Street","Arrest","operating while intoxicated",-93.6443655,42.019142
"19-000141","02/09/19 1624","01/14/19 0000","01/31/19 0000","University Bookstore","Arrest","theft",-93.6453763,42.0231853
"19-000134","02/08/19 2246","02/08/19 2246","02/08/19 2246","Gable Lane and Gray Avenue","Arrest","alcohol violation",-93.6420176,42.0214957
"19-000133","02/08/19 1711","02/08/19 1700","02/08/19 1700","Lot 62","Report Initiated","hit and run",-93.6431646,42.0217945
"19-000132","02/08/19 1111","02/08/19 1045","02/08/19 1045","University Bookstore","Report Initiated","theft",-93.6453763,42.0231853
"19-000131","02/08/19 0939","10/12/18 0000","02/04/19 0000","University Bookstore","Arrest","theft",-93.6453763,42.0231853
"19-000130","02/08/19 0936","02/04/19 1246","02/04/19 1246","University Bookstore","Arrest","theft",-93.6453763,42.0231853
"19-000129","02/07/19 2000","","02/07/19 2000","Buchanan Hall","Report Initiated","harassment",-93.642449,42.022653
"19-000126","02/07/19 1912","02/07/19 1912","02/07/19 1912","Helser Hall","Arrest","drug violation",-93.6518379,42.02424
"19-000125","02/07/19 1519","02/07/19 1513","02/07/19 1513","Wilson Hall","Report Initiated","fraud",-93.651021,42.0139143
"19-000123","02/07/19 0035","","02/07/19 0035","University Village","Report Initiated","sexual assault",-93.6441672,42.0427435
"19-000122","02/06/19 2040","02/06/19 1940","02/06/19 2015","University Village Laundry Mat","Report Initiated","theft",-93.642113,42.041253
"19-000120","02/06/19 1725","","02/06/19 1725","Lot 57","Report Initiated","hit and run",-93.6384375,42.0267915
"19-000118","02/06/19 0943","02/05/19 0000","02/05/19 0000","35 Frederiksen Court","Report Initiated","assault",-93.6421508,42.0347532
"19-000116","02/05/19 2043","","02/05/19 2043","Friley Hall","Report Initiated","harassment",-93.65045,42.0239234
"19-000114","02/05/19 1856","02/05/19 0000","02/05/19 0000","Geoffroy Hall","Report Initiated","fraud",-93.6423896,42.0225449
"19-000115","02/05/19 1741","","02/05/19 1741","22 Frederiksen Court","Report Initiated","disorderly conduct",-93.6440013,42.0335992
"19-000111","02/05/19 1551","02/05/19 1100","02/05/19 1100","Lot 21","Report Initiated","hit and run",-93.651571,42.0297193
"19-000110","02/05/19 1412","","","Armory Building","Report Initiated","harassment",-93.6509474,42.029626
"19-000109","02/05/19 1304","02/05/19 1100","02/05/19 1304","University Bookstore","Arrest","theft",-93.6453763,42.0231853
"19-000108","02/05/19 1242","02/05/19 0745","02/05/19 1242","Lot B6","Report Initiated","criminal mischief",-93.6365107,42.0167789
"19-000104","02/04/19 1341","01/27/19 0000","02/01/19 0000","Lot 112A","Report Initiated","hit and run",-93.6431428,42.0349871
"19-000103","02/04/19 1235","02/01/19 0000","02/04/19 1235","Legacy Tower","Report Initiated","theft",-93.6489377,42.0219747
"19-000102","02/04/19 1154","02/01/19 0800","02/04/19 1154","Lot 60","Report Initiated","hit and run",-93.6530339,42.0209006
"19-000096","02/03/19 0132","02/03/19 0132","02/03/19 0132","13th Street and Hyland","Arrest","drug violation",-93.6556493,42.0345655
"19-000094","02/02/19 2305","02/01/19 0000","02/02/19 0000","Buchanan Hall","Report Initiated","harassment",-93.642449,42.022653
"19-000093","02/01/19 2129","02/01/19 2129","02/01/19 2129","Lot 63","Arrest","drug violation",-93.6367573,42.0239698
"19-000092","02/01/19 1543","01/29/19 0000","02/01/19 0000","Lot 1","Report Initiated","hit and run",-93.6540123,42.0236158
"19-002","02/01/19 0000","01/30/19 0000","02/01/19 0000","Various Locations","Assigned - Other","harassment",NA,NA
"19-000088","01/31/19 1656","01/30/19 1436","01/30/19 1436","Memorial Union","Report Initiated","theft",-93.6459454,42.0236502
"19-000089","01/31/19 1611","01/30/19 0000","01/30/19 0000","Buchanan Hall","Report Initiated","fraud",-93.642449,42.022653
"19-000086","01/31/19 0042","01/31/19 0042","01/31/19 0042","Hunt Street and South Sheldon Street","Arrest","drug violation",NA,NA
"19-000084","01/30/19 2132","01/30/19 2132","01/30/19 2132","53 Frederiksen Court","Arrest","harassment",-93.6387859,42.033801
"19-000083","01/30/19 1945","01/23/19 0000","01/30/19 0000","Wallace Hall","Report Initiated","harassment",-93.6499279,42.0142261
"19-000081","01/30/19 1244","01/11/19 0000","01/12/19 0000","University Village Laundry Mat","Report Initiated","theft",-93.642113,42.041253
"19-000080","01/30/19 0838","01/29/19 1703","01/29/19 1947","Student Services Building","Report Initiated","harassment",-93.6501447,42.0253226
"19-000078","01/29/19 2223","01/29/19 2223","01/29/19 2223","Buchanan Hall","Arrest","drug violation",-93.642449,42.022653
"19-000077","01/29/19 1336","01/29/19 1336","01/29/19 1336","Maple Hall","Arrest","drug violation",-93.6387491,42.023654
"19-000072","01/26/19 1109","01/24/19 0000","01/26/19 0000","Various Locations","Report Initiated","harassment",NA,NA
"19-000070","01/25/19 2234","01/25/19 2234","01/25/19 2234","2430 Lincoln Way","Arrest","driving violation",-93.6499644,42.0225314
"19-000068","01/25/19 1518","","01/25/19 1456","Lot 100","Report Initiated","hit and run",-93.6377706,42.0258047
"19-000067","01/25/19 1512","01/25/19 1220","01/25/19 1305","University Village Laundry Mat","Report Initiated","criminal mischief",-93.642113,42.041253
"19-000066","01/25/19 1140","","01/24/19 1200","Eaton Hall","Report Initiated","criminal mischief",-93.6528168,42.0245839
"19-000065","01/25/19 0250","01/25/19 0250","01/25/19 0250","Franklin Avenue and Lincoln Way","Cited","driving violation",-93.6647899,42.0228024
"19-000064","01/25/19 0121","01/25/19 0121","01/25/19 0121","Chamberlain Street and Hayward Avenue","Arrest","driving violation",-93.6517204,42.0214474
"19-000064","01/25/19 0121","01/25/19 0121","01/25/19 0121","Chamberlain Street and Hayward Avenue","Arrest","drug violation",-93.6517204,42.0214474
"19-000063","01/23/19 2255","01/23/19 2255","01/23/19 2255","Welch Hall","Arrest","drug violation",-93.6420811,42.0236532
"19-000063","01/23/19 2255","01/23/19 2255","01/23/19 2255","Welch Hall","Arrest","alcohol violation",-93.6420811,42.0236532
"19-000058","01/23/19 1459","01/23/19 0945","01/23/19 1459","Wilson Hall","Report Initiated","fraud",-93.651021,42.0139143
"19-000056","01/23/19 1125","","","Troxel Hall","Recovered","theft",-93.6440411,42.0277898
"19-000055","01/22/19 1603","01/22/19 1300","01/22/19 1400","Atanasoff Hall","Recovered","theft",-93.6495713,42.0281363
"19-000052","01/22/19 0117","01/22/19 0005","01/22/19 0105","University Village Laundry Mat","Report Initiated","theft",-93.642113,42.041253
"19-001","01/22/19 0000","01/18/19 0000","01/18/19 0000","Memorial Union","Assigned - Other","harassment",-93.6459454,42.0236502
"19-000051","01/21/19 1611","01/21/19 1611","01/21/19 1611","42 Frederiksen Court","Arrest","drug violation",-93.6422748,42.0332422
"19-000048","01/20/19 2225","01/20/19 2225","01/20/19 2225","Lincoln Way and Morrill Road","Arrest","public intoxication",-93.6464078,42.0228283
"19-000046","01/20/19 1337","01/18/19 1900","01/19/19 1900","Lot 63","Report Initiated","criminal mischief",-93.6367573,42.0239698
"19-000045","01/20/19 0250","","01/20/19 0250","Friley Hall","Report Initiated","criminal mischief",-93.65045,42.0239234
"19-000044","01/20/19 0118","01/20/19 0118","01/20/19 0118","Linden Hall","Arrest","public intoxication",-93.6403252,42.0231404
"19-000043","01/20/19 0057","01/20/19 0057","01/20/19 0057","Beach Road and Lincoln Way","Arrest","driving violation",-93.6394928,42.0227678
"19-000042","01/19/19 0212","01/19/19 0212","01/19/19 0212","Chamberlain Street and Welch Avenue","Arrest","public intoxication",-93.6501941,42.0214439
"19-000041","01/19/19 0148","01/19/19 0148","01/19/19 0148","223 Welch Avenue","Arrest","public intoxication",-93.6504623,42.0204388
"19-000037","01/17/19 2305","01/17/19 2305","01/17/19 2305","Lot 61B","Arrest","drug violation",-93.6483675,42.0135352
"19-000038","01/17/19 2227","01/17/19 2227","01/17/19 2227","Larch Hall","Cited","alcohol violation",-93.6382868,42.0232779
"19-000036","01/16/19 2250","01/16/19 2250","01/16/19 2250","Hayward Avenue and Mortensen Road","Arrest","operating while intoxicated",-93.6516786,42.0118612
"19-000035","01/16/19 2013","01/15/19 1650","01/15/19 1745","University Village Laundry Mat","Report Initiated","theft",-93.642113,42.041253
"19-000034","01/16/19 1809","","01/16/19 1809","Online","Report Initiated","harassment",-93.5865453,42.0347453
"19-000031","01/16/19 1150","01/15/19 1150","01/15/19 1150","Mackay Hall","Report Initiated","harassment",-93.6465403,42.0285999
"19-000028","01/15/19 2317","01/15/19 2317","01/15/19 2317","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"19-000027","01/15/19 2036","01/15/19 2036","01/15/19 2036","University Boulevard and US Hiway 30 Ramp","Cited","driving violation",NA,NA
"19-000026","01/15/19 1649","01/15/19 1530","01/15/19 1630","University Village Laundry Mat","Report Initiated","theft",-93.642113,42.041253
"19-000025","01/15/19 1619","01/15/19 1619","01/15/19 1619","Lincoln Way and North Dakota Avenue","Cited","driving violation",-93.6786888,42.0230153
"19-000024","01/15/19 0958","12/17/18 0000","01/15/19 0000","Armory Building","Report Initiated","theft",-93.6509474,42.029626
"19-000020","01/14/19 1816","01/14/19 1816","01/14/19 1816","Lot 61B","Arrest","drug violation",-93.6483675,42.0135352
"19-000061","01/13/19 1758","","","Ames Intermodal Facility","Report Initiated","theft",-93.6523433,42.0210166
"19-000017","01/13/19 0117","01/13/19 0117","01/13/19 0117","Lincoln Way and Wilmoth Avenue","Arrest","public intoxication",-93.6615998,42.0227611
"19-000016","01/12/19 2024","01/11/19 1900","01/12/19 1757","4800 Mortensen Road","Report Initiated","hit and run",-93.6849459,42.0122875
"19-000015","01/12/19 1947",NA,"01/12/19 1947","1405 Coconino Road","Report Initiated","hit and run",-93.676751,42.009796
"19-000013","01/12/19 1309","01/12/19 1200","01/12/19 1309","Lot B2","Report Initiated","hit and run",NA,NA
"19-000010","01/10/19 2054","01/10/19 2054","01/10/19 2054","Dickinson Avenue and Twain Circle","Cited","driving violation",NA,NA
"19-000009","01/10/19 1508",NA,"01/10/19 0000","Atanasoff Hall","Report Initiated","harassment",-93.6495713,42.0281363
"19-000007","01/09/19 1811","01/09/19 1000","01/09/19 1811","East Campus Parking Deck","Report Initiated","vandalism",-93.6523433,42.0210166
"19-000004","01/08/19 1328",NA,NA,"Online","Report Initiated","harassment",-93.5865453,42.0347453
"19-000002","01/05/19 2212","01/05/19 1800","01/05/19 1800","Hilton Colesium","Report Initiated","theft",-93.635074,42.022693
"19-000001","01/01/19 0029","01/01/19 0029","01/01/19 0029","Lincoln Way and Stanton Avenue","Arrest","driving violation",-93.6485139,42.0227359
"18-001529","12/31/18 1006","09/01/18 0000","12/31/18 0000","Online","Open","harassment",-93.5865453,42.0347453
"18-001528","12/28/18 1724","12/28/18 1724","12/28/18 1724","Mortensen Road and Seagrave Boulevard","Arrest","driving violation",-93.6713608,42.0120265
"18-001525","12/27/18 0236","12/27/18 0236","12/27/18 0236","Ash Avenue and Mortensen Parkway","Cited","driving violation",-93.646758,42.0113047
"18-001524","12/27/18 0035","12/27/18 0035","12/27/18 0035","Alcott Avenue and Lincoln Way","Arrest","operating while intoxicated",NA,NA
"18-001522","12/26/18 0836",NA,"11/06/18 0000","Memorial Union","Open","fraud",-93.6459454,42.0236502
"18-001521","12/26/18 0122","12/26/18 0122","12/26/18 0122","Hayward Avenue and Mortensen Road","Arrest","operating while intoxicated",-93.6516786,42.0118612
"18-001520","12/23/18 2155","12/23/18 2155","12/23/18 2155","Hayward Avenue and Lincoln Way","Cited","driving violation",-93.6517059,42.0228461
"18-001519","12/23/18 1738","12/23/18 1738","12/23/18 1738","Lincoln Way and North Dakota Avenue","Cited","driving violation",-93.6786888,42.0230153
"18-001518","12/22/18 1127",NA,"12/21/18 0630","General Services Building","Open","harassment",-93.6410964,42.0280642
"18-001516","12/21/18 0214","12/21/18 0214","12/21/18 0214","Beach Road and Lincoln Way","Arrest","driving violation",-93.6394928,42.0227678
"18-001515","12/20/18 1703","12/12/18 2030","12/13/18 1130","Buchanan Hall","Open","theft",-93.642449,42.022653
"18-001512","12/18/18 1159","12/16/18 1200","12/18/18 1159","Armory","Recovered","theft",-93.6509474,42.029626
"18-001510","12/17/18 1607","12/15/18 0000","12/15/18 0000","Lot D3","Open","hit and run",-93.6332267,42.0177403
"18-001509","12/17/18 0115","12/17/18 0115","12/17/18 0115","Lincoln Way and Welch Avenue","Arrest","driving violation",-93.6501393,42.0227328
"18-001509","12/17/18 0115","12/17/18 0115","12/17/18 0115","Lincoln Way and Welch Avenue","Arrest","drug violation",-93.6501393,42.0227328
"18-001508","12/16/18 0208","12/16/18 0208","12/16/18 0208","Lincoln Way and State Avenue","Arrest","operating while intoxicated",-93.6591203,42.0227266
"18-001505","12/15/18 0252","12/15/18 0252","12/15/18 0252","Lincolnway and Lynn Avenue","Arrest","operating while intoxicated",NA,NA
"18-001504","12/15/18 0128","12/15/18 0128","12/15/18 0128","Hayward Avenue and Storm Street","Arrest","operating while intoxicated",-93.6516926,42.0161435
"18-001503","12/15/18 0051","12/15/18 0051","12/15/18 0051","2500 Chamberlain Street","Arrest","operating while intoxicated",-93.6500819,42.0214429
"18-001501","12/14/18 1851","12/14/18 1851","12/14/18 1851","Beach Road and Richardson Court","Arrest","drug violation",-93.639189,42.02383
"18-001500","12/14/18 0830",NA,"12/14/18 0000","Various Locations","Open","harassment",NA,NA
"18-001498","12/14/18 0445","12/14/18 0445","12/14/18 0445","Clemens Boulevard and South Dakota Avenue","Arrest","operating while intoxicated",-93.678692,42.0179285
"18-001496","12/14/18 0218","12/14/18 0218","12/14/18 0218","Lincoln Way and University Boulevard","Arrest","operating while intoxicated",-93.6332661,42.0228746
"18-001495","12/14/18 0150","12/14/18 0150","12/14/18 0150","Hyland Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6555907,42.0227264
"18-001494","12/14/18 0114","12/14/18 0114","12/14/18 0114","Gray Avenue and Lincoln Way","Arrest","public intoxication",-93.6420308,42.0226885
"18-001492","12/14/18 0032","12/14/18 0032","12/14/18 0032","2100 Gable Lane","Arrest","public intoxication",-93.6436014,42.0215071
"18-001491","12/13/18 2015","12/13/18 2015","12/13/18 2015","2650 Lincoln Way","Arrest","driving violation",-93.6538878,42.0225517
"18-001488","12/13/18 1323",NA,"12/13/18 1323","Lot 112G","Open","hit and run",-93.6395589,42.0340924
"18-001486","12/13/18 1205","11/13/18 0000",NA,"Various Locations","Open","harassment",NA,NA
"18-001484","12/13/18 0147","12/13/18 0147","12/13/18 0147","Little Street and Welch Avenue","Arrest","public intoxication",-93.650078,42.0176185
"18-001483","12/13/18 0104","12/13/18 0104","12/13/18 0104","Hyland Avenue and West Street","Arrest","public intoxication",-93.6556457,42.0253446
"18-001480","12/12/18 1210","12/11/18 1730","12/12/18 1130","Larch Hall","Open","theft",-93.6382868,42.0232779
"18-001479","12/11/18 1327","12/11/18 1327","12/11/18 1327","Helser Hall","Open","drug violation",-93.6518379,42.02424
"18-001474","12/11/18 0720","12/11/18 0720","12/11/18 0720","Farm House Lane and Osborn Drive","Cited","driving violation",NA,NA
"18-001472","12/10/18 1007",NA,"12/11/18 0900","Power Plant","Open","theft",-93.6397354,42.0277682
"18-001476","12/10/18 0918",NA,"11/14/18 0000","Eaton Hall","Open","theft",-93.6528168,42.0245839
"18-001470","12/09/18 1549","04/09/16 0000","04/09/16 0000","Martin Hall","Open","sexual assault",-93.6529424,42.0238665
"18-001468","12/09/18 0319","12/09/18 0319","12/09/18 0319","Beyer Court and Union Drive","Arrest","operating while intoxicated",-93.6507255,42.0251486
"18-001467","12/09/18 0149","12/09/18 0149","12/09/18 0149","Osborn Drive and Wallace Road","Arrest","operating while intoxicated",-93.6415098,42.0288854
"18-001466","12/09/18 0108","12/09/18 0108","12/09/18 0108","Arbor Street and South Sheldon Avenue","Arrest","public intoxication",-93.6542412,42.0209168
"18-001463","12/08/18 0307","12/08/18 0307","12/08/18 0307","Bissell Road and Union Drive","Arrest","public intoxication",-93.6518976,42.0253625
"18-001462","12/08/18 0127","12/08/18 0127","12/08/18 0127","Lincoln Way and South Hyland Avenue","Arrest","operating while intoxicated",-93.6555907,42.0227264
"18-001461","12/08/18 0040","12/08/18 0040","12/08/18 0040","Chamberlain Street and Stanton Avenue","Arrest","public intoxication",-93.6484903,42.0214258
"18-001460","12/07/18 1759",NA,"12/07/18 1030","Parks Library","Open","theft",-93.6488141,42.0281254
"18-001478","12/07/18 1608",NA,NA,"Various Locations","Open","harassment",NA,NA
"18-001459","12/07/18 1335","12/05/18 0000","12/06/18 0800","Forker Building","Open","theft",-93.6403143,42.0268097
"18-001458","12/07/18 0921","12/04/18 1000","12/06/18 1730","Hoover Hall","Open","theft",-93.6511839,42.0266539
"18-001457","12/06/18 2239","12/06/18 2239","12/06/18 2239","Ann Campbell Transit Station","Arrest","public intoxication",-93.6464654,42.0266187
"18-001456","12/06/18 2054",NA,NA,"Beyer Hall","Recovered","theft",-93.6529169,42.0259395
"18-001454","12/06/18 1402","12/06/18 1402","12/06/18 1402","Welch Hall","Arrest","drug violation",-93.6420811,42.0236532
"18-001453","12/06/18 0145","12/06/18 0145","12/06/18 0145","Hayward Avenue and Mortensen Road","Arrest","operating while intoxicated",-93.6516786,42.0118612
"18-001452","12/06/18 0118","12/06/18 0118","12/06/18 0118","North University Boulevard and Wallace Road","Arrest","drug violation",-93.6415414,42.0305048
"18-001450","12/04/18 1745","12/04/18 1745","12/04/18 1745","Geoffroy Hall","Open","drug violation",-93.6423896,42.0225449
"18-001449","12/04/18 1620","12/04/18 1235","12/04/18 1415","Ross Hall","Open","theft",-93.644204,42.0266305
"18-001447","12/04/18 0058",NA,"12/04/18 0058","Lot 7","Open","hit and run",-93.6546792,42.0257352
"18-001445","12/04/18 0044","12/04/18 0030","12/04/18 0030","Lot 63","Open","hit and run",-93.6367573,42.0239698
