"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"19-000292","03/12/19 1811","03/12/19 1811","03/12/19 1811","1800 Christensen Drive","Report Initiated","disorderly conduct",-93.6323694,42.0067073
"19-000290","03/12/19 1431","","03/12/19 1431","Lot 23","Report Initiated","hit and run",-93.6502695,42.0296777
"19-000289","03/12/19 0830","03/07/19 1115","03/07/19 1130","Forker Building","Report Initiated","theft",-93.6403143,42.0268097
"19-0004","03/12/19 0000","03/09/19 0000","03/09/19 0000","Frederiksen Court","Assigned - Other","sexual assault",-93.6440878,42.0340306
"19-000286","03/11/19 2315","03/11/19 2315","03/11/19 2315","Lyon Hall","Arrest","drug violation",-93.6424864,42.0245055
"19-000285","03/11/19 1843","03/11/19 1015","03/11/19 1430","Hamilton Hall","Arrest","theft",-93.6420985,42.0275353
"19-000283","03/10/19 0342","03/10/19 0342","03/10/19 0342","129 S. Duff Avenue","Arrest","operating while intoxicated",-93.6109768,42.02182
"19-000281","03/10/19 0043","03/10/19 0043","03/10/19 0043","Lincoln Way and Stanton Avenue","Arrest","operating while intoxicated",-93.6485139,42.0227359
"19-000279","03/09/19 2200","03/09/19 2200","03/09/19 2200","Lot 67","Cited","trespass",-93.6408776,42.0251136
"19-000277","03/09/19 0402","03/09/19 0402","03/09/19 0402","Lot 62","Arrest","public intoxication",-93.6431646,42.0217945
"19-000276","03/09/19 0237","03/09/19 0237","03/09/19 0237","Lincoln Way and University Boulevard","Arrest","public intoxication",-93.6332661,42.0228746
"19-000275","03/09/19 0215","03/09/19 0215","03/09/19 0215","Ames Intermodal Facility","Arrest","public intoxication",-93.6523433,42.0210166
"19-000273","03/09/19 0014","03/09/19 0014","03/09/19 0014","Welch Hall","Arrest","drug violation",-93.6420811,42.0236532
"19-000272","03/08/19 2303","03/08/19 2303","03/08/19 2303","Chamberlain Street and Lynn Avenue","Cited","alcohol violation",-93.6464356,42.0215381
"19-000271","03/08/19 2226","03/08/19 2226","03/08/19 2226","Chamberlain Street and Welch Avenue","Cited","alcohol violation",-93.6501941,42.0214439
"19-000270","03/08/19 2122","03/08/19 2122","03/08/19 2122","Ash Avenue and Gable Lane","Cited","alcohol violation",-93.6444023,42.0214733
"19-000269","03/08/19 1951","03/08/19 1955","03/08/19 2010","Lot 50B","Report Initiated","criminal mischief",-93.6417187,42.0259655
"19-000268","03/08/19 1930","03/08/19 1930","03/08/19 1930","Geoffroy Hall","Arrest","public intoxication",-93.6423896,42.0225449
"19-000267","03/08/19 1929","03/08/19 1929","03/08/19 1929","Ash Avenue and Country Club Boulevard","Arrest","driving violation",NA,NA
