"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"16-000046","01/17/16 0140","01/17/16 0140","01/17/16 0140","Ash Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.64441,42.0226961
"16-000047","01/17/16 0221","01/17/16 0221","01/17/16 0221","Ames Intermodal Facility","Arrest","disorderly conduct",-93.6523433,42.0210166
"16-000048","01/17/16 0418","01/17/16 0418","01/17/16 0418","4130 Maricopa Drive","Arrest","operating while intoxicated",-93.6726793,42.0077565
"16-000049","01/17/16 2337","01/17/16 2337","02/03/16 2048","Wilson Hall","Arrest","drug violation",-93.651021,42.0139143
"16-000049","01/17/16 2337","01/17/16 2337","01/17/16 2337","Wilson Hall","Arrest","alcohol violation",-93.651021,42.0139143
"16-000049","01/17/16 2337","01/17/16 2337","01/17/16 2337","Wilson Hall","Arrest","unlawful use of license",-93.651021,42.0139143
"16-000052","01/18/16 2318","01/18/16 2318","01/18/16 2318","315 Carrie Lane Court","Arrest","drug violation",-93.6418517,42.0244726
"16-000053","01/19/16 1610",NA,"01/19/16 1610","Welch Hall","Open","harassment",-93.6420811,42.0236532
"16-000059","01/20/16 0017","01/20/16 0017","01/20/16 0017","44 Schilletter Village","Arrest","weapon violation",-93.6419526,42.0440492
"16-000060","01/20/16 1035",NA,"01/21/16 1343","Durham Center","Closed","theft",-93.6498289,42.0276599
"16-000061","01/21/16 0002","01/21/16 0002","01/21/16 0002","Larch Hall","Arrest","vandalism",-93.6382868,42.0232779
"16-000063","01/21/16 1443",NA,"01/21/16 1443","Eaton Hall","Open","theft",-93.6528168,42.0245839
"16-000064","01/21/16 2051","01/21/16 2051","01/21/16 2051","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"16-000067","01/21/16 2358","01/21/16 2358","01/21/16 2358","Wallace Hall","Open","assault",-93.6499279,42.0142261
"16-000065","01/22/16 0153","01/22/16 0153","01/22/16 0153","Little Bluestem Court and Mortensen Parkway","Arrest","operating while intoxicated",-93.6455416,42.0094264
"16-000068","01/22/16 1100",NA,"01/22/16 1100","Lot 112F","Open","vandalism",-93.6394036,42.0323037
"16-000069","01/22/16 2325","01/22/16 2325","01/22/16 2325","Wallace Hall","Arrest","alcohol violation",-93.6499279,42.0142261
"16-000072","01/24/16 0022","01/24/16 0022","01/24/16 0022","Frederiksen Court","Arrest","domestic dispute",-93.6440878,42.0340306
"16-000077","01/24/16 0236","01/24/16 0236","01/24/16 0236","Hilton Coliseum","Arrest","public intoxication",-93.635074,42.022693
"16-000079","01/24/16 1710",NA,"01/24/16 1710","Lot 112B","Open","theft",-93.6435978,42.0324968
"16-000080","01/24/16 2106",NA,"01/24/16 2106","University Village","Open","harassment",-93.6441672,42.0427435
"16-000083","01/25/16 1257",NA,"01/25/16 1257","Wallace Hall","Open","theft",-93.6499279,42.0142261
"16-000087","01/25/16 1820",NA,"01/25/16 1820","Schilletter Village","Open","theft",-93.6419526,42.0440492
"16-000089","01/25/16 2321","01/25/16 2321","01/25/16 2321","119 Stanton Avenue","Arrest","drug violation",-93.6489377,42.0219747
"16-000092","01/26/16 2148","01/26/16 2148","01/26/16 2148","Eaton Hall","Arrest","drug violation",-93.6528168,42.0245839
"16-000092","01/26/16 2148","01/26/16 2148","01/26/16 2148","Eaton Hall","Arrest","alcohol violation",-93.6528168,42.0245839
"16-000093","01/27/16 0127","01/27/16 0127","01/27/16 0217","Hayward Avenue and Storm Street","Arrest","driving violation",-93.6516926,42.0161435
"16-000096","01/27/16 2241","01/27/16 2241","01/27/16 2241","Lincoln Way and Welch Road","Arrest","drug violation",-93.6501393,42.0227328
"16-000096","01/27/16 2241","01/27/16 2241","01/27/16 2241","Lincoln Way and Welch Road","Arrest","driving violation",-93.6501393,42.0227328
"16-000095","01/27/16 2305","01/27/16 2305","01/27/16 2305","Wallace Hall","Arrest","drug violation",-93.6499279,42.0142261
"16-000098","01/28/16 0251","01/28/16 0251","01/28/16 0251","South Dakota Avenue and Zumwalt Station Road","Arrest","operating while intoxicated",NA,NA
"16-000099","01/28/16 1545",NA,"01/28/16 1545","University Bookstore","Open","theft",-93.6453763,42.0231853
"16-000100","01/28/16 2112",NA,"01/28/16 2112","Armory Building","Open","assault",-93.6509474,42.029626
"16-000101","01/28/16 2134","01/28/16 2134","01/28/16 2134","Frederiksen Court","Arrest","drug violation",-93.6440878,42.0340306
"16-000101","01/28/16 2134","01/28/16 2134","01/28/16 2134","Frederiksen Court","Arrest","alcohol violation",-93.6440878,42.0340306
"16-000102","01/29/16 0221","01/29/16 0221","01/29/16 0221","Lot 1","Arrest","public intoxication",-93.6540123,42.0236158
"16-000103","01/29/16 0957","01/29/16 0957","01/29/16 0957","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000104","01/29/16 1326",NA,"01/29/16 1326","Roberts Hall","Open","theft",-93.6425636,42.0239302
"16-000105","01/29/16 1545",NA,"01/29/16 1545","Student Services Building","Open","vandalism",-93.6501447,42.0253226
"16-000106","01/29/16 1545","01/29/16 1545","01/29/16 1545","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000107","01/29/16 2029",NA,"01/29/16 2029","Friley Hall","Open","theft",-93.65045,42.0239234
"16-000108","01/29/16 2214","01/29/16 2214","01/29/16 2214","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"16-000109","01/30/16 0114","01/30/16 0114","01/30/16 0114","Arbor Street and South Hyland Avenue","Arrest","public intoxication",-93.6555561,42.0209196
"16-000111","01/30/16 0229","01/30/16 0229","01/30/16 0229","Buchanan Hall","Open","trespass",-93.642449,42.022653
"16-000110","01/30/16 0255","01/30/16 0255","02/24/16 1940","University Village","Arrest","theft",-93.6441672,42.0427435
"16-000110","01/30/16 0255","01/30/16 0255","01/30/16 0255","University Village","Arrest","public intoxication",-93.6441672,42.0427435
"16-000110","01/30/16 0255","01/30/16 0255","01/30/16 0255","University Village","Arrest","assault",-93.6441672,42.0427435
"16-000112","01/30/16 0629",NA,"01/30/16 0629","Lot 61A","Open","theft",-93.6483506,42.0124764
"16-000114","01/31/16 0254","01/31/16 0254","01/31/16 0254","Knapp Street and Lynn Avenue","Arrest","operating while intoxicated",-93.6463784,42.019148
"16-000115","02/01/16 0018","02/01/16 0018","02/01/16 0018","South Dakota Avenue and Steinbeck Street","Arrest","alcohol violation",-93.6786731,42.0145902
"16-000116","02/01/16 0112","02/01/16 0112","02/01/16 0112","Storm Street and Welch Avenue","Arrest","operating while intoxicated",-93.6500563,42.0161339
"16-000116","02/01/16 0112","02/01/16 0112","02/01/16 0112","Storm Street and Welch Avenue","Arrest","drug violation",-93.6500563,42.0161339
"16-000116","02/01/16 0112","02/01/16 0112","02/01/16 0112","Storm Street and Welch Avenue","Arrest","driving violation",-93.6500563,42.0161339
"16-000117","02/01/16 0125","02/01/16 0125","02/01/16 0125","Mortensen Road and South Dakota Avenue","Arrest","driving violation",-93.6786567,42.0120839
"16-000119","02/01/16 1626",NA,"02/01/16 1626","2200 block Lincoln Way","Open","theft",-93.644527,42.0226921
"16-000122","02/02/16 1613","02/02/16 1613","02/02/16 1613","Wilson Hall","Arrest","drug violation",-93.651021,42.0139143
"16-000123","02/02/16 1846",NA,"02/02/16 1846","Armory Building","Open","theft",-93.6509474,42.029626
"16-000126","02/03/16 0405","02/03/16 0405","02/03/16 0405","Curtiss Hall","Arrest","public intoxication",-93.6448628,42.0261821
"16-000127","02/03/16 1302",NA,"02/03/16 1302","Hamilton Hall","Open","vandalism",-93.6420985,42.0275353
"16-000129","02/04/16 0740",NA,"02/04/16 0740","Armory Building","Open","theft",-93.6509474,42.029626
"16-000133","02/04/16 1827","02/04/16 1827","02/04/16 1827","Bristol Drive and Stange Road","Arrest","driving violation",NA,NA
"16-000134","02/04/16 2117",NA,"02/04/16 2117","Frederiksen Court","Open","theft",-93.6440878,42.0340306
"16-000135","02/04/16 2350","02/04/16 2350","02/04/16 2350","Helser Hall","Arrest","public intoxication",-93.6518379,42.02424
"16-000136","02/05/16 0040","02/05/16 0040","02/05/16 0040","Hayward Avenue and Storm Street","Arrest","operating while intoxicated",-93.6516926,42.0161435
"16-000137","02/05/16 0235","02/05/16 0235","02/05/16 0235","2800 block of West Street","Arrest","public intoxication",-93.6556596,42.0253444
"16-000138","02/05/16 1205","02/05/16 1205","02/05/16 1205","Ledgestone Meadows Mobile Home Park","Open","drug violation",NA,NA
"16-000140","02/05/16 1657","02/05/16 1657","02/05/16 1657","Frederiksen Court","Arrest","drug violation",-93.6440878,42.0340306
"16-000141","02/06/16 0149","02/06/16 0149","02/06/16 0149","Mortensen Road and Seagrave Boulevard","Arrest","operating while intoxicated",-93.6713608,42.0120265
"16-000142","02/06/16 0219","02/06/16 0219","02/06/16 0219","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"16-000143","02/06/16 0346","02/06/16 0346","02/06/16 0346","US Highway 30 and 600th Avenue","Arrest","operating while intoxicated",NA,NA
"16-000144","02/06/16 1653",NA,"02/06/16 1653","Schilletter Village","Open","theft",-93.6419526,42.0440492
"16-000145","02/07/16 0011","02/07/16 0011","02/07/16 0011","Cochrane Parkway and South Dakota Avenue","Arrest","operating while intoxicated",-93.678692,42.0171418
"16-000150","02/08/16 2126",NA,"02/08/16 2126","Beyer Hall","Open","theft",-93.6529169,42.0259395
"16-000151","02/08/16 2237","02/08/16 2237","02/08/16 2237","Lot 61B","Arrest","drug violation",-93.6483675,42.0135352
"16-000152","02/09/16 0033","02/09/16 0033","02/09/16 0033","3300 block of Lincoln Way","Arrest","driving violation",-93.6615998,42.0227611
"16-000153","02/09/16 0916",NA,"02/09/16 0916","Armory Building","Open","theft",-93.6509474,42.029626
"16-000159","02/10/16 1434",NA,"02/10/16 1434","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000161","02/11/16 1229",NA,"02/12/16 1052","Armory Building","Arrest","assault",-93.6509474,42.029626
"16-000162","02/11/16 1648",NA,"02/11/16 1648","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000163","02/11/16 2015",NA,"02/11/16 2015","Walton Drive","Open","harassment",-93.6702176,42.0099168
"16-000164","02/11/16 2130","02/11/16 2130","02/11/16 2130","Chamberlain Street and Lynn Avenue","Arrest","driving violation",-93.6464356,42.0215381
"16-000165","02/12/16 0228","02/12/16 0228","02/12/16 0228","US Highway 30 E and University Boulevard","Arrest","drug violation",-93.6387198,42.0030346
"16-000165","02/12/16 0228","02/12/16 0228","02/12/16 0228","US Highway 30 E and University Boulevard","Arrest","driving violation",-93.6387198,42.0030346
"16-000167","02/12/16 1109",NA,"02/12/16 1109","Elm Hall","Open","harassment",-93.6403311,42.0251392
"16-000168","02/12/16 1344",NA,"02/12/16 1344","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000171","02/12/16 1607",NA,"02/12/16 1607","Student Services Building","Open","sexual assault",-93.6501447,42.0253226
"16-000170","02/12/16 1612",NA,"02/12/16 1612","4130 Maricopa Drive","Open","theft",-93.6726793,42.0077565
"16-000172","02/12/16 1741","02/12/16 1741","02/12/16 1741","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"16-000172","02/12/16 1741","02/12/16 1741","02/12/16 1741","Friley Hall","Arrest","alcohol violation",-93.65045,42.0239234
"16-000172","02/12/16 1741","02/12/16 1741","02/12/16 1741","Friley Hall","Arrest","unlawful use of license",-93.65045,42.0239234
"16-000173","02/12/16 1750","02/12/16 1750","02/12/16 1750","1900 block South 4th Street","Arrest","harassment",-93.6379967,42.0154325
"16-000173","02/12/16 1750","02/12/16 1750","02/12/16 1750","1900 block South 4th Street","Arrest","trespass",-93.6379967,42.0154325
"16-000173","02/12/16 1750","02/12/16 1750","02/12/16 1750","1900 block South 4th Street","Arrest","disorderly conduct",-93.6379967,42.0154325
"16-000175","02/13/16 0043","02/13/16 0043","02/13/16 0043","Gateway Hills Park Drive and Mortensen Road","Arrest","driving violation",-93.649344,42.0118567
"16-000176","02/13/16 0115","02/13/16 0115","02/13/16 0115","Chamberlain Street and Welch Avenue","Arrest","public intoxication",-93.6501941,42.0214439
"16-000176","02/13/16 0115","02/13/16 0115","02/13/16 0115","Chamberlain Street and Welch Avenue","Arrest","disorderly conduct",-93.6501941,42.0214439
"16-000178","02/13/16 0149","02/13/16 0149","02/13/16 0149","Mortensen Road and State Avenue","Arrest","operating while intoxicated",-93.6589323,42.0118849
"16-000178","02/13/16 0149","02/13/16 0149","02/13/16 0149","Mortensen Road and State Avenue","Arrest","drug violation",-93.6589323,42.0118849
"16-000179","02/13/16 0224","02/13/16 0224","02/13/16 0224","Willow Hall","Closed","domestic dispute",-93.6377325,42.0239136
"16-000182","02/13/16 2137",NA,"02/13/16 2137","Memorial Union","Open","theft",-93.6459454,42.0236502
"16-000173","02/13/16 2341","02/13/16 2341","02/13/16 2341","Pammel Drive and WOI Road","Arrest","alcohol violation",-93.6502722,42.0305197
"16-000184","02/14/16 0031",NA,"02/14/16 0031","Hilton Coliseum","Open","theft",-93.635074,42.022693
"16-000185","02/14/16 0156","02/14/16 0156","02/14/16 0156","Gray Avenue and Sunset Drive","Arrest","alcohol violation",-93.6411862,42.0212956
"16-000186","02/14/16 0202","02/14/16 0202","02/14/16 0202","Willow Hall","Arrest","drug violation",-93.6377325,42.0239136
"16-000186","02/14/16 0202","02/14/16 0202","02/14/16 0202","Willow Hall","Arrest","alcohol violation",-93.6377325,42.0239136
"16-000187","02/14/16 0229","02/14/16 0229","02/14/16 0229","Hyland avenue and Lincoln Way","Arrest","alcohol violation",-93.6555907,42.0227264
"16-000189","02/14/16 1300","02/14/16 1300","02/14/16 1300","Helser Hall","Arrest","drug violation",-93.6518379,42.02424
"16-000190","02/15/16 0144","02/15/16 0144","02/15/16 0144","Frederiksen Court","Arrest","drug violation",-93.6440878,42.0340306
"16-000191","02/15/16 0233","02/15/16 0233","02/15/16 0233","Knapp Street and Welch Avenue","Arrest","drug violation",-93.6500882,42.0191138
"16-000192","02/15/16 1518",NA,"02/15/16 1518","Armory Building","Open","theft",-93.6509474,42.029626
"16-000193","02/15/16 1942",NA,"02/15/16 1942","Gerdin Business Building","Open","theft",-93.6444688,42.0254011
"N/A","02/16/16 0000","10/01/15 0000",NA,"Residence Hall - unknown (reported by CSA)","Info only","robbery",NA,NA
"16-000196","02/16/16 0404","02/16/16 0404","02/16/16 0404","Ontario Circle and Ontario Street","Arrest","driving violation",-93.6581104,42.0344585
"16-000197","02/16/16 0911",NA,"02/16/16 0911","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000198","02/16/16 0911",NA,"02/16/16 0911","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000199","02/16/16 2244",NA,"02/16/16 2244","Frederiksen Court","Open","assault",-93.6440878,42.0340306
"16-000200","02/17/16 0204","02/17/16 0204","02/17/16 0204","Pammel Drive and Stange Road","Arrest","operating while intoxicated",-93.6446613,42.030518
"16-000201","02/17/16 1632",NA,"02/17/16 1632","Armory Building","Open","harassment",-93.6509474,42.029626
"16-000204","02/19/16 0201","02/19/16 0201","02/19/16 0201","Chamberlain Street and Lynn Avenue","Arrest","public intoxication",-93.6464356,42.0215381
"16-000207","02/19/16 1056",NA,"02/19/16 1056","200 block Tama Street","Open","harassment",NA,NA
"16-000208","02/19/16 1254",NA,"02/19/16 1254","Lot 61A","Open","theft",-93.6483506,42.0124764
"16-000209","02/19/16 1711",NA,"02/19/16 1711","Parks Library","Open","theft",-93.6488141,42.0281254
"16-000210","02/19/16 2150","02/19/16 2150","02/19/16 2150","College of Design","Arrest","alcohol violation",-93.6531506,42.0285641
"16-000216","02/19/16 2314","02/19/16 2314","02/19/16 2314","4709 Steinbeck Street","Open","drug violation",-93.6830438,42.0149761
"16-000212","02/20/16 0142","02/20/16 0142","02/20/16 0142","Garfield Avenue and Ross Road","Arrest","operating while intoxicated",NA,NA
"16-000213","02/20/16 0216","02/20/16 0216","02/20/16 0216","119 Stanton Avenue","Arrest","public intoxication",-93.6489377,42.0219747
"16-000215","02/20/16 1629","02/20/16 1629","02/20/16 1629","Hilltop Road and Tripp Street","Arrest","drug violation",-93.6634289,42.0201153
"16-000218","02/21/16 0231","02/21/16 0231","02/21/16 0231","144MM and US Highway 30","Arrest","operating while intoxicated",-93.6387198,42.0030346
"16-000219","02/21/16 0251",NA,"02/21/16 0251","300 Stanton Avenue","Open","disorderly conduct",-93.6481458,42.0202997
"16-000222","02/22/16 1318",NA,"02/22/16 1318","Ames Intermodal Facility","Open","theft",-93.6523433,42.0210166
"16-000223","02/22/16 1653",NA,"03/04/16 1048","Armory Building","Arrest","harassment",-93.6509474,42.029626
"16-000224","02/22/16 2024",NA,"02/22/16 2024","Friley Hall","Open","harassment",-93.65045,42.0239234
"16-000225","02/22/16 2138","02/22/16 2138","02/22/16 2138","Elm Hall","Arrest","drug violation",-93.6403311,42.0251392
"16-000226","02/22/16 2224","02/22/16 2224","02/22/16 2224","Wallace Hall","Arrest","drug violation",-93.6499279,42.0142261
"16-000227","02/23/16 1356","02/23/16 1356","02/23/16 1356","Memorial Union","Arrest","theft",-93.6459454,42.0236502
"16-000229","02/23/16 2306","02/23/16 2306","02/23/16 2306","Lot 63","Arrest","drug violation",-93.6367573,42.0239698
"16-000230","02/23/16 2307","02/23/16 2307","02/23/16 2307","Buchanan Hall","Arrest","drug violation",-93.642449,42.022653
"16-000230","02/23/16 2307","02/23/16 2307","02/23/16 2307","Buchanan Hall","Arrest","alcohol violation",-93.642449,42.022653
"16-000232","02/24/16 1754",NA,"02/24/16 1754","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000233","02/24/16 2105",NA,"02/24/16 2105","Friley Hall","Open","drug violation",-93.65045,42.0239234
"16-000233","02/24/16 2105",NA,"03/08/16 1752","Linden Hall","Arrest","harassment",-93.6403252,42.0231404
"16-000234","02/25/16 0139","02/25/16 0139","02/25/16 0139","Lincoln Way and University Boulevard","Arrest","driving violation",-93.6332661,42.0228746
"16-000235","02/25/16 0948",NA,"02/25/16 0948","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000236","02/25/16 1328",NA,"02/28/16 1750","Wallace Hall","Arrest","drug violation",-93.6499279,42.0142261
"16-000237","02/25/16 1859","02/25/16 1859","02/25/16 1859","Edenburn Drive and Stange Road","Arrest","drug violation",-93.6448596,42.043784
"16-000238","02/25/16 2217","02/25/16 2217","02/25/16 2217","Wilson Hall","Arrest","drug violation",-93.651021,42.0139143
"16-000239","02/26/16 0103","02/26/16 0103","02/26/16 0103","Beach Avenue and Lincoln Way","Arrest","public intoxication",-93.639494,42.022655
"16-000240","02/26/16 0212","02/26/16 0212","02/26/16 0212","Lincoln Way and North Dakota Avenue","Arrest","operating while intoxicated",-93.6786888,42.0230153
"16-000241","02/26/16 0400",NA,"02/26/16 0400","Troxel Hall","Open","vandalism",-93.6440411,42.0277898
"16-000242","02/26/16 0746",NA,"02/26/16 0746","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000243","02/26/16 1327",NA,"02/26/16 1327","Physics Hall","Open","harassment",-93.6472746,42.0295226
"16-000246","02/27/16 0125","02/27/16 0125","02/27/16 0125","Hayward Avenue and Knapp Street","Arrest","alcohol violation",-93.6517339,42.0191154
"16-000247","02/27/16 0150","02/27/16 0150","02/27/16 0150","Maple Hall","Arrest","public intoxication",-93.6387491,42.023654
"16-000250","02/27/16 2307","02/27/16 2307","02/27/16 2307","Larch Hall","Arrest","public intoxication",-93.6382868,42.0232779
"16-000251","02/27/16 2326","02/27/16 2326","02/27/16 2326","140 Lynn Avenue","Closed","disorderly conduct",-93.6458095,42.0212625
"16-000252","02/28/16 0029","02/28/16 0029","02/28/16 0029","Cross Country Course","Arrest","alcohol violation",-93.6525215,42.0131474
"16-000254","02/28/16 0147","02/28/16 0147","02/28/16 0147","Hayward Avenue and Storm Street","Arrest","alcohol violation",-93.6516926,42.0161435
"16-000255","02/28/16 0205","02/28/16 0205","02/28/16 0205","Wilson Hall","Arrest","public intoxication",-93.651021,42.0139143
"16-000256","02/28/16 0335","02/28/16 0335","02/28/16 0335","Beach Avenue and Lincoln Way","Arrest","public intoxication",-93.639494,42.022655
"16-000258","02/29/16 0837",NA,"02/29/16 0837","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000262","03/01/16 1156",NA,"03/01/16 1156","Armory Building","Open","theft",-93.6509474,42.029626
"16-000263","03/01/16 1502",NA,"03/01/16 1502","University Village","Open","harassment",-93.6441672,42.0427435
"16-000264","03/02/16 0013","03/02/16 0013","03/09/16 0636","Maple Hall","Arrest","drug violation",-93.6387491,42.023654
"16-000265","03/02/16 0702","03/02/16 0702","03/02/16 0702","Armory Building","Open","theft",-93.6509474,42.029626
"16-000269","03/02/16 2019","03/02/16 2019","03/02/16 2019","3920 Maricopa Drive","Arrest","drug violation",-93.6701672,42.0080064
"16-000270","03/02/16 2137","03/02/16 2137","03/02/16 2137","Lied Recreation Center","Arrest","theft",-93.6372142,42.0267276
"16-000274","03/04/16 0108","03/04/16 0108","03/04/16 0108","Lot 63","Arrest","operating while intoxicated",-93.6367573,42.0239698
"16-000274","03/04/16 0108","03/04/16 0108","03/04/16 0108","Lot 63","Arrest","drug violation",-93.6367573,42.0239698
"16-000273","03/04/16 0125","03/04/16 0125","03/04/16 0125","Sunflower Drive and Tripp Street","Arrest","operating while intoxicated",-93.6676173,42.020146
"16-000275","03/04/16 0822",NA,"03/04/16 0822","Armory Building","Open","drug violation",-93.6509474,42.029626
"16-000276","03/04/16 1119","07/03/16 0000","03/04/16 1119","Student Services Building","Open","sexual assault",-93.6501447,42.0253226
"16-000277","03/04/16 1433",NA,"03/04/16 1433","Parks Library","Open","theft",-93.6488141,42.0281254
"16-000279","03/04/16 2307",NA,"03/04/16 2307","Wilson Hall","Open","theft",-93.651021,42.0139143
"16-000280","03/05/16 0026","03/05/16 0026","03/05/16 0026","400 block Welch Avenue","Arrest","alcohol violation",-93.6500882,42.0191138
"16-000282","03/05/16 0055","03/05/16 0055","03/05/16 0055","Hyland Avenue and Oakland Street","Arrest","public intoxication",-93.6557031,42.0280325
"16-000284","03/05/16 0206","03/05/16 0206","03/05/16 0206","Hayward Avenue and Mortensen Road","Arrest","driving violation",-93.6516786,42.0118612
"16-000285","03/05/16 0250","03/05/16 0250","03/05/16 0250","Lincoln Way and Lynn Avenue","Arrest","operating while intoxicated",-93.6464086,42.0227244
"16-000287","03/05/16 0907",NA,"03/05/16 0907","Agronomy Greenhouse","Open","theft",NA,NA
"16-000289","03/06/16 0016","03/06/16 0016","03/06/16 0016","119 Stanton Avenue","Open","disorderly conduct",-93.6489377,42.0219747
"16-000291","03/06/16 1436",NA,"03/06/16 1436","Pearson Hall","Open","vandalism",-93.6498675,42.0260288
"16-000292","03/06/16 1442","03/06/16 0000","03/06/16 1442","Friley Hall","Open","sexual assault",-93.65045,42.0239234
"16-000294","03/07/16 1019",NA,"03/07/16 1019","Frederiksen Court","Open","theft",-93.6440878,42.0340306
"16-000295","03/07/16 1606",NA,"03/08/16 0924","Armory Building","Arrest","drug violation",-93.6509474,42.029626
"16-000296","03/07/16 2016",NA,"03/07/16 2016","Farm House Museum","Open","theft",-93.6439451,42.0271105
"16-000298","03/08/16 0523",NA,"03/08/16 0523","Memorial Union","Open","vandalism",-93.6459454,42.0236502
"16-000299","03/08/16 1819",NA,"03/08/16 1819","Armory Building","Open","drug violation",-93.6509474,42.029626
