"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"16-000002","01/01/16 0239","01/01/16 0239","01/01/16 0239","E. 13th Street and Mc Cormick Avenue","Arrest","public intoxication",NA,NA
"16-000003","01/05/16 0828",NA,"01/05/16 0828","Durham Center","Open","vandalism",-93.6498289,42.0276599
"16-000004","01/06/16 0839",NA,"01/06/16 0839","Armory Building","Open","theft",-93.6509474,42.029626
"16-000007","01/08/16 0114","01/08/16 0114","01/08/16 0114","Lincoln Way and Sheldon Avenue","Arrest","public intoxication",-93.6542392,42.0227224
"16-000007","01/08/16 0114","01/08/16 0114","01/08/16 0114","Lincoln Way and Sheldon Avenue","Arrest","alcohol violation",-93.6542392,42.0227224
"16-000009","01/08/16 1747","01/08/16 1747","01/08/16 1747","Lincoln Way and Stanton Avenue","Arrest","driving violation",-93.6485139,42.0227359
"16-000010","01/09/16 0050","01/09/16 0050","01/09/16 0050","Lincoln Way and University Boulevard","Arrest","operating while intoxicated",-93.6332661,42.0228746
"16-000014","01/10/16 1839",NA,"01/10/16 1839","Gilman Hall","Open","harassment",-93.6486442,42.0294215
"16-000015","01/11/16 0609",NA,"01/11/16 0609","Durham Center","Open","vandalism",-93.6498289,42.0276599
"16-000016","01/11/16 1128",NA,"01/11/16 1128","College Shop ISU Farms","Open","theft",NA,NA
"16-000017","01/12/16 0632",NA,"01/12/16 0632","Durham Center","Open","vandalism",-93.6498289,42.0276599
"16-000018","01/12/16 1105",NA,"01/12/16 1105","Gerdin Business Building","Open","vandalism",-93.6444688,42.0254011
"16-000022","01/13/16 1718",NA,"01/13/16 1718","Union Drive Community Center","Open","harassment",-93.6515007,42.0249565
"16-000025","01/13/16 2326","01/13/16 2326","01/13/16 2326","Wilson Hall","Arrest","public intoxication",-93.651021,42.0139143
"16-000025","01/13/16 2326","01/13/16 2326","01/13/16 2326","Wilson Hall","Arrest","unlawful use of license",-93.651021,42.0139143
"16-000026","01/14/16 0145","01/14/16 0145","01/14/16 0145","Mortensen Road and Seagrave Boulevard","Arrest","operating while intoxicated",-93.6713608,42.0120265
"16-000027","01/14/16 0237","01/14/16 0237","01/14/16 0237","Mortensen Road and State Avenue","Arrest","drug violation",-93.6589323,42.0118849
"16-000028","01/14/16 0301","01/14/16 0301","01/14/16 0301","Union Drive Community Center","Arrest","public intoxication",-93.6515007,42.0249565
"16-000030","01/14/16 1653",NA,"01/14/16 1653","Wallace Hall","Open","harassment",-93.6499279,42.0142261
"16-000031","01/14/16 2227","01/14/16 2227","01/14/16 2227","Buchanan Hall","Arrest","public intoxication",-93.642449,42.022653
"16-000031","01/14/16 2227","01/14/16 2227","01/14/16 2227","Buchanan Hall","Arrest","unlawful use of license",-93.642449,42.022653
"16-000032","01/15/16 0011","01/15/16 0011","01/15/16 0011","Lot 3","Arrest","public intoxication",-93.6539354,42.0264782
"16-000032","01/15/16 0011","01/15/16 0011","01/15/16 0011","Lot 3","Arrest","alcohol violation",-93.6539354,42.0264782
"16-000032","01/15/16 0011","01/15/16 0011","01/15/16 0011","Lot 3","Arrest","unlawful use of license",-93.6539354,42.0264782
"16-000033","01/15/16 0203","01/15/16 0203","01/15/16 0203","Cessna Street and Country Club Boulevard","Arrest","operating while intoxicated",NA,NA
"16-000034","01/15/16 0219","01/15/16 0219","01/15/16 0219","South 4th Street and University Boulevard","Arrest","operating while intoxicated",-93.63108,42.016262
"16-000036","01/15/16 1437",NA,"01/15/16 1437","Parks Library","Open","theft",-93.6488141,42.0281254
"16-000037","01/15/16 1936",NA,"01/15/16 1936","Lot 63","Open","vandalism",-93.6367573,42.0239698
"16-000038","01/15/16 2101","01/15/16 2101","01/15/16 2101","Eaton Hall","Arrest","public intoxication",-93.6528168,42.0245839
"16-000039","01/15/16 2330","01/15/16 2330","01/15/16 2330","Wilson Hall","Arrest","disorderly conduct",-93.651021,42.0139143
"16-000041","01/16/16 0255","01/16/16 0255","01/16/16 0255","Chamberlain Street and Welch Avenue","Arrest","public intoxication",-93.6501941,42.0214439
"16-000043","01/16/16 1038",NA,"01/16/16 1038","Lot 63","Open","vandalism",-93.6367573,42.0239698
"16-000044","01/16/16 2145","01/16/16 2145","01/16/16 2145","Wilson Hall","Arrest","alcohol violation",-93.651021,42.0139143
