"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"13-000001","01/01/13 0020","01/01/13 0020","01/01/13 0020","Lincoln Way and South Hyland Avenue","Arrest","operating while intoxicated",-93.6555907,42.0227264
"13-000001","01/01/13 0020","01/01/13 0020","01/01/13 0020","Lincoln Way and South Hyland Avenue","Arrest","unlawful use of license",-93.6555907,42.0227264
"13-000002","01/01/13 0056","01/01/13 0056","01/01/13 0056","Chamberlain Street and Stanton Avenue","Arrest","liquor law violation",-93.6484903,42.0214258
"13-000003","01/01/13 0130","01/01/13 0130","01/01/13 0130","Hyland Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6555907,42.0227264
"13-000006","01/03/13 0126","01/03/13 0126","01/03/13 0126","Lincoln Way and Wilder Avenue","Arrest","driving under suspension",-93.6918302,42.0228356
"13-000007","01/03/13 1721",NA,NA,"University Village","Open","theft",-93.6441672,42.0427435
"13-000008","01/03/13 2206","01/03/13 2206","01/03/13 2206","Lincoln Way and University Boulevard","Arrest","drug violation",-93.6332661,42.0228746
"13-000009","01/04/13 0121","01/04/13 0121","01/04/13 0121","Gray Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6420308,42.0226885
"13-000010","01/04/13 0200","01/04/13 0200","01/04/13 0200","100 block of Welch Avenue","Arrest","public intoxication",-93.6501392,42.02272
"13-000010","01/04/13 0200","01/04/13 0200","01/04/13 0200","100 block of Welch Avenue","Arrest","disorderly conduct",-93.6501392,42.02272
"13-000013","01/05/13 1645","01/05/13 1645","01/05/13 1645","Long Road","Arrest","driving under suspension",NA,NA
"13-000014","01/06/13 0051","01/06/13 0051","01/06/13 0051","Chamberlain Street and Stanton Avenue","Arrest","operating while intoxicated",-93.6484903,42.0214258
"13-000015","01/06/13 1913","01/06/13 1913","01/06/13 1913","South 4th Street and University Boulevard","Arrest","driving under revocation",-93.63108,42.016262
"13-000017","01/07/13 1055",NA,NA,"Lot 110","Open","vandalism",-93.6393133,42.03113
"13-000018","01/08/13 1757","01/08/13 1757","01/08/13 1757","Lincoln Way and State Avenue","Arrest","driving violation",-93.6591203,42.0227266
"13-000020","01/09/13 0144","01/09/13 0144","01/09/13 0144","Mortensen Road and State Avenue","Arrest","operating while intoxicated",-93.6589323,42.0118849
"13-000024","01/10/13 0233","01/10/13 0233","01/10/13 0233","Mortensen Road and State Avenue","Arrest","driving under suspension",-93.6589323,42.0118849
"13-000025","01/11/13 0203","01/11/13 0203","01/11/13 0203","2500 block of Chamberlain Street","Arrest","public intoxication",-93.6500819,42.0214429
"13-000025","01/11/13 0203","01/11/13 0203","01/11/13 0203","2500 block of Chamberlain Street","Arrest","disorderly conduct",-93.6500819,42.0214429
"13-000025","01/11/13 0203","01/11/13 0203","01/11/13 0203","2500 block of Chamberlain Street","Arrest","interference",-93.6500819,42.0214429
"13-000027","01/12/13 0033","01/12/13 0033","01/12/13 0033","Coconino Road and Mortensen Road","Arrest","operating while intoxicated",-93.6762975,42.0120724
"13-000028","01/12/13 0042","01/12/13 0042","01/12/13 0042","Lincoln Way and Morrill Road","Arrest","liquor law violation",-93.6464078,42.0228283
"13-000029","01/12/13 0052","01/12/13 0052","01/12/13 0052","Campus Avenue and Lincoln Way","Arrest","public intoxication",-93.6570426,42.0227269
"13-000030","01/12/13 0115","01/12/13 0115","01/12/13 0115","Friley Hall","Arrest","public intoxication",-93.65045,42.0239234
"13-000031","01/12/13 0352","01/12/13 0352","01/12/13 0352","Gray Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6420308,42.0226885
"13-000031","01/12/13 0352","01/12/13 0352","01/12/13 0352","Gray Avenue and Lincoln Way","Arrest","drug violation",-93.6420308,42.0226885
"13-000032","01/12/13 0938",NA,NA,"Schilletter Village","Open","harassment",-93.6419526,42.0440492
"13-000034","01/12/13 1736",NA,NA,"1600 block of Amherst Drive","Open","vandalism",-93.6606461,42.0370606
"13-000035","01/13/13 0000","01/13/13 0000","01/13/13 0000","Lincoln Way and South Riverside Drive","Arrest","operating while intoxicated",-93.6296177,42.0228334
"13-000036","01/13/13 0123","01/13/13 0123","01/13/13 0123","Pammel Drive and Winlock Road","Arrest","liquor law violation",-93.6459659,42.0305128
"13-000038","01/13/13 0202","01/13/13 0202","01/13/13 0202","Larch Hall","Arrest","liquor law violation",-93.6382868,42.0232779
"13-000039","01/13/13 0243","01/13/13 0243","01/13/13 0243","Hayward Avenue and Lincoln Way","Arrest","liquor law violation",-93.6517059,42.0228461
"13-000042","01/13/13 2154","01/13/13 2154","01/13/13 2154","Birch Hall","Arrest","drug violation",-93.6417417,42.0237087
"13-000042","01/13/13 2154","01/13/13 2154","01/13/13 2154","Birch Hall","Arrest","liquor law violation",-93.6417417,42.0237087
"13-000045","01/15/13 0124","01/15/13 0124","01/15/13 0124","Ash Avenue and Storm Street","Arrest","driving under suspension",-93.6443375,42.0161236
"13-000046","01/15/13 0213","01/15/13 0213","01/15/13 0213","Hyland Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6555907,42.0227264
"13-000047","01/15/13 1057",NA,NA,"Science II","Open","theft",-93.6463454,42.0300878
"13-000049","01/15/13 1644",NA,NA,"Parks Library","Open","theft",-93.6488141,42.0281254
"13-000050","01/15/13 2212",NA,NA,"Black Engineering","Open","theft",-93.6513617,42.0260459
"13-000051","01/16/13 0157","01/16/13 0157","01/16/13 0157","100 block of Welch Avenue","Arrest","public intoxication",-93.6501392,42.02272
"13-000052","01/16/13 0853",NA,NA,"Lot 61C","Open","vandalism",-93.6493851,42.0152891
"13-000055","01/16/13 1534",NA,NA,"Friley Hall","Open","harassment",-93.65045,42.0239234
"13-000056","01/16/13 2045",NA,NA,"2500 block of Osborn Drive","Open","vandalism",-93.6509615,42.0288842
"13-000057","01/17/13 0124","01/17/13 0124","01/17/13 0124","Hayward Avenue and Mortensen Parkway","Arrest","operating while intoxicated",-93.6516786,42.0118612
"13-000058","01/17/13 0147","01/17/13 0147","01/17/13 0147","Chamberlain Place and Hunt Street","Arrest","public intoxication",-93.6509256,42.0202731
"13-000059","01/17/13 1705",NA,NA,"1600 block of Amherst Drive","Open","vandalism",-93.6606461,42.0370606
"13-000060","01/18/13 0004","01/18/13 0004","01/18/13 0004","100 block of Welch Avenue","Arrest","public intoxication",-93.6501392,42.02272
"13-000061","01/18/13 0146","01/18/13 0146","01/18/13 0146","100 block of South Sheldon Avenue","Arrest","public intoxication",-93.6542392,42.0227216
"13-000062","01/18/13 0158","01/18/13 0158","01/18/13 0158","4300 block of Maricopa Drive","Arrest","trespass",-93.6740169,42.0085699
"13-000062","01/18/13 0158","01/18/13 0158","01/18/13 0158","4300 block of Maricopa Drive","Arrest","public intoxication",-93.6740169,42.0085699
"13-000064","01/18/13 0237","01/18/13 0237","01/18/13 0237","Hayward Avenue and Storm Street","Arrest","operating while intoxicated",-93.6516926,42.0161435
"13-000065","01/18/13 0328","01/18/13 0328","10/18/13 0328","Lincoln Way and South Wilmoth Avenue","Arrest","operating while intoxicated",-93.6615998,42.0227611
"13-000067","01/18/13 1517",NA,NA,"Armory Building","Open","harassment",-93.6509474,42.029626
"13-000068","01/18/13 1941","01/18/13 1941","01/18/13 1941","Pammel Drive and Stange Road","Arrest","driving under suspension",-93.6446613,42.030518
"13-000069","01/18/13 2030",NA,NA,"Frederiksen Court","Open","theft",-93.6440878,42.0340306
"13-000070","01/18/13 2249","01/18/13 2249","01/18/13 2249","Knapp Street and Stanton Avenue","Arrest","public intoxication",-93.6485073,42.0191298
"13-000071","01/19/13 0007","01/19/13 0007","01/19/13 0007","Lincoln Way and Union Drive","Arrest","liquor law violation",-93.64278,42.0226914
"13-000072","01/19/13 0015","01/19/13 0015","01/19/13 0015","Beach Avenue and Sunset Drive","Arrest","liquor law violation",-93.6394759,42.0214033
"13-000073","01/19/13 0027","01/19/13 0027","01/19/13 0027","200 block of Stanton Avenue","Arrest","liquor law violation",-93.648229,42.021222
"13-000074","01/19/13 0046","01/19/13 0046","01/19/13 0046","Gable Lane and Gray Avenue","Arrest","liquor law violation",-93.6420176,42.0214957
"13-000075","01/19/13 0055","01/19/13 0055","01/19/13 0055","Ash Avenue and Knapp Street","Arrest","public intoxication",-93.6443655,42.019142
"13-000076","01/19/13 0122","01/19/13 0122","01/19/13 0122","Bruner Drive and Long Road","Arrest","driving under suspension",-93.6434976,42.0390504
"13-000077","01/19/13 0242","01/19/13 0242","01/19/13 0242","Howard Avenue and Lincoln Way","Arrest","drug violation",-93.6584515,42.0227284
"13-000078","01/19/13 0254","01/19/13 0254","01/19/13 0254","Franklin Avenue and Lincoln Way","Arrest","public intoxication",-93.6647899,42.0228024
"13-000078","01/19/13 0254","01/19/13 0254","01/19/13 0254","Franklin Avenue and Lincoln Way","Arrest","liquor law violation",-93.6647899,42.0228024
"13-000079","01/19/13 0435","01/19/13 0435","01/19/13 0435","Willow Hall","Arrest","public intoxication",-93.6377325,42.0239136
"13-000080","01/19/13 1113",NA,NA,"Frederiksen Court","Open","vandalism",-93.6440878,42.0340306
"13-000081","01/19/13 1412",NA,NA,"Parks Library","Open","theft",-93.6488141,42.0281254
"13-000082","01/19/13 1855",NA,NA,"State Gym","Open","theft",-93.6536049,42.0250759
"13-000083","01/19/13 2108","01/19/13 2108","01/19/13 2108","200 block of Welch Road","Arrest","liquor law violation",-93.6501941,42.0214439
"13-000084","01/19/13 2246","01/19/13 2246","01/19/13 2246","Maple Hall","Arrest","liquor law violation",-93.6387491,42.023654
"13-000085","01/19/13 2348","01/19/13 2348","01/19/13 2348","2900 block of Wood Street","Arrest","liquor law violation",-93.6571486,42.0219425
"13-000086","01/20/13 0020","01/20/13 0020","01/20/13 0020","2100 block of Lincoln Way","Arrest","liquor law violation",-93.6398183,42.0223729
"13-000086","01/20/13 0020","01/20/13 0020","01/20/13 0020","2100 block of Lincoln Way","Arrest","interference",-93.6398183,42.0223729
"13-000087","01/20/13 0034","01/20/13 0034","01/20/13 0034","2500 block of Lincoln Way","Arrest","public intoxication",-93.6506776,42.0223672
"13-000088","01/20/13 0036","01/20/13 0036","01/20/13 0036","Lot 112D","Arrest","operating while intoxicated",-93.6405435,42.032131
"13-000091","01/20/13 0152","01/20/13 0152","01/20/13 0152","2200 block of Lincoln Way","Arrest","public intoxication",-93.644527,42.0226921
"13-000092","01/20/13 0215","01/20/13 0215","01/20/13 0215","Chamberlain Place and Hunt Street","Arrest","liquor law violation",-93.6509256,42.0202731
