"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"13-000093","01/20/13 0218","01/20/13 0218","01/20/13 0218","100 block of Welch Avenue","Arrest","public intoxication",-93.6501392,42.02272
"13-000093","01/20/13 0218","01/20/13 0218","01/20/13 0218","100 block of Welch Avenue","Arrest","interference",-93.6501392,42.02272
"13-000093","01/20/13 0218","01/20/13 0218","01/20/13 0218","100 block of Welch Avenue","Arrest","disorderly conduct",-93.6501392,42.02272
"13-000094","01/20/13 0313","01/20/13 0313","01/20/13 0313","Hayward Avenue and Mortensen Road","Arrest","operating while intoxicated",-93.6516786,42.0118612
"13-000096","01/20/13 0357","01/20/13 0357","01/20/13 1257","Buchanan Hall","Arrest","theft",-93.642449,42.022653
"13-000098","01/20/13 1257","01/20/13 1257","01/20/13 1257","Buchanan Hall","Arrest","theft",-93.642449,42.022653
"13-000098","01/20/13 1257","01/20/13 1257","01/20/13 1257","Buchanan Hall","Arrest","theft",-93.642449,42.022653
"13-000099","01/20/13 2344","01/20/13 2344","01/20/13 2344","Wilson Hall","Arrest","liquor law violation",-93.651021,42.0139143
"13-000100","01/21/13 0209","01/21/13 0209","01/21/13 0209","Chamberlain Place and Chamberlain Street","Arrest","operating while intoxicated",-93.650953,42.0214521
"13-000100","01/21/13 0209","01/21/13 0209","01/21/13 0209","Chamberlain Place and Chamberlain Street","Arrest","liquor law violation",-93.650953,42.0214521
"13-000102","01/22/13 1940",NA,NA,"Parks Library","Open","theft",-93.6488141,42.0281254
"13-000103","01/22/13 2115","01/22/13 2115","01/22/13 2115","Lincoln Way and South Riverside Drive","Arrest","drug violation",-93.6296177,42.0228334
"13-000105","01/22/13 2353","01/22/13 2353","01/22/13 2353","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"13-000105","01/22/13 2353","01/22/13 2353","01/22/13 2353","Friley Hall","Arrest","liquor law violation",-93.65045,42.0239234
"13-000107","01/23/13 2346","01/23/13 2346","01/23/13 2346","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"13-000107","01/23/13 2346","01/23/13 2346","01/23/13 2346","Larch Hall","Arrest","liquor law violation",-93.6382868,42.0232779
"13-000107","01/23/13 2346","01/23/13 2346","01/23/13 2346","Larch Hall","Arrest","unlawful use of a license",-93.6382868,42.0232779
"13-000108","01/24/13 0942",NA,NA,"Beyer Hall","Open","vandalism",-93.6529169,42.0259395
"13-000109","01/24/13 1618","01/24/13 1618","01/24/13 1618","Linden Hall","Arrest","drug violation",-93.6403252,42.0231404
"13-000110","01/24/13 1819",NA,NA,"Parks Library","Open","theft",-93.6488141,42.0281254
"13-000111","01/24/13 1916","01/24/13 1916","01/24/13 1916","Eaton Hall","Arrest","drug violation",-93.6528168,42.0245839
"13-000112","01/24/13 2145",NA,NA,"Lot 114","Open","vandalism",-93.642107,42.0361627
"13-000114","01/25/13 0103","01/25/13 0103","01/25/13 0103","Knapp Street and Lynn Avenue","Arrest","operating while intoxicated",-93.6463784,42.019148
"13-000115","01/25/13 0947",NA,NA,"Lied Recreation Center","Open","theft",-93.6372142,42.0267276
"13-000116","01/25/13 1103",NA,NA,"Parks Library","Open","harassment",-93.6488141,42.0281254
"13-000120","01/25/13 2238","01/25/13 2238","01/25/13 2238","Lincoln Way and Union Drive","Arrest","public intoxication",-93.64278,42.0226914
"13-000120","01/25/13 2238","01/25/13 2238","01/25/13 2238","Lincoln Way and Union Drive","Arrest","liquor law violation",-93.64278,42.0226914
"13-000121","01/26/13 0213","01/26/13 0213","01/26/13 0213","Roberts Hall","Arrest","drug violation",-93.6425636,42.0239302
"13-000121","01/26/13 0213","01/26/13 0213","01/26/13 0213","Roberts Hall","Arrest","liquor law violation",-93.6425636,42.0239302
"13-000121","01/26/13 0213","01/26/13 0213","01/26/13 0213","Roberts Hall","Arrest","unlawful use of a license",-93.6425636,42.0239302
"13-000122","01/26/13 0250","01/26/13 0250","01/31/13 1841","Welch Hall","Arrest","drug violation",-93.6420811,42.0236532
"13-000123","01/26/13 1248","01/26/13 1248","01/26/13 1248","Hilton Coliseum","Arrest","public intoxication",-93.635074,42.022693
"13-000123","01/26/13 1248","01/26/13 1248","01/26/13 1248","Hilton Coliseum","Arrest","interference",-93.635074,42.022693
"13-000124","01/26/13 2214","01/26/13 2214","01/26/13 2214","Lot 63","Arrest","liquor law violation",-93.6367573,42.0239698
"13-000125","01/27/13 0029","01/27/13 0029","01/27/13 0029","Knapp Street and Welch Avenue","Arrest","liquor law violation",-93.6500882,42.0191138
"13-000128","01/27/13 0118","01/27/13 0118","01/27/13 0118","Lincoln Way and Sheldon Avenue","Arrest","public intoxication",-93.6542392,42.0227224
"13-000128","01/27/13 0118","01/27/13 0118","01/27/13 0118","Lincoln Way and Sheldon Avenue","Arrest","disorderly conduct",-93.6542392,42.0227224
"13-000129","01/27/13 0123","01/27/13 0123","01/27/13 0123","Storm Street and Welch Avenue","Arrest","operating while intoxicated",-93.6500563,42.0161339
"13-000130","01/27/13 0256","01/27/13 0256","01/27/13 0256","Highway 30 and South Dakota Avenue","Arrest","operating while intoxicated",-93.6387198,42.0030346
"13-000130","01/27/13 0256","01/27/13 0256","01/27/13 0256","Highway 30 and South Dakota Avenue","Arrest","drug violation",-93.6387198,42.0030346
"13-000138","01/29/13 0915",NA,NA,"Ames Intermodal Facility","Open","vandalism",-93.6523433,42.0210166
"13-000140","01/29/13 1858","01/29/13 1858","01/29/13 1858","Beach Avenue and Sunset Drive","Arrest","driving violation",-93.6394759,42.0214033
"13-000141","01/29/13 2211",NA,NA,"Parks Library","Open","theft",-93.6488141,42.0281254
"13-000147","01/30/13 2131",NA,NA,"Martin Hall","Open","harassment",-93.6529424,42.0238665
"13-000148","01/31/13 0211","01/31/13 0211","02/02/13 0720","Welch Road","Closed","hit and run",-93.6498227,42.0234611
"13-000149","01/31/13 0835",NA,NA,"Armory Building","Open","harassment",-93.6509474,42.029626
"13-000155","02/01/13 0330","02/01/13 0330","02/01/13 0330","Union Drive and Welch Road","Arrest","public intoxication",-93.649224,42.0239964
"13-000157","02/01/13 1959",NA,NA,"Wilson Hall","Open","vandalism",-93.651021,42.0139143
"13-000158","02/01/13 2226","02/01/13 2226","02/01/13 2226","Larch Hall","Arrest","liquor law violation",-93.6382868,42.0232779
"13-000159","02/01/13 2245","02/01/13 2245","02/01/13 2245","Larch Hall","Arrest","public intoxication",-93.6382868,42.0232779
"13-000159","02/01/13 2245","02/01/13 2245","02/01/13 2245","Larch Hall","Arrest","drug violation",-93.6382868,42.0232779
"13-000159","02/01/13 2245","02/01/13 2245","02/01/13 2245","Larch Hall","Arrest","liquor law violation",-93.6382868,42.0232779
"13-000159","02/01/13 2245","02/01/13 2245","02/01/13 2245","Larch Hall","Arrest","interference",-93.6382868,42.0232779
"13-000162","02/02/13 0059","02/02/13 0059","02/02/13 0059","Lincoln Way and Lynn Avenue","Arrest","liquor law violation",-93.6464086,42.0227244
"13-000163","02/02/13 0107","02/02/13 0107","02/02/13 0107","100 block of Stanton Avenue","Arrest","public intoxication",-93.6485138,42.0227307
"13-000164","02/02/13 0133","02/02/13 0133","02/02/13 0133","Larch Hall","Arrest","public intoxication",-93.6382868,42.0232779
"13-000165","02/02/13 0201","02/02/13 0201","02/02/13 0201","Knapp Street and Stanton Avenue","Arrest","liquor law violation",-93.6485073,42.0191298
"13-000166","02/02/13 0221",NA,NA,"Knapp Street and Stanton Avenue","Open","vandalism",-93.6485073,42.0191298
"13-000167","02/02/13 0258","02/02/13 0258","02/02/13 0258","Storm Street and Welch Avenue","Arrest","operating while intoxicated",-93.6500563,42.0161339
"13-000168","02/02/13 0309","02/02/13 0309","02/02/13 0309","Beach Road and Lincoln Way","Arrest","public intoxication",-93.6394928,42.0227678
"13-000168","02/02/13 0309","02/02/13 0309","02/02/13 0309","Beach Road and Lincoln Way","Arrest","interference",-93.6394928,42.0227678
"13-000170","02/02/13 1429",NA,NA,"Armory Building","Open","theft",-93.6509474,42.029626
"13-000171","02/02/13 1707","02/02/13 1707","02/02/13 1707","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"13-000173","02/02/13 2154","02/02/13 2154","02/02/13 2154","Welch Hall","Arrest","drug violation",-93.6420811,42.0236532
"13-000174","02/02/13 2320","02/02/13 2320",NA,"University Village","Open","disorderly conduct",-93.6441672,42.0427435
"13-000175","02/03/13 0003","02/03/13 0003","02/03/13 0003","500 block of Stanton Avenue","Arrest","public intoxication",-93.6484827,42.0179205
"13-000175","02/03/13 0003","02/03/13 0003","02/03/13 0003","500 block of Stanton Avenue","Arrest","interference",-93.6484827,42.0179205
"13-000177","02/03/13 0133","02/03/13 0133","02/03/13 0133","Lot 63","Arrest","operating while intoxicated",-93.6367573,42.0239698
"13-000177","02/03/13 0133","02/03/13 0133","02/03/13 0133","Lot 63","Arrest","drug violation",-93.6367573,42.0239698
"13-000177","02/03/13 0133","02/03/13 0133","02/03/13 0133","Lot 63","Arrest","weapon violation",-93.6367573,42.0239698
"13-000178","02/03/13 0221","02/03/13 0221","02/03/13 0221","Chamberlain Street and Stanton Avenue","Arrest","public intoxication",-93.6484903,42.0214258
"13-000178","02/03/13 0221","02/03/13 0221","02/03/13 0221","Chamberlain Street and Stanton Avenue","Arrest","unlawful use of a license",-93.6484903,42.0214258
"13-000179","02/03/13 0306","02/03/13 0306","02/03/13 0306","Campus Avenue and Lincoln Way","Arrest","public intoxication",-93.6570426,42.0227269
"13-000180","02/03/13 0426","02/03/13 0426","02/03/13 0426","Friley Hall","Arrest","trespass",-93.65045,42.0239234
"13-000181","02/03/13 1542",NA,NA,"Lot 37","Open","hit and run",-93.6459656,42.029835
"13-000182","02/03/13 1657",NA,NA,"Lot C1","Open","hit and run",-93.6349461,42.0220732
"13-000183","02/03/13 1714","02/03/13 1714","02/03/13 1714","Beach Road and Wallace Road","Arrest","driving under suspension",-93.6479915,42.0083895
"13-000184","02/03/13 2106","02/03/13 2106","02/03/13 2106","13th Street and Stange Road","Arrest","driving under suspension",-93.620521,42.034189
"13-000185","02/03/13 2248","02/03/13 2248","02/03/13 2248","Mortensen Parkway and Welch Road","Arrest","drug violation",-93.649344,42.0118567
"13-000185","02/03/13 2248","02/03/13 2248","02/03/13 2248","Mortensen Parkway and Welch Road","Arrest","driving violation",-93.649344,42.0118567
"13-000188","02/04/13 0844",NA,NA,"Lot 93","Open","hit and run",-93.6346687,42.0080731
"13-000190","02/05/13 1207",NA,NA,"Eaton Hall","Open","theft",-93.6528168,42.0245839
"13-000191","02/05/13 1317",NA,NA,"Bergstrom Facility","Open","theft",NA,NA
"13-000192","02/06/13 1135",NA,NA,"Lot 201P","Open","theft",NA,NA
"13-000193","02/06/13 1637",NA,NA,"Gilman Hall","Open","theft",-93.6486442,42.0294215
"13-000195","02/06/13 2216",NA,"02/12/13 1618","Forker Building","Unfounded","theft",-93.6403143,42.0268097
"13-000196","02/07/13 0817",NA,NA,"MacKay Hall","Open","vandalism",-93.6465403,42.0285999
"13-000198","02/07/13 1024",NA,NA,"Lot 100","Open","hit and run",-93.6377706,42.0258047
"13-000199","02/07/13 1351",NA,NA,"Lot 57","Open","vandalism",-93.6384375,42.0267915
"13-000200","02/07/13 2149","02/07/13 2149","02/07/13 2149","Memorial Union","Arrest","public intoxication",-93.6459454,42.0236502
"13-000201","02/08/13 0014","02/08/13 0014","02/08/13 0014","Knapp Street and Stanton Avenue","Arrest","operating while intoxicated",-93.6485073,42.0191298
"13-000202","02/08/13 0138","02/08/13 0138","02/08/13 0138","Hyland Avenue and Lincoln Way","Arrest","operating while intoxicated",-93.6555907,42.0227264
"13-000203","02/08/13 2250","02/08/13 2250","02/08/13 2250","300 block of Stanton Avenue","Arrest","liquor law violation",-93.6481458,42.0202997
"13-000204","02/08/13 2355","02/08/13 2355","02/11/13 0950","Parks Library","Closed","theft",-93.6488141,42.0281254
"13-000206","02/09/13 0056","02/09/13 0056","02/09/13 0056","Knapp Street and Welch Avenue","Arrest","liquor law violation",-93.6500882,42.0191138
"13-000207","02/09/13 0103","02/09/13 0103","02/09/13 0103","Lincoln Way and Sheldon Avenue","Arrest","liquor law violation",-93.6542392,42.0227224
"13-000208","02/09/13 0108","02/09/13 0108","02/09/13 0108","100 block of Gray Avenue","Arrest","liquor law violation",-93.6420308,42.022688
"13-000208","02/09/13 0108","02/09/13 0108","02/09/13 0108","100 block of Gray Avenue","Arrest","unlawful use of a license",-93.6420308,42.022688
"13-000209","02/09/13 0212","02/09/13 0212","02/09/13 0212","Hayward Avenue and Mortensen Parkway","Arrest","operating while intoxicated",-93.6516786,42.0118612
"13-000210","02/09/13 0240","02/09/13 0240","02/09/13 0240","13th Street and Stange Road","Arrest","public intoxication",-93.620521,42.034189
"13-000212","02/09/13 2240","02/09/13 2240","02/09/13 2240","Gable Lane and Gray Avenue","Arrest","liquor law violation",-93.6420176,42.0214957
"13-000213","02/09/13 2247","02/09/13 2247","02/09/13 2247","Hayward Avenue and Knapp Street","Arrest","liquor law violation",-93.6517339,42.0191154
"13-000214","02/10/13 0017","02/10/13 0017","02/10/13 0017","Lincoln Way and Welch Avenue","Arrest","operating while intoxicated",-93.6501393,42.0227328
"13-000214","02/10/13 0017","02/10/13 0017","02/10/13 0017","Lincoln Way and Welch Avenue","Arrest","drug violation",-93.6501393,42.0227328
"13-000214","02/10/13 0017","02/10/13 0017","02/10/13 0017","Lincoln Way and Welch Avenue","Arrest","driving while revoked",-93.6501393,42.0227328
"13-000216","02/10/13 0122","02/10/13 0122","02/10/13 0122","Mortensen Road and State Avenue","Arrest","operating while intoxicated",-93.6589323,42.0118849
"13-000218","02/10/13 0219","02/10/13 0219","02/10/13 0219","Friley Hall","Arrest","drug violation",-93.65045,42.0239234
"13-000218","02/10/13 0219","02/10/13 0219","02/10/13 0219","Friley Hall","Arrest","liquor law violation",-93.65045,42.0239234
"13-000218","02/10/13 0219","02/10/13 0219","02/10/13 0219","Friley Hall","Arrest","unlawful use of a license",-93.65045,42.0239234
"13-000217","02/10/13 0220","02/10/13 0220","02/10/13 0220","100 block of Stanton Avenue","Arrest","public intoxication",-93.6485138,42.0227307
"13-000217","02/10/13 0220","02/10/13 0220","02/10/13 0220","100 block of Stanton Avenue","Arrest","liquor law violation",-93.6485138,42.0227307
"13-000217","02/10/13 0220","02/10/13 0220","02/10/13 0220","100 block of Stanton Avenue","Arrest","interference",-93.6485138,42.0227307
"13-000221","02/11/13 1519","02/11/13 1519","02/18/13 1627","Lot 45","Arrest","harassment",-93.6421649,42.0278571
"13-000222","02/11/13 1910",NA,NA,"Lot 14A","Open","hit and run",NA,NA
"13-000223","02/11/13 1918",NA,NA,"Parks Library","Open","theft",-93.6488141,42.0281254
"13-000224","02/11/13 2253","02/11/13 2253","02/11/13 2253","BRL","Arrest","trespass",-93.6519015,42.0274615
"13-000226","02/13/13 1654",NA,NA,"Parks Library","Open","theft",-93.6488141,42.0281254
"13-000228","02/13/13 2025",NA,NA,"Horticulture Station","Open","domestic dispute",NA,NA
"13-000229","02/13/13 2132",NA,NA,"Forker Building","Open","theft",-93.6403143,42.0268097
"13-000230","02/14/13 0814","02/14/13 0814","02/14/13 0814","Armory Building","Arrest","drug violation",-93.6509474,42.029626
"13-000231","02/14/13 1102",NA,NA,"Lot 31","Open","hit and run",-93.6468396,42.0322781
"13-000232","02/14/13 1733",NA,NA,"Schilletter Village","Open","domestic dispute",-93.6419526,42.0440492
"13-000233","02/14/13 2348",NA,NA,"Buchanan Hall","Open","harassment",-93.642449,42.022653
"13-000234","02/15/13 1544",NA,NA,"East Campus Parking Deck","Open","hit and run",-93.6523433,42.0210166
"13-000235","02/15/13 1621",NA,NA,"Wilson Hall","Open","theft",-93.651021,42.0139143
"13-000236","02/15/13 1721","02/15/13 1721","02/23/13 2014","Linden Hall","Arrest","drug violation",-93.6403252,42.0231404
"13-000236","02/15/13 1721","02/15/13 1721","02/15/13 1721","Linden Hall","Arrest","liquor law violation",-93.6403252,42.0231404
"13-000237","02/15/13 2223","02/15/13 2223","02/15/13 2223","Lincoln Way and Union Drive","Arrest","public intoxication",-93.64278,42.0226914
"13-000238","02/15/13 2332","02/15/13 2332","02/15/13 2332","Larch Hall","Arrest","liquor law violation",-93.6382868,42.0232779
"13-000240","02/16/13 0028","02/16/13 0028","02/16/13 0028","2700 block of Lincoln Way","Arrest","public intoxication",-93.6545215,42.022377
"13-000240","02/16/13 0028","02/16/13 0028","02/16/13 0028","2700 block of Lincoln Way","Arrest","unlawful use of a license",-93.6545215,42.022377
"13-000242","02/16/13 0104","02/16/13 0104","02/16/13 0104","Chamberlain Street and Welch Avenue","Arrest","operating while intoxicated",-93.6501941,42.0214439
"13-000244","02/16/13 0145","02/16/13 0145","02/16/13 0145","300 block of Stanton Avenue","Arrest","operating while intoxicated",-93.6481458,42.0202997
"13-000244","02/16/13 0145","02/16/13 0145","02/16/13 0145","300 block of Stanton Avenue","Arrest","driving under suspension",-93.6481458,42.0202997
"13-000246","02/16/13 1701",NA,NA,"Parks Library","Open","theft",-93.6488141,42.0281254
"13-000247","02/16/13 1934","02/16/13 1934","02/16/13 1934","Hayward Avenue and Lincoln Way","Arrest","driving under suspension",-93.6517059,42.0228461
