"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"12-000003","01/01/12 0035","01/01/12 0035","01/01/12 0035","Chamberlain Street and Welch Avenue","Arrest","liquor law violation",-93.6501941,42.0214439
"12-000009","01/01/12 0146","01/01/12 0146","01/01/12 0146","Lincoln Way and University Boulevard","Arrest","operating while intoxicated",-93.6332661,42.0228746
"12-000017","01/01/12 0326","01/01/12 0326","01/01/12 0326","Franklin Avenue and Lincoln Way","Arrest","public intoxication",-93.6647899,42.0228024
"12-000024","01/01/12 1400",NA,NA,"Schilletter Village","Open","theft",-93.6419526,42.0440492
"12-000107","01/05/12 1058","01/05/12 1058","01/05/12 1058","Memorial Union","Arrest","public intoxication",-93.6459454,42.0236502
"12-000120","01/05/12 2256","01/05/12 2256","01/05/12 2256","Linden Hall","Arrest","drug violation",-93.6403252,42.0231404
"12-000124","01/06/12 0207","01/06/12 0207","01/06/12 0207","State Gym","Arrest","public intoxication",-93.6536049,42.0250759
"12-000124","01/06/12 0207","01/06/12 0207","01/06/12 0207","State Gym","Arrest","liquor law violation",-93.6536049,42.0250759
"12-000124","01/06/12 0207","01/06/12 0207","01/06/12 0207","State Gym","Arrest","unlawful use of license",-93.6536049,42.0250759
"12-000126","01/06/12 0243","01/06/12 0243","01/06/12 0243","2700 block of Lincoln Way","Arrest","public intoxication",-93.6545215,42.022377
"12-000130","01/06/12 1219",NA,NA,"Lied Recreation Center","Open","theft",-93.6372142,42.0267276
"12-000131","01/06/12 1232","01/06/12 1232","01/06/12 1232","800 block of East Lincoln Way","Arrest","agency assist",NA,NA
"12-000138","01/07/12 0106","01/07/12 0106","01/07/12 0106","Campus Avenue and West Street","Arrest","public intoxication",-93.6570365,42.0253277
"12-000139","01/07/12 0133","01/07/12 0133","01/07/12 0133","200 block of Stanton Avenue","Arrest","public intoxication",-93.648229,42.021222
"12-000169","01/08/12 0047","01/08/12 0047","01/08/12 0047","Friley Hall","Arrest","public intoxication",-93.65045,42.0239234
"12-000170","01/08/12 0056","01/08/12 0056","01/08/12 0056","Lincoln Way and Welch Avenue","Arrest","public intoxication",-93.6501393,42.0227328
"12-000173","01/08/12 0159","01/08/12 0159","01/08/12 0159","Ash Avenue and Lincoln Way","Arrest","agency assist",-93.64441,42.0226961
"12-000174","01/08/12 0210","01/08/12 0210","01/08/12 0210","Lincoln Way and Stanton Avenue","Arrest","operating while intoxicated",-93.6485139,42.0227359
"12-000175","01/08/12 0302","01/08/12 0302","01/08/12 0302","Hayward Avenue and Storm Street","Arrest","operating while intoxicated",-93.6516926,42.0161435
"12-000185","01/08/12 1809","01/08/12 1809","01/08/12 1809","Helser Hall","Arrest","drug violation",-93.6518379,42.02424
"12-000195","01/08/12 2306","01/08/12 2306","01/08/12 2306","Eaton Hall","Arrest","drug violation",-93.6528168,42.0245839
"12-000202","01/09/12 0912","01/09/12 0912","01/09/12 0912","Bissell Road and Pammel Drive","Closed","intrastate warrant service",-93.6518944,42.030401
"12-000239","01/09/12 2326","01/09/12 2326","01/09/12 2326","Freeman Hall","Closed","intrastate warrant service",-93.6416614,42.0247633
