"General.Location","n","longitude","latitude"
"Lot S2",3,-93.6369797,42.0121464
"LOT S7",3,-93.6331516,42.0140523
"Lynn Avenue and Storm Street",3,-93.6463569,42.0161187
"Mackay Hall",3,-93.6465403,42.0285999
"Mortensen Parkway and Gateway Hills Park Drive",3,-93.649478,42.011749
"Mortensen Parkway and State Avenue",3,-93.6589323,42.0118849
"North Dakota Avenue and Timber Ridge Drive",3,-93.6788234,42.0273617
"Oak-Elm Hall",3,-93.6403311,42.0251392
"Online",3,-93.5865453,42.0347453
"Science I",3,-93.6464654,42.0266187
"Snedecor Hall",3,-93.6497211,42.0285232
"South 16th Street and South Grand Avenue",3,-93.620034,42.0083874
"South 4th Street and Hazel Avenue",3,-93.62704,42.019284
"South Hyland Avenue and Wood Street",3,-93.655592,42.0221438
"Steinbeck Street and South Dakota Avenue",3,-93.6786731,42.0145902
"Sunflower Drive and Tripp Street",3,-93.6676173,42.020146
"Sunset Drive and Gray Avenue",3,-93.6411862,42.0212956
"Union Drive",3,-93.6486019,42.0240726
"University Boulevard",3,-93.6378282,42.0101519
"Welch Road",3,-93.6498227,42.0234611
"WILSON HALL",3,-93.651021,42.0139143
"100 block of Beach Avenue",2,-93.639494,42.0226543
"100 block of Dotson Drive",2,-93.6713958,42.0229273
"100 block of Gray Avenue",2,-93.6420308,42.022688
"100 block of North Hyland Avenue",2,-93.6555909,42.0227364
"100 block of South Franklin Avenue",2,-93.6647898,42.0228016
"100 block of South Hyland Avenue",2,-93.6555855,42.0226467
"100 block of Union Drive",2,-93.6491309,42.0251323
"1000 block of Univerity Boulevard",2,-93.6428582,42.030507
"1000 block of University Boulevard",2,-93.6428582,42.030507
"1102 Haber Road",2,-93.6382242,42.0321544
"1200 block of Delaware Avenue",2,-93.6798721,42.0333857
"122 University Village",2,-93.6410593,42.0400299
"122 UNIVERSITY VILLAGE",2,-93.6410593,42.0400299
"124 Hyland Avenue",2,-93.6552541,42.0236095
"13 Frederiksen Court",2,-93.6437419,42.0342669
"1332 Walton Drive",2,-93.6698899,42.0100635
"136 University Village",2,-93.6425534,42.0405134
"13th Street and Haber Road",2,-93.578887,42.035042
"1600 block of Amherst Drive",2,-93.6606461,42.0370606
"173 University Village",2,-93.6437037,42.0422097
"20 SCHILLETTER VILLAGE",2,-93.6411672,42.043287
"200 block of Lynn Avenue",2,-93.6458095,42.0207988
"200 block of Sunset Drive",2,-93.6419602,42.0208075
"200 block Stanton Avenue",2,-93.648229,42.021222
"200 Stanton Avenue",2,-93.648229,42.021222
"2000 block of Hawthorn Court Drive",2,-93.6433386,42.0338766
"204 Welch Avenue",2,-93.6497013,42.0213099
"210 Beach Road",2,-93.6367006,42.0246261
"2100 block of 13th Street",2,-93.5852635,42.0339055
"2100 block of Gable Lane",2,-93.6436014,42.0215071
"2100 block of Hawthorn Court Drive",2,-93.6433386,42.0338766
"2100 block of Ironwood Court",2,-93.6394836,42.0058423
"211 Lynn Avenue",2,-93.6467598,42.0211551
"2120 Union Drive",2,-93.6496968,42.024591
"2122 Lincoln Way",2,-93.6412957,42.02241
"215 Beach Road",2,-93.6397485,42.0240296
"224 Beach Road",2,-93.6382529,42.0238084
"23 Frederiksen Court",2,-93.643363,42.0332305
"2300 block of Chamberlain Street",2,-93.6470618,42.0215537
"2311 Chamberlain Street",2,-93.6475113,42.0216919
"2320 Chamberlain Street",2,-93.647491,42.02126
"2327 Knapp Street",2,-93.648047,42.0193175
"2389 13th Street",2,-93.5818823,42.0345129
"2400 block of Knapp Street",2,-93.6485073,42.0191298
"2403 Union Drive",2,-93.6496968,42.024591
"2500 block of Union Drive",2,-93.6517676,42.0253623
"2519 Hunt Street",2,-93.6512741,42.020471
"2636 Lincoln Way",2,-93.65345,42.022488
"2650 Lincoln Way",2,-93.6538878,42.0225517
"2800 block of West Street",2,-93.6556596,42.0253444
"2900 block of West Street",2,-93.6572344,42.0251692
"300 block of Ash Avenue",2,-93.6443295,42.0201016
"300 block of South Sheldon Avenue",2,-93.653788,42.0207
"3100 block of Lincoln Way",2,-93.6591621,42.0225283
"311 Ash Avenue",2,-93.64478,42.0198268
"3200 block of Lettie Street",2,-93.6598732,42.0214922
"3400 block of University Boulevard",2,-93.636492,41.9911367
"3600 block of Lincoln Way",2,-93.667828,42.0215247
"3900 block of Maricopa Drive",2,-93.6689045,42.008411
"3900 block of Mortensen Road",2,-93.6699026,42.0117276
"3900 block of Tripp Street",2,-93.6702565,42.0198581
"3913 Quebec Street",2,-93.6722862,42.0334627
"3914 Maricopa Drive",2,-93.6698627,42.0084232
"3915 Mortensen Road",2,-93.6716726,42.0132915
"400 block of Oakland Street",2,-93.6614214,42.0282543
"4000 block of Maricopa Drive",2,-93.671001,42.008431
"41 Frederiksen Court",2,-93.6425217,42.0327606
"4110 Maricopa Drive",2,-93.6723134,42.0077193
"4120 Maricopa Drive",2,-93.672663,42.0082746
"4200 Maricopa Drive",2,-93.6732177,42.0082569
"43 FREDERIKSEN COURT",2,-93.6420226,42.032767
"4300 block of Lincoln Way",2,-93.6767801,42.0225089
"44 Schilletter Village",2,-93.6419526,42.0440492
"45 Schilletter Village",2,-93.6423067,42.0441042
"4500 block of Twain Circle",2,-93.679504,42.0153
"4717 Mortensen Road",2,-93.6836779,42.0131009
"48 Schilletter Village",2,-93.6430393,42.0440441
"4916 Hemingway Drive",2,-93.686189,42.018354
"500 block of Hayward Avenue",2,-93.6517122,42.0176011
"51 Frederiksen Court",2,-93.6393157,42.0345257
"52 Frederiksen Court",2,-93.6386904,42.0342268
"52000 block of 260th Street",2,-93.6488612,41.9787738
"527 E Lincoln Way",2,-93.6041911,42.0230566
"5th Street and Duff Avenue",2,-93.6102874,42.017406
"600 block of Hayward Avenue",2,-93.6516926,42.0161431
"61 Frederiksen Court",2,-93.641138,42.033255
"62 FREDERIKSEN COURT",2,-93.640536,42.0332645
"63 Frederiksen Court",2,-93.6408012,42.0327995
"800 block of Dickinson Avenue",2,-93.680804,42.0161777
"800 block of Hayward Avenue",2,-93.6504782,42.0153073
"800 block of Sandcastle Drive",2,-93.6218802,42.0054836
"81 Frederiksen Court",2,-93.6398497,42.0329143
"826 Dickinson Apartments",2,-93.6192443,42.0252573
"900 block of Hayward Avenue",2,-93.6504728,42.0148119
"960 Stange Road",2,-93.6446721,42.0308594
"Applied Sciences Complex 2",2,-93.6639856,42.0406195
"Ash Avenue and Donald Street",2,-93.6443323,42.0170141
"Baughman Road and Beedle Drive",2,-93.6732235,42.0212546
"Baughman Road and Dotson Drive",2,-93.6713776,42.0212303
"Beach Avenue and Country Club Boulevard",2,-93.63945,42.0191406
"Beedle Drive and Lincoln Swing",2,-93.6732501,42.0225312
"Beyer Court",2,-93.6509993,42.0242218
"Blankenburg Drive and Long Road",2,-93.6430148,42.0415349
"Bloomington Road and Stange Road",2,-93.6450045,42.0563647
"Campanile",2,-93.6460669,42.0254176
"Campus Avenue and Oakland Street",2,-93.6570339,42.0280999
"Campus Avenue and Sheldon Avenue",2,-93.6552803,42.027548
"CATT HALL",2,-93.6456974,42.0278902
"Clemens Boulevard and Hemingway Drive",2,-93.679556,42.0179341
"Coconino Road and Maricopa Drive",2,-93.6755935,42.0087739
"Communications Building",2,-93.650922,42.0310143
"Country Club Boulevard and Pearson Avenue",2,-93.6417492,42.0179131
"Cross Country Course",2,-93.6525215,42.0131474
"Curtiss Farm",2,-93.6606346,42.0025316
"CURTISS HALL",2,-93.6448628,42.0261821
"CY Stephens Auditorium",2,-93.6380161,42.0203208
"Cyride Drive and North University Boulevard",2,-93.6352705,42.0276359
"Donald Street and Lynn Avenue",2,-93.646367,42.0169978
"Dotson Avenue and Lincoln Way",2,-93.6713928,42.0228527
"Dotson Drive and Tripp Street",2,-93.6713604,42.0198722
"East Hall",2,-93.6433942,42.026014
"Edenburn Drive and Stange Road",2,-93.6448596,42.043784
"Franklin Avenue and Woodland Street",2,-93.6648189,42.0264447
"FREDERIKSEN COURT COMMUNITY CENTER",2,-93.6429145,42.0339213
"Greensboro Drive and Stange Road",2,-93.6448604,42.0438291
"Hazel Avenue and Lincoln Way",2,-93.6267992,42.022851
"Highway 30 and South Duff Avenue",2,-93.6387198,42.0030346
"Horticulture Hall",2,-93.644913,42.0279617
"Howard Avenue and Story Street",2,-93.6584712,42.0237243
"HYLAND AVE/WEST ST",2,-93.6556457,42.0253446
"Hyland avenue and Lincoln Way",2,-93.6555907,42.0227264
"JACK TRICE STADIUM",2,-93.635664,42.016144
"Jacobson Building",2,-93.6357926,42.0149718
"LARCH HALL",2,-93.6382868,42.0232779
"Lettie Street and South Wilmoth Avenue",2,-93.6615876,42.0215154
"Lettie Street and Wilmoth Avenue",2,-93.6615876,42.0215154
"LIED RECREATION CENTER",2,-93.6372142,42.0267276
"Lincoln Highway",2,-93.5706929,42.022816
"Lincoln Way",2,-93.6542392,42.0227224
"Lincoln Way and Maple Avenue",2,-93.6252228,42.0228657
"Lincoln Way and North University Boulevard",2,-93.6332661,42.0228746
"Lincoln Way and Oak Avenue",2,-93.6238118,42.0228778
"Lincoln Way and S. Maple Drive",2,-93.6252228,42.0228657
"Lincoln Way and south Dakota Avenue",2,-93.6787027,42.0229015
"Lincoln Way and Wilder Avenue",2,-93.6918302,42.0228356
"LINCOLN WAY/ASH AVE",2,-93.64441,42.0226961
"LINCOLN WAY/HYLAND AVE",2,-93.6555907,42.0227264
"LOT 1",2,-93.6540123,42.0236158
"LOT 100",2,-93.6377706,42.0258047
"Lot 110",2,-93.6393133,42.03113
"LOT 112K",2,NA,NA
"Lot 112L",2,NA,NA
"Lot 12",2,-93.6515025,42.0312528
"Lot 122",2,-93.6476302,42.0335177
"Lot 16",2,-93.6494314,42.0284019
"Lot 17",2,-93.6356358,42.0006688
"Lot 201B",2,-93.6429358,42.0421319
"Lot 202D",2,-93.641294,42.0447001
"Lot 202F",2,-93.643886,42.0445397
"Lot 202G",2,-93.6356358,42.0006688
"LOT 29",2,-93.6494938,42.032232
"Lot 31",2,-93.6468396,42.0322781
"Lot 43",2,-93.6451572,42.0284868
"Lot 47",2,-93.6405166,42.0280461
"Lot 49",2,-93.6441879,42.0259626
"Lot 50",2,-93.6420154,42.0237318
"Lot 56",2,-93.6384822,42.0249342
"Lot 59C",2,-93.651515,42.0236259
"LOT 61A",2,-93.6483506,42.0124764
"Lot 61F",2,-93.6513849,42.0147812
"Lot 65",2,-93.6493562,42.0247387
"Lot 73",2,-93.6466515,42.0240508
"Lot 8",2,-93.6511152,42.0264255
"Lot 80",2,-93.6387182,42.0231395
"Lot 82",2,-93.6396571,42.0250672
"LOT 85E",2,-93.6344334,42.0157296
"Lot 9",2,-93.6541773,42.0284555
"LOT S4",2,-93.6348588,42.0120423
"LYNN AVE/BAKER ST",2,-93.6463639,42.0179401
"Lynn Avenue and Knapp Street",2,-93.6463784,42.019148
"Maricopa Drive",2,-93.6723197,42.0084731
"Molecular Biology Building",2,-93.6496746,42.0311093
"Morrill Road and Osborn Drive",2,-93.6479567,42.0288782
"Mortensen Road and University Boulevard",2,-93.6392188,42.0083024
"Northridge Parkway and Stange Road",2,-93.6450969,42.0487875
"Not Available",2,NA,NA
"Nuclear Engineering Laboratory",2,-93.6515348,42.0274528
"Olsen Building",2,-93.6357926,42.0155901
"On Campus",2,-93.6481951,42.0212788
"Ontario Circle and Ontario Street",2,-93.6581104,42.0344585
"Plant Pathology Greenhouse",2,-93.6410549,42.0297036
"Power Plant",2,-93.6397354,42.0277682
"Raphael Avenue and Todd Drive",2,-93.6796472,42.0212874
"Schilletter/University Village Community Center",2,-93.6441672,42.0427435
"SEED SCIENCE",2,-93.6420368,42.0293304
"Sheldon Avenue and Sheldon Avenue Ext.",2,-93.6544991,42.0274656
"Sheldon Avenue and Sheldon Extension",2,-93.6542392,42.0227224
"Sloss House",2,-93.6449453,42.025667
"South 16th Street and Riverside Drive",2,-93.6296687,42.0092298
"South 16th Street and South Riverside Drive",2,-93.6296687,42.0092298
"South 4th Street and South Hazel Avenue",2,-93.62704,42.019284
"South 4th Street and South Maple Avenue",2,-93.6251667,42.0192117
"SOUTH DAKOTA AVE/US HIGHWAY 30 RAMP",2,-93.678528,41.9985159
"South Dakota Avenue and US Highway 30 ramp",2,-93.6387198,42.0030346
"South Duff Avenue and Airport Road",2,-93.6101465,42.0011411
"South Franklin Avenue and Lincoln Way",2,-93.6647899,42.0228024
"Southern Hills Drive",2,-93.6280877,42.0023228
"Stadium Drive",2,-93.6357716,42.0139977
"Stephens Auditorium",2,-93.6380161,42.0203208
"Story Street and Wilmoth Avenue",2,-93.6616201,42.0241238
"US Highway 30 E and University Boulevard",2,-93.6387198,42.0030346
"WALLACE RD/OSBORN DR",2,-93.6415098,42.0288854
"Walton Drive",2,-93.6702176,42.0099168
"West Street and Woodland Avenue",2,-93.6575748,42.0253032
"",1,NA,NA
"100 Block Hawyard Avenue",1,-93.6517049,42.0227335
"100 block Hayward Avenue",1,-93.6517049,42.0227335
"100 block of Ash Avenue",1,-93.64441,42.0226955
"100 block of Franklin Avenue",1,-93.6647898,42.0228016
"100 block of Haber Road",1,-93.6383849,42.0313932
"100 block of Howard Avenue",1,-93.6584517,42.0227384
"100 block of Manning Avenue",1,-93.6598705,42.0225271
"100 block of South Wilmoth Avenue",1,-93.6615998,42.0227604
"100 block of State Avenue",1,-93.6591202,42.0227143
"100 block of Wilmoth Avenue",1,-93.6615998,42.0227604
"100 Block Wilmouth Avenue",1,-93.6615998,42.0227604
"100 bock of Howard Avenue",1,-93.6584517,42.0227384
"100 Campus Avenue",1,-93.6570426,42.0227322
"100 HYLAND AVE",1,-93.6555855,42.0226467
"100 South Sheldon Avenue",1,-93.6542392,42.0227216
"1000 block Haber Road",1,-93.6384225,42.0312632
"1000 block of Ash Avenue",1,-93.6439255,42.0133829
"1000 block of Hayward Avenue",1,-93.6516675,42.0132918
"101 1st Street North - Slater, IA",1,-93.6821269,41.8778194
"102 University Village",1,-93.6440521,42.0399307
"1029 State Street",1,-93.658933,42.0119157
"1030 Haber Road",1,-93.6384225,42.0312632
"1032 HABER RD",1,-93.6384225,42.0312632
"104 University Village",1,-93.6441358,42.0403768
"1062 WOI Road",1,-93.6502812,42.0317164
"109 University Village",1,-93.6433795,42.0399641
"11 Frederiksen Court",1,-93.6443146,42.0342578
"110 Stanton Avenue",1,-93.6485129,42.0226786
"1100 block of Stange Road",1,-93.6447099,42.0324959
"1100 block of Welch Road",1,-93.6493487,42.0124617
"1100 block Southern Hills Drive",1,-93.6270715,42.0025391
"1102 Southern Hills Drive",1,-93.6257787,42.00268
"1105 Pinon Drive",1,-93.6750654,42.0126964
"111 University Village",1,-93.6426999,42.0400823
"1111 Hayward Avenue",1,-93.655653,42.014096
"112 University Village",1,-93.643016,42.0399381
"113 University Village",1,-93.6423469,42.0393918
"114 University Village",1,-93.6424229,42.0396176
"114 WELCH AVE",1,-93.6498485,42.0222163
"115 S SHELDON AVE",1,-93.6546007,42.0221427
"115 University Village",1,-93.642427,42.0399923
"115 Welch Avenue",1,-93.650816,42.022189
"1150 Lincoln Way",1,-93.6262917,42.0226452
"116 Welch Avenue",1,-93.649937,42.022074
"117 Welch Avenue",1,-93.6503435,42.0220653
"118 University Village",1,-93.6419027,42.039366
"119 University Village",1,-93.6420832,42.0396648
"1191 University Boulevard",1,-93.6382883,42.0125689
"11th Street and Grand Avenue",1,-93.6203343,42.0321157
"120 Hayward Avenue",1,-93.6515023,42.0219104
"120 Stanton Avenue",1,-93.6485119,42.0226266
"1200 block of Mayfield Drive",1,-93.6713661,42.0112363
"1209 Mayfield Drive",1,-93.6720291,42.0114638
"1213 University Boulevard",1,-93.6374053,42.0103662
"1215 Scholl Road",1,-93.665812,42.033881
"122 Hayward Avenue",1,-93.6514721,42.0217397
"1220 WALTON DR",1,-93.6694178,42.0116982
"124 University Village",1,-93.6408701,42.0396747
"125 University Village",1,-93.64052,42.0402809
"1259 State Avenue",1,-93.6593184,42.0104852
"126 S KELLOGG AVE",1,-93.6129552,42.0218351
"126 Welch Avenue",1,-93.6497904,42.0217817
"127 University Village",1,-93.6440281,42.0411743
"129 S. Duff Avenue",1,-93.6109768,42.02182
"129 University Village",1,-93.6436952,42.0413756
"1300 block of U Avenue",1,NA,NA
"1300 Coconino Road",1,-93.674943,42.01117
"1307 Coconino Road",1,-93.677523,42.011662
"1308 Walton Drive",1,-93.6698899,42.0107592
"1312 Walton Drive",1,-93.669467,42.01071
"1318 Walton Drive",1,-93.6698899,42.01045
"1344 WALTON DR",1,-93.6698502,42.009717
"135 Wilmoth Avenue",1,-93.6618882,42.0239974
"137 Lynn Avenue",1,-93.6467598,42.0213869
"137 University Village",1,-93.6424737,42.0407092
"13TH ST/STANGE RD",1,-93.6447655,42.0356216
"13th Street",1,-93.6329203,42.0345266
"13th Street and Duff Avenue",1,-93.610669,42.0345421
"13th Street and Furman Aquatic Center",1,-93.6310629,42.0352395
"13th Street and Hyland",1,-93.6556493,42.0345655
"1400 block of Coconino Road",1,-93.6746043,42.010029
"1400 block of Stange Road",1,-93.6447533,42.035064
"1405 Coconino Road",1,-93.676751,42.009796
"1416 Mayfield Drive",1,-93.6719499,42.0090703
"1425 Coconino Road",1,-93.6760938,42.0090551
"144 UNIVERSITY VILLAGE",1,-93.6441672,42.0427435
"144MM and US Highway 30",1,-93.6387198,42.0030346
"150 University Village",1,-93.6441672,42.0427435
"1500 block of Little Bluestem Court",1,-93.645773,42.009144
"1500 Center Drive",1,-93.6347909,42.0196412
"151 UNIVERSITY VILLAGE",1,-93.6441672,42.0427435
"1516 S. Riverside Drive",1,-93.6296446,42.0077258
"153 Hyland Avenue",1,-93.6559472,42.0247272
"154 Sheldon Avenue",1,-93.6542723,42.0242827
"157 UNIVERSITY VILLAGE",1,-93.6441672,42.0427435
"158 University Village",1,-93.6441672,42.0427435
"1606 Christensen Drive",1,-93.63343,42.0089863
"162 University Village",1,-93.6441672,42.0427435
"163 Hyland Avenue",1,-93.656066,42.0251484
"1635 Amherst Drive",1,-93.6572755,42.0398499
"164 University Village",1,-93.6421641,42.042591
"169 University Village",1,-93.6425544,42.0427234
"1700 block of University Boulevard",1,-93.6347242,42.0286258
"1799 Center Drive",1,-93.6369842,42.0196241
"18 Schilletter Village",1,-93.6416288,42.0433749
"1800 block of Christensen Drive",1,-93.6323694,42.0067073
"1800 block of Lincoln Way",1,-93.6325487,42.0227502
"1800 Christensen Drive",1,-93.6323694,42.0067073
"200 block Beach Road",1,-93.6389869,42.0254892
"200 block Main Street",1,-93.6120764,42.0249607
"200 block North Sheldon Avenue",1,-93.6543157,42.0261159
"200 block of 13th Street",1,-93.6123046,42.0345319
"200 block of Beach Road",1,-93.6389869,42.0254892
"200 block of Cessna Avenue",1,-93.6409731,42.0160343
"200 block of Gray Avenue",1,-93.6408079,42.0213996
"200 block of Jewel Drive",1,-93.6091146,41.9930235
"200 block of Lincoln Way",1,-93.6121463,42.0229048
"200 block of Raphael Avenue",1,-93.6796487,42.0212848
"200 block of South Hyland Avenue",1,-93.6555919,42.0221415
"200 block of South Sheldon Avenue",1,-93.653675,42.021152
"200 block of Welch Road",1,-93.6501941,42.0214439
"200 Block Stanton Avenue",1,-93.648229,42.021222
"200 block Tama Street",1,NA,NA
"200 block Welch Avenue",1,-93.6501941,42.0214439
"200 Chamberlain Place",1,-93.6481878,42.0212295
"200 HYLAND AVE",1,-93.6556457,42.0253446
"200 S. Sheldon Avenue",1,-93.653675,42.021152
"2000 block of 13th Street",1,-93.5858496,42.034404
"2000 block of Cessna Street",1,-93.6394051,42.0162139
"2000 block of Greeley Street",1,-93.6394593,42.01975
"203 Beedle Drive",1,-93.6732982,42.0210143
"203 Hayward Avenue",1,-93.651761,42.0209477
"203 Welch Avenue",1,-93.6505613,42.0212663
"2072 Mortensen Parkway",1,-93.6417525,42.0087823
"20th Street and Hayes Avenue",1,-93.6314999,42.0419285
"21 Frederiksen Court",1,-93.6442665,42.03318
"210 Gray Avenue",1,-93.6405392,42.0210626
"2100 block Edenburn Drive",1,-93.6438751,42.0429155
"2100 block Gable Lane",1,-93.6436014,42.0215071
"2100 Gable Lane",1,-93.6436014,42.0215071
"2101 Oakwood Road",1,-93.6426419,41.9979428
"2112 LINCOLN WAY",1,-93.6402663,42.0223653
"2119 Edeburn Drive",1,-93.6441086,42.0427535
"2119 Edenburn Drive",1,-93.6441086,42.0427535
"212 Beyer Court",1,-93.65045,42.0239234
"2121 Sunset Drive",1,-93.6427211,42.0210512
"2131 Union Drive",1,-93.6496968,42.024591
"2138 Veterinary Medicine",1,-93.6321429,42.00664
"214 South Hyland Avenue",1,-93.655219,42.0219585
"2147 Union Drive",1,-93.6496968,42.024591
"2148 Lincoln Way",1,-93.6396811,42.0226572
"216 Stanton",1,-93.6482645,42.0208755
"216 Stanton Avenue",1,-93.6482645,42.0208755
"217 Welch Avenue",1,-93.6503633,42.020693
"218 Welch Avenue",1,-93.6496901,42.0208303
"22 Frederiksen Court",1,-93.6440013,42.0335992
"2200 block Lincoln Way",1,-93.644527,42.0226921
"2200 block of 13th Street",1,-93.5837197,42.0343983
"2200 block of Osborn Drive",1,-93.644629,42.0284863
"2212 WANDA DALEY DR",1,-93.6479481,42.0338403
"2226 Donald Street",1,-93.6456709,42.0168039
"2227 Knapp Street",1,-93.6457501,42.0193517
"2239 Knapp Street",1,-93.6461263,42.0193977
"22500 block of Hunt Avenue",1,NA,NA
"227 Sheldon Avenue",1,-93.6545364,42.0264621
"2300 block Edenburn Drive",1,-93.640547,42.0448257
"2300 block Knapp Street",1,-93.6463997,42.0191478
"2300 block Mortensen Parkway",1,-93.647512,42.011155
"2300 block of Union Drive",1,-93.6496968,42.024591
"2300 Knapp Street",1,-93.6463997,42.0191478
"2302 Lincoln Way",1,-93.646577,42.0226341
"2310 Mortensen Parkway",1,-93.6479478,42.0108386
"2311 Kooser Drive",1,-93.6474329,42.0322706
"2320 Lincoln Way",1,-93.6473538,42.0224886
"2324 Storm Street",1,-93.6475716,42.0158936
"2340 13TH ST",1,-93.5822258,42.0337076
"24 FREDERIKSEN COURT",1,-93.6435922,42.0327685
"2400 block of Kooser Drive",1,-93.648192,42.032519
"2400 block of Union Drive",1,-93.6496968,42.024591
"2400 Block Pammel Drive",1,-93.6485313,42.0299543
"2400 University Avenue",1,-93.6389116,42.0008005
"2410 Chamberlain Street",1,-93.6492149,42.0212318
"2415 Pammel Drive",1,-93.6486174,42.0309594
"2420 Lincoln Way",1,-93.6496109,42.0225329
"2421 S. MAPLE STREET",1,-93.6251737,42.0193033
"2430 Lincoln Way",1,-93.6499644,42.0225314
"2470 UNION DR",1,-93.6517676,42.0253623
"24th Street and Edenburn Drive",1,-93.6441672,42.0427435
"24th Street and Hayes Avenue",1,-93.6336253,42.0455281
"24th Street and Prairie View West",1,-93.6397806,42.0454521
"2500 block Chamberlain Street",1,-93.6500819,42.0214429
"2500 block of Hunt Street",1,-93.6501319,42.0202786
"2500 block of SE 16th Street",1,-93.579599,42.007827
"2500 block Osborn Drive",1,-93.6509615,42.0288842
"2500 Chamberlain Street",1,-93.6500819,42.0214429
"2532 UNION DR",1,-93.6513638,42.0253616
"2566 Pammel Drive",1,-93.6535551,42.0304027
"2600 block of Bruner Drive",1,-93.6442967,42.0389824
"2600 block of Hunt Street",1,-93.6517822,42.020131
"2600 block of Knapp Street",1,-93.6517339,42.0191154
"2600 block of Mortensen Road",1,-93.6516883,42.0118613
"2600 block of Pammel Drive",1,-93.6535551,42.0304027
"2600 block of Union Drive",1,-93.6529167,42.0253626
"2600 SE 16TH ST",1,-93.5783034,42.0080785
"2601 Osborn Drive",1,-93.6508901,42.0288844
"2630 Bruner Drive",1,-93.6442967,42.0389824
"2631 Hunt Street",1,-93.6533334,42.0203283
"2633 Mortensen Road",1,-93.6521512,42.0118639
"2642 Union Drive",1,-93.6538021,42.0246748
"2673 Blankenburg Drive",1,-93.6441321,42.0416342
"27 Schilletter Village",1,-93.6405543,42.0443809
"2700 blk South Dakota Avenue",1,-93.6785896,42.0043906
"2700 block of 13th Street",1,-93.653734,42.034597
"2700 block of Knapp Street",1,-93.6541251,42.0191402
"2700 block of Mortensen Road",1,-93.6530943,42.0118668
"2700 block of West Street",1,-93.6543396,42.0253595
"2768 Pammel Drive",1,-93.6535551,42.0304027
"2800 block of Arbor Street",1,-93.6550111,42.0207911
"2800 block of Hampton Street",1,-93.6467365,42.0460366
"2900 block of Lincoln Way",1,-93.6570426,42.0227269
"2900 block of Oakland Street",1,-93.6570464,42.0281005
"2915 Lincoln Way",1,-93.657843,42.02299
"300 block of Franklin Avenue",1,-93.6648062,42.0249036
"300 block of Hayward Avenue",1,-93.6517575,42.0201314
"300 block of Lynn Street",1,-93.645878,42.0202902
"300 Chamberlain Place",1,-93.6509409,42.0209331
"300 Stanton Avenue",1,-93.6481458,42.0202997
"3000 block of 520th Avenue",1,-93.6585389,42.0011523
"3000 block of Arbor Street",1,-93.6578292,42.0205567
"301 Lynn Avenue",1,-93.646839,42.0204571
"301 Main Street",1,-93.6140434,42.025259
"302 Ash Avenue",1,-93.6439683,42.0198718
"310 10th Street",1,-93.6145579,42.0310767
"3100 block of State Avenue",1,-93.6578753,41.9983727
"312 S Franklin Avenue",1,-93.6644263,42.0187382
"315 Carrie Lane Court",1,-93.6418517,42.0244726
"315 Welch Avenue",1,-93.6505015,42.0197804
"3151 State Avenue",1,-93.6608229,41.9963
"32 Fredericksen Court",1,-93.6413749,42.0348474
"32 Frederiksen Court",1,-93.6429145,42.0339213
"33 FREDERIKSEN COURT",1,-93.640694,42.0346152
"3300 block of West Street",1,-93.6616493,42.0249486
"34 Frederiksen Court",1,-93.6413685,42.0343662
"3400 block of Tripp Street",1,-93.6634421,42.0201154
"350 Farmhouse Lane",1,-93.6437099,42.0258617
"3500 block of Mortensen Road",1,-93.6645364,42.0119492
"3515 Lincoln Way",1,-93.6668396,42.0232601
"36 FREDERIKSEN COURT",1,-93.6412736,42.0353215
"36 Schilletter Village",1,-93.6416329,42.0442215
"3605 Lincoln Way",1,-93.6673149,42.0233995
"363 Farm House Lane",1,-93.6437099,42.0258617
"3700 block of 520th Avenue",1,-93.6562431,42.0563188
"3700 block of Mortensen Road",1,-93.6673236,42.0119853
"3714 Tripp Street",1,-93.668226,42.0198545
"38 Schilletter Village",1,-93.6417177,42.0446537
"3814 Lincoln Way",1,-93.6692101,42.0218967
"3910 Maricopa Drive",1,-93.669227,42.0077659
"3911 Maricopa Drive",1,-93.6692243,42.0086015
"3917 Mortensen Road",1,-93.671368,42.012405
"3917 Tripp St",1,-93.670653,42.02089
"400 block of Maricopa Drive",1,-93.6723197,42.0084731
"400 block of South Franklin Avenue",1,-93.6644201,42.0182217
"400 block State Avenue",1,-93.6590921,42.0193842
"400 block Welch Avenue",1,-93.6500882,42.0191138
"400 Welch Avenue",1,-93.6500882,42.0191138
"4000 block of Lincoln Way",1,-93.6714896,42.0223192
"4008 Maricopa Dr",1,-93.6708406,42.0080236
"4018 Lincoln Way",1,-93.6719697,42.0223045
"405 Hayward Avenue",1,-93.6521453,42.0188204
"4100 block Maricopa Drive",1,-93.6721876,42.0082125
"4100 block of Mortensen Road",1,-93.672607,42.0115979
"4100 Maricopa Drive",1,-93.6721876,42.0082125
"420 Beach Avenue",1,-93.6387083,42.0181584
"4200 block of Maricopa Drive",1,-93.6732177,42.0082569
"43 Frederiksen Court",1,-93.6420226,42.032767
"43 SCHILLETTER VILLAGE",1,-93.6422257,42.0444582
"4311 Ontario Street",1,-93.6777145,42.0347924
"440 Welch Avenue",1,-93.6496956,42.01781
"4500 block Mortensen Road",1,-93.678636,42.012084
"4500 block of Mortensen Road",1,-93.678636,42.012084
"4500 block of Steinbeck Street",1,-93.6788005,42.0145887
