"General.Location","n","longitude","latitude"
"Union Drive and Welch Road",19,-93.649224,42.0239964
"100 block of Hyland Avenue",18,-93.6555855,42.0226467
"Kildee Hall",18,-93.6438587,42.0295129
"Lagomarcino Hall",18,-93.6456391,42.0297367
"Lot 29",18,-93.6494938,42.032232
"Lot G6",18,-93.6420154,42.0237318
"Lot S4",18,-93.6348588,42.0120423
"Lot S8",18,-93.6334165,42.0148466
"Agronomy Hall",17,-93.6423456,42.0283477
"Bissell Road and Union Drive",17,-93.6518976,42.0253625
"Elm Hall",17,-93.6403311,42.0251392
"Hayward Avenue and Mortensen Parkway",17,-93.6516786,42.0118612
"Lot 112",17,-93.6464654,42.0266187
"Mortensen Parkway and University Boulevard",17,-93.6393859,42.0083324
"2229 Lincoln Way",16,-93.6456354,42.0235144
"2700 block of Lincoln Way",16,-93.6545215,42.022377
"Ames Intermodel Facility",16,-93.6523433,42.0210166
"Beach Road and Richardson Court",16,-93.639189,42.02383
"Lot 61",16,-93.6483506,42.0124764
"University VIllage",16,-93.6441672,42.0427435
"200 block of Stanton Avenue",15,-93.648229,42.021222
"Beyer Hall",15,-93.6529169,42.0259395
"College of Design",15,-93.6531506,42.0285641
"Curtiss Hall",15,-93.6448628,42.0261821
"East Campus Parking Deck",15,-93.6523433,42.0210166
"Gable Lane and Gray Avenue",15,-93.6420176,42.0214957
"Hawthorn Court Drive and Stange Road",15,-93.64473,42.0338708
"Hoover Hall",15,-93.6511839,42.0266539
"Lettie Street and State Avenue",15,-93.6591273,42.0214744
"Lot B4",15,-93.6366017,42.0186242
"LOT G3",15,-93.6227301,42.0493019
"Arboretum",14,-93.6387303,42.011617
"Beardshear Hall",14,-93.6484405,42.0261746
"Beyer Court and Union Drive",14,-93.6507255,42.0251486
"Campus Avenue and West Street",14,-93.6570365,42.0253277
"Howe Hall",14,-93.6528316,42.0269191
"Maple-Willow-Larch Commons",14,-93.6382459,42.0237874
"Science II",14,-93.6463454,42.0300878
"2100 block of Lincoln Way",13,-93.6398183,42.0223729
"Arbor Street and South Hyland Avenue",13,-93.6555561,42.0209196
"Black Engineering Building",13,-93.6513617,42.0260459
"Hyland Avenue and Pammel Drive",13,-93.6556552,42.0296034
"Knapp Street and South Sheldon Avenue",13,-93.6541251,42.0191402
"Lake LaVerne",13,-93.6479874,42.0237049
"Lot 21",13,-93.651571,42.0297193
"Lot 59A",13,-93.6535564,42.0234382
"Lot S3",13,-93.6348588,42.0120423
"Oak Hall",13,-93.6399695,42.0251247
"Sheldon Avenue and Union Drive",13,-93.6543018,42.0253597
"2500 block of Chamberlain Street",12,-93.6500819,42.0214429
"Alumni Center",12,-93.6387083,42.0181584
"Central Campus",12,-93.6464654,42.0266187
"Haber Road and University Boulevard",12,-93.6387948,42.0299502
"Knapp Street and Sheldon Avenue",12,-93.6541251,42.0191402
"Lot 112J",12,-93.6425231,42.0349269
"Physics Hall",12,-93.6472746,42.0295226
"13th Street and Hyland Avenue",11,-93.6556846,42.0287518
"35 Frederiksen Court",11,-93.6421508,42.0347532
"Beach Road and Wallace Road",11,-93.6479915,42.0083895
"Bessey Hall",11,-93.644629,42.0284863
"Bruner Drive and Stange Road",11,-93.6448075,42.0389323
"Hamilton Hall",11,-93.6420985,42.0275353
"Highway 30 and South Dakota Avenue",11,-93.6387198,42.0030346
"Lincoln Way and South Riverside Drive",11,-93.6296177,42.0228334
"Lot 112A",11,-93.6431428,42.0349871
"Lot 59D",11,-93.6510118,42.0235902
"Lot G4",11,-93.6286452,42.0096516
"Lot G7",11,-93.6420154,42.0237318
"South Dakota Avenue and Steinbeck Street",11,-93.6786731,42.0145902
"Union Drive and Wallace Road",11,-93.6441141,42.0247932
"2400 block of Chamberlain Street",10,-93.648499,42.0214259
"2400 block of Lincoln Way",10,-93.6485946,42.0225662
"300 block of Welch Avenue",10,-93.6497151,42.0200666
"400 block of Hayward Avenue",10,-93.6517337,42.0191004
"500 block of Welch Avenue",10,-93.650078,42.0176185
"Bissell Road and Osborn Drive",10,-93.6518898,42.0288877
"Chamberlain Place and Chamberlain Street",10,-93.650953,42.0214521
"Chamberlain Place and Hunt Street",10,-93.6509256,42.0202731
"Durham Center",10,-93.6498289,42.0276599
"Hunt Street and South Sheldon Avenue",10,-93.6542234,42.0201273
"Lincoln Way and North Dakota Avenue",10,-93.6786888,42.0230153
"Lot 100",10,-93.6377706,42.0258047
"Lot B6",10,-93.6365107,42.0167789
"MacKay Hall",10,-93.6465403,42.0285999
"Maple-Willow-Larch",10,-93.6382459,42.0237874
"Marston Hall",10,-93.6498445,42.0267965
"Morrill Road and Union Drive",10,-93.6467417,42.0247336
"Mortensen Parkway and Welch Road",10,-93.649344,42.0118567
"South 4th Street and Beach Avenue",10,-93.63915,42.016289
"University Boulevard and Wallace Road",10,-93.6415414,42.0305048
"100 block of Sheldon Avenue",9,-93.65443,42.0217676
"300 block of Lynn Avenue",9,-93.645878,42.0202902
"Barton Hall",9,-93.6416296,42.0241903
"Beach Avenue and Sunset Drive",9,-93.6394759,42.0214033
"Hawthorn Court Drive",9,-93.643986,42.0338685
"Hayward Avenue and Little Street",9,-93.6517124,42.0176158
"Howard Avenue and Lincoln Way",9,-93.6584515,42.0227284
"Lot 112B",9,-93.6435978,42.0324968
"Lot G5",9,-93.6286452,42.0096516
"Memorial Union Ramp",9,-93.6449075,42.0234906
"Music Hall",9,-93.6482276,42.0246423
"South Dakota Avenue and US Highway 30",9,-93.6387198,42.0030346
"100 block Stanton Avenue",8,-93.6485138,42.0227307
"200 block of Sheldon Avenue",8,-93.6543157,42.0261159
"Ash Avenue and Mortensen Parkway",8,-93.646758,42.0113047
"Atanasoff Hall",8,-93.6495713,42.0281363
"Bissell Road and Pammel Drive",8,-93.6518944,42.030401
"Black Engineering",8,-93.6513617,42.0260459
"Catt Hall",8,-93.6456974,42.0278902
"Center Drive and University Boulevard",8,-93.6373052,42.0294788
"Coconino Road and Mortensen Road",8,-93.6762975,42.0120724
"Colorado Avenue and Lincoln Way",8,-93.6630057,42.0227752
"Design College",8,-93.6531506,42.0285641
"Foutainview Apartments",8,-93.6713803,42.0112352
"Hunt Street and Sheldon Avenue",8,-93.6542234,42.0201273
"Lake Laverne",8,-93.6479874,42.0237049
"Lincoln Way and South Dakota Avenue",8,-93.6787027,42.0229015
"Lincoln Way and South Sheldon Avenue",8,-93.6542392,42.0227224
"Lincoln Way and South Wilmoth Avenue",8,-93.6615998,42.0227611
"Lot 112N",8,-93.637297,42.0327745
"Lot 3",8,-93.6539354,42.0264782
"Lot 59E",8,-93.64992,42.0236716
"Lot A3",8,-93.6377976,42.0177136
"Lot C4",8,-93.6347608,42.0186377
"Molecular Biology",8,-93.6496746,42.0311093
"Mortensen Road and Pinon Drive",8,-93.6749317,42.0120645
"Stanton Avenue and Storm Street",8,-93.6484915,42.0161265
"University Bookstore",8,-93.6453763,42.0231853
"University Village Laundry Mat",8,-93.642113,42.041253
"Wallace Wilson Commons",8,-93.6504798,42.0140126
"1732-2 South 4th Street",7,-93.6345331,42.0162157
"24th Street and Stange Road",7,-93.6447879,42.0454223
"36 Frederiksen Court",7,-93.6412736,42.0353215
"520 Morrill Road",7,-93.6479232,42.026185
"Baker Street and Lynn Avenue",7,-93.6463639,42.0179401
"Baker Street and Stanton Avenue",7,-93.6484826,42.0179299
"Food Sciences Building",7,-93.6425228,42.0268836
"Grand Avenue and Lincoln Way",7,-93.6201078,42.0229238
"Hub",7,-93.6484556,42.0272385
"Hyland Avenue and Ontario Street",7,-93.6556493,42.0345655
"Lebaron Hall",7,-93.6475244,42.0283786
"LeBaron Hall",7,-93.6475244,42.0283786
"Lot 10",7,-93.6538945,42.0296641
"Lot 112F",7,-93.6394036,42.0323037
"Lot 22",7,-93.650891,42.0301813
"Lot 59F",7,-93.6521476,42.0238811
"Lot 61C",7,-93.6493851,42.0152891
"Lot 79",7,-93.6418441,42.0308247
"Lot A2",7,-93.6377863,42.0186104
"Lot B3",7,-93.6365568,42.0192735
"Pammel Drive and Stange Road",7,-93.6446613,42.030518
"Pammel Drive and WOI Road",7,-93.6502722,42.0305197
"Southwest Athletic Complex",7,-93.6571453,42.0163142
"Thielen Student Health Center",7,-93.6538928,42.0257585
"200 block of Hayward Avenue",6,-93.6517204,42.0214471
"2401 Chamberlain Street",6,-93.6487397,42.021556
"2500 block of Mortensen Road",6,-93.6494426,42.0118551
"400 block of Stanton Avenue",6,-93.6485071,42.0191178
"62 Frederiksen Court",6,-93.640536,42.0332645
"809 Wheeler Street",6,-93.6220177,42.054808
"Ann Campbell Transit Station",6,-93.6464654,42.0266187
"Arbor Street and Sheldon Avenue",6,-93.6542412,42.0209168
"Beach Avenue and Greeley Street",6,-93.6394602,42.0200608
"Beedle Drive and Lincoln Way",6,-93.6732368,42.0228615
"Bruner Drive and Long Road",6,-93.6434976,42.0390504
"Daley Drive and Stange Road",6,-93.64473,42.0338708
"Design Building",6,-93.6119066,42.0253648
"Dotson Drive and Mortensen Road",6,-93.6736251,42.0120505
"Farmhouse Lane",6,-93.6437128,42.0272173
"HELSER HALL",6,-93.6518379,42.02424
"Highway 30 and University Boulevard",6,-93.6464654,42.0266187
"Hilltop Road and Tripp Street",6,-93.6634289,42.0201153
"Hyland Avenue and Oakland Street",6,-93.6557031,42.0280325
"Hyland Avenue and Ross Road",6,-93.6556243,42.033296
"Hyland Avenue and Wood Street",6,-93.655592,42.0221438
"Lincoln Way and South Oak Avenue",6,-93.6238118,42.0228778
"Lot 50B",6,-93.6417187,42.0259655
"Lot 61G",6,-93.6513872,42.0137256
